nm,n,k,wl
900,1.5498700000000003,0.01358,0.9
901,1.5498600000000005,0.01357,0.901
902,1.5498499999999997,0.01355,0.902
903,1.54984,0.01354,0.903
904,1.54983,0.01353,0.904
905,1.54982,0.01351,0.905
906,1.54981,0.0135,0.906
907,1.5498000000000003,0.01349,0.907
908,1.5498,0.01347,0.908
909,1.5497900000000002,0.01346,0.909
910,1.5497800000000002,0.01345,0.91
911,1.5497700000000005,0.01343,0.911
912,1.54976,0.01342,0.912
913,1.54975,0.01341,0.913
914,1.54975,0.0134,0.914
915,1.54974,0.01338,0.915
916,1.5497300000000003,0.01337,0.916
917,1.5497200000000002,0.01336,0.917
918,1.5497200000000002,0.01334,0.918
919,1.54971,0.01333,0.919
920,1.5497000000000003,0.01332,0.92
921,1.54969,0.01331,0.921
922,1.54969,0.01329,0.922
923,1.54968,0.01328,0.923
924,1.5496700000000003,0.01327,0.924
925,1.54967,0.01326,0.925
926,1.5496600000000003,0.01324,0.926
927,1.5496500000000002,0.01323,0.927
928,1.5496400000000001,0.01322,0.928
929,1.5496399999999997,0.01321,0.929
930,1.5496300000000005,0.01319,0.93
931,1.54963,0.01318,0.931
932,1.5496200000000002,0.01317,0.932
933,1.54961,0.01316,0.933
934,1.5496100000000002,0.01314,0.934
935,1.5496,0.01313,0.935
936,1.5496,0.01312,0.936
937,1.54959,0.01311,0.937
938,1.5495799999999997,0.0131,0.938
939,1.54958,0.01308,0.939
940,1.5495699999999997,0.01307,0.94
941,1.5495700000000001,0.01306,0.941
942,1.54956,0.01305,0.942
943,1.54956,0.01303,0.943
944,1.5495500000000002,0.01302,0.944
945,1.5495500000000002,0.01301,0.945
946,1.54954,0.013,0.946
947,1.5495400000000001,0.01299,0.947
948,1.5495300000000003,0.01297,0.948
949,1.54953,0.01296,0.949
950,1.54952,0.01295,0.95
951,1.54952,0.01294,0.951
952,1.5495100000000002,0.01293,0.952
953,1.5495100000000002,0.01291,0.953
954,1.5495,0.0129,0.954
955,1.5495,0.01289,0.955
956,1.54949,0.01288,0.956
957,1.54949,0.01287,0.957
958,1.54949,0.01285,0.958
959,1.54948,0.01284,0.959
960,1.54948,0.01283,0.96
961,1.54947,0.01282,0.961
962,1.54947,0.01281,0.962
963,1.5494600000000003,0.0128,0.963
964,1.54946,0.01278,0.964
965,1.5494600000000003,0.01277,0.965
966,1.54945,0.01276,0.966
967,1.5494500000000002,0.01275,0.967
968,1.5494500000000002,0.01274,0.968
969,1.54944,0.01273,0.969
970,1.54944,0.01271,0.97
971,1.5494400000000002,0.0127,0.971
972,1.54943,0.01269,0.972
973,1.5494299999999999,0.01268,0.973
974,1.54943,0.01267,0.974
975,1.54942,0.01266,0.975
976,1.54942,0.01264,0.976
977,1.54942,0.01263,0.977
978,1.54941,0.01262,0.978
979,1.54941,0.01261,0.979
980,1.54941,0.0126,0.98
981,1.5494,0.01259,0.981
