nm,n,k,wl
220.0,2.5793682065907,0.0,0.22
227.0,2.5201127703126,0.0,0.227
234.2,2.4721616189951,0.0,0.2342
241.60000000000002,2.4326348951677,0.0,0.2416
249.29999999999998,2.3991625121817,0.0,0.2493
257.2,2.3708692899471,0.0,0.2572
265.29999999999995,2.3466881647194,0.0,0.2653
273.8,2.3253638504229,0.0,0.2738
282.5,2.3068917836211,0.0,0.2825
291.4,2.2907674092727,0.0,0.2914
300.70000000000005,2.2763086399524,0.0,0.3007
310.2,2.2635700736893,0.0,0.3102
320.0,2.2521746338037,0.0,0.32
330.2,2.2418524761598,0.0,0.3302
340.7,2.2325739740962,0.0,0.3407
351.5,2.2242087258392,0.0,0.3515
362.59999999999997,2.216645938176,0.0,0.3626
374.09999999999997,2.2097344403726,0.0,0.3741
386.0,2.2034122716924,0.0,0.386
398.3,2.1976235193325,0.0,0.3983
410.9,2.1923571650885,0.0,0.4109
423.9,2.1875197713715,0.0,0.4239
437.40000000000003,2.1830406399517,0.0,0.4374
451.29999999999995,2.1789221570552,0.0,0.4513
465.6,2.17513093423,0.0,0.4656
480.4,2.17161435839,0.0,0.4804
495.59999999999997,2.1683723275911,0.0,0.4956
511.29999999999995,2.1653613261694,0.0,0.5113
527.5,2.1625639102645,0.0,0.5275
544.3,2.1599488740012,0.0,0.5443
561.5,2.1575318181514,0.0,0.5615
579.4,2.1552578242028,0.0,0.5794
597.7,2.153153159251,0.0,0.5977
616.7,2.1511718015143,0.0,0.6167
636.3,2.1493163605203,0.0,0.6363
656.5,2.147577722233,0.0,0.6565
677.3000000000001,2.1459471735322,0.0,0.6773
698.8,2.1444095920844,0.0,0.6988
721.0,2.1429588731965,0.0,0.721
743.8000000000001,2.1415947120306,0.0,0.7438
767.4,2.1402992816118,0.0,0.7674
791.8,2.1390682552755,0.0,0.7918
816.9,2.137901689062,0.0,0.8169
842.8,2.1367900214596,0.0,0.8428
869.6,2.1357251429464,0.0,0.8696
897.2,2.1347071946994,0.0,0.8972
925.6,2.1337319556327,0.0,0.9256
955.0,2.1327891226052,0.0,0.955
985.3,2.1318787895305,0.0,0.9853
1016.9999999999999,2.1309838147977,0.0,1.017
1049.0,2.1301315566498,0.0,1.049
1082.0,2.1292988418616,0.0,1.082
1116.0,2.1284828324042,0.0,1.116
1152.0,2.1276582703521,0.0,1.152
1188.0,2.1268680277649,0.0,1.188
1226.0,2.1260651241251,0.0,1.226
1265.0,2.1252688629888,0.0,1.265
1305.0,2.1244762176375,0.0,1.305
1347.0,2.1236651504234,0.0,1.347
1389.0,2.1228713494544,0.0,1.389
1433.0,2.1220540501848,0.0,1.433
1479.0,2.1212111845774,0.0,1.479
1526.0,2.120358417575,0.0,1.526
1574.0,2.1194927932322,0.0,1.574
1624.0,2.1185934691408,0.0,1.624
1676.0,2.1176575523455,0.0,1.676
1729.0,2.1167000208679,0.0,1.729
1784.0,2.1156996832442,0.0,1.784
1840.0,2.114671571013,0.0,1.84
1899.0,2.1135753685765,0.0,1.899
1959.0,2.1124444974301,0.0,1.959
2021.0,2.1112566006818,0.0,2.021
2085.0,2.1100075887411,0.0,2.085
2151.0,2.108693179482,0.0,2.151
2220.0,2.1072883034549,0.0,2.22
2290.0,2.1058289739164,0.0,2.29
2363.0,2.1042685373885,0.0,2.363
2438.0,2.1026223860629,0.0,2.438
2515.0,2.1008851013937,0.0,2.515
2595.0,2.0990274767774,0.0,2.595
2677.0,2.0970657429754,0.0,2.677
2762.0,2.0949685701414,0.0,2.762
2850.0,2.0927269563189,0.0,2.85
2940.0,2.0903580736439,0.0,2.94
3033.0,2.087826802203,0.0,3.033
3130.0,2.0850937591033,0.0,3.13
3229.0,2.0822038179539,0.0,3.229
3331.0,2.0791171012231,0.0,3.331
3437.0,2.0757886047842,0.0,3.437
3546.0,2.0722339200696,0.0,3.546
3659.0,2.0684033747993,0.0,3.659
3775.0,2.0643125290026,0.0,3.775
3894.0,2.0599437411386,0.0,3.894
4018.0,2.055199933367,0.0,4.018
4146.0,2.0500912468475,0.0,4.146
4277.0,2.0446321247135,0.0,4.277
4413.0,2.038708590514,0.0,4.413
4553.0,2.0323277564024,0.0,4.553
4697.0,2.0254526844217,0.0,4.697
4846.0,2.017991431849,0.0,4.846
5000.0,2.0098913042837,0.0,5.0
