nm,n,k,wl
207.0,0.956,2.45,0.207
210.0,1.01,2.475,0.21
214.0,1.046,2.51,0.214
218.0,1.084,2.56,0.218
221.0,1.144,2.619,0.221
225.0,1.228,2.659,0.225
230.0,1.309,2.663,0.23
234.0,1.354,2.648,0.234
238.0,1.363,2.651,0.238
243.0,1.361,2.688,0.243
248.0,1.368,2.749,0.248
253.0,1.382,2.825,0.253
258.0,1.4,2.921,0.258
264.0,1.432,3.043,0.264
270.0,1.483,3.19,0.27
276.0,1.561,3.369,0.276
282.0,1.689,3.604,0.282
288.0,1.944,3.872,0.288
295.0,2.415,4.078,0.295
302.0,2.956,3.992,0.302
310.0,3.323,3.708,0.31
318.0,3.528,3.415,0.318
326.0,3.642,3.163,0.326
335.0,3.713,2.964,0.335
344.0,3.759,2.778,0.344
354.0,3.783,2.623,0.354
365.0,3.804,2.5,0.365
376.0,3.823,2.378,0.376
387.0,3.825,2.253,0.387
400.0,3.785,2.16,0.4
413.0,3.751,2.119,0.413
428.0,3.74,2.116,0.428
443.0,3.755,2.148,0.443
459.0,3.816,2.19,0.459
477.0,3.946,2.268,0.477
496.0,4.235,2.289,0.496
517.0,4.464,2.0,0.517
539.0,4.455,1.812,0.539
564.0,4.47,1.77,0.564
590.0,4.63,1.843,0.59
620.0,5.197,1.465,0.62
653.0,5.037,0.881,0.653
689.0,4.822,0.647,0.689
729.0,4.644,0.514,0.729
775.0,4.5,0.407,0.775
827.0,4.37,0.338,0.827
886.0,4.27,0.299,0.886
954.0,4.2,0.268,0.954
1033.0,4.14,0.225,1.033
1127.0,4.096,0.201,1.127
1240.0,4.05,0.173,1.24
1378.0,4.026,0.145,1.378
1550.0,4.01,0.125,1.55
1771.0,3.959,0.023,1.771
2066.0,3.878,0.0,2.066
2480.0,3.846,0.0,2.48
