nm,n,k,wl
191.45999999999998,2.04232,0.59569,0.19146
193.05,2.05161,0.60194,0.19305
194.64999999999998,2.06105,0.6071,0.19465
196.25,2.07055,0.61126,0.19625
197.83999999999997,2.08003,0.61447,0.19784
199.44,2.08942,0.61682,0.19944
201.04,2.09867,0.61839,0.20104
202.63,2.10773,0.61925,0.20263
204.23,2.11656,0.61948,0.20423
205.83,2.12515,0.61915,0.20583
207.42,2.13346,0.61834,0.20742
209.02,2.1415,0.6171,0.20902
210.62,2.14925,0.61551,0.21062
212.22,2.15672,0.61363,0.21222
213.81,2.16392,0.61152,0.21381
215.41,2.17086,0.60923,0.21541
217.01000000000002,2.17756,0.60682,0.21701
218.6,2.18405,0.60433,0.2186
220.20000000000002,2.19036,0.6018,0.2202
221.8,2.19652,0.59928,0.2218
223.39999999999998,2.20258,0.59679,0.2234
224.99,2.20857,0.59437,0.22499
226.59,2.21454,0.59203,0.22659
228.19,2.22055,0.5898,0.22819
229.79,2.22664,0.58767,0.22979
231.39000000000001,2.23288,0.58566,0.23139
232.98,2.23933,0.58374,0.23298
234.58,2.24605,0.58192,0.23458
236.18,2.25311,0.58015,0.23618
237.78,2.26057,0.5784,0.23778
239.38,2.26848,0.57661,0.23938
240.97,2.27692,0.57473,0.24097
242.57000000000002,2.28593,0.57267,0.24257
244.17,2.29556,0.57033,0.24417
245.76999999999998,2.30584,0.5676,0.24577
247.37,2.31678,0.56436,0.24737
248.97,2.32839,0.56046,0.24897
250.57000000000002,2.34064,0.55577,0.25057
252.16,2.35346,0.55012,0.25216
253.76,2.36678,0.54335,0.25376
255.35999999999999,2.38045,0.53532,0.25536
256.96000000000004,2.39432,0.5259,0.25696
258.56,2.40818,0.51496,0.25856
260.16,2.42182,0.50245,0.26016
261.76,2.43496,0.48832,0.26176
263.35999999999996,2.44735,0.47261,0.26336
264.96,2.45872,0.45539,0.26496
266.56,2.46881,0.4368,0.26656
268.15,2.47739,0.41703,0.26815
269.75,2.48429,0.39631,0.26975
271.34999999999997,2.48937,0.37491,0.27135
272.95000000000005,2.49256,0.35312,0.27295
274.55,2.49385,0.33122,0.27455
276.15000000000003,2.49328,0.3095,0.27615
277.75,2.49094,0.2882,0.27775
279.34999999999997,2.48696,0.26754,0.27935
280.95,2.48152,0.2477,0.28095
282.55,2.47478,0.22882,0.28255
284.15000000000003,2.46693,0.211,0.28415
285.75,2.45816,0.19431,0.28575
287.35,2.44864,0.17876,0.28735
288.95,2.43853,0.16437,0.28895
290.54999999999995,2.428,0.15112,0.29055
292.15000000000003,2.41717,0.13897,0.29215
293.75,2.40615,0.12787,0.29375
295.35,2.39505,0.11776,0.29535
296.95,2.38395,0.10859,0.29695
298.54999999999995,2.37292,0.1003,0.29855
300.15,2.36201,0.09282,0.30015
301.75,2.35127,0.08609,0.30175
303.35,2.34075,0.08005,0.30335
304.95,2.33046,0.07464,0.30495
306.55,2.32044,0.06982,0.30655
308.15,2.31069,0.06553,0.30815
309.75,2.30124,0.06173,0.30975
311.35,2.29209,0.05837,0.31135
312.95,2.28326,0.05542,0.31295
314.55,2.27475,0.05284,0.31455
316.15,2.26658,0.0506,0.31615
317.75,2.25875,0.04868,0.31775
319.35,2.25133,0.04703,0.31935
320.95,2.24435,0.0455,0.32095
322.55,2.23769,0.04403,0.32255
324.16,2.23129,0.0426,0.32416
325.76,2.22512,0.04122,0.32576
327.35999999999996,2.21914,0.03989,0.32736
328.96,2.21335,0.03861,0.32896
330.56,2.20773,0.03737,0.33056
332.16,2.20226,0.03617,0.33216
333.76,2.19692,0.03502,0.33376
335.36,2.19173,0.03391,0.33536
336.96,2.18665,0.03284,0.33696
338.56,2.1817,0.0318,0.33856
340.16,2.17685,0.03081,0.34016
341.76,2.17211,0.02985,0.34176
343.36,2.16746,0.02893,0.34336
344.97,2.16291,0.02804,0.34497
346.57,2.15846,0.02718,0.34657
348.16999999999996,2.15408,0.02635,0.34817
349.77000000000004,2.14979,0.02556,0.34977
351.37,2.14558,0.02479,0.35137
352.97,2.14144,0.02406,0.35297
354.57,2.13738,0.02335,0.35457
356.16999999999996,2.13338,0.02266,0.35617
357.77,2.12945,0.022,0.35777
359.38,2.12559,0.02137,0.35938
360.98,2.12179,0.02076,0.36098
362.58000000000004,2.11804,0.02017,0.36258
364.18,2.11436,0.01961,0.36418
365.78,2.11073,0.01907,0.36578
367.38,2.10716,0.01854,0.36738
368.97999999999996,2.10364,0.01804,0.36898
370.58000000000004,2.10017,0.01756,0.37058
372.19,2.09675,0.01709,0.37219
373.79,2.09337,0.01664,0.37379
375.39,2.09005,0.01621,0.37539
376.99,2.08676,0.0158,0.37699
378.59,2.08352,0.0154,0.37859
380.19,2.08033,0.01502,0.38019
381.79,2.07717,0.01465,0.38179
383.39,2.07406,0.0143,0.38339
385.0,2.07098,0.01396,0.385
386.6,2.06794,0.01363,0.3866
388.2,2.06494,0.01332,0.3882
389.79999999999995,2.06197,0.01301,0.3898
391.40000000000003,2.05903,0.01272,0.3914
393.0,2.05613,0.01244,0.393
394.6,2.05327,0.01218,0.3946
396.21,2.05043,0.01192,0.39621
397.81,2.04762,0.01167,0.39781
399.40999999999997,2.04485,0.01144,0.39941
401.01,2.0421,0.01121,0.40101
402.61,2.03938,0.01099,0.40261
404.21000000000004,2.03669,0.01078,0.40421
405.81,2.03403,0.01058,0.40581
407.42,2.03139,0.01039,0.40742
409.02,2.02878,0.01021,0.40902
410.62,2.0262,0.01003,0.41062
412.21999999999997,2.02364,0.00986,0.41222
413.82,2.0211,0.0097,0.41382
415.42,2.01858,0.00955,0.41542
417.02,2.01609,0.0094,0.41702
418.63,2.01362,0.00926,0.41863
420.23,2.01116,0.00912,0.42023
421.83,2.00873,0.00899,0.42183
423.42999999999995,2.00632,0.00887,0.42343
425.03000000000003,2.00393,0.00875,0.42503
426.63,2.00156,0.00864,0.42663
428.23,1.99921,0.00853,0.42823
429.84,1.99688,0.00843,0.42984
431.44,1.99456,0.00834,0.43144
433.03999999999996,1.99226,0.00824,0.43304
434.64000000000004,1.98998,0.00816,0.43464
436.24,1.98771,0.00807,0.43624
437.84000000000003,1.98546,0.008,0.43784
439.44,1.98323,0.00792,0.43944
441.05,1.981,0.00785,0.44105
442.65,1.9788,0.00779,0.44265
444.25,1.97661,0.00773,0.44425
445.85,1.97443,0.00767,0.44585
447.45,1.97227,0.00761,0.44745
449.05,1.97012,0.00756,0.44905
450.65,1.96798,0.00751,0.45065
452.25,1.96586,0.00747,0.45225
453.86,1.96375,0.00743,0.45386
455.46,1.96164,0.00739,0.45546
457.06,1.95956,0.00735,0.45706
458.66,1.95748,0.00732,0.45866
460.26,1.95541,0.00729,0.46026
461.86,1.95336,0.00727,0.46186
463.46,1.95131,0.00724,0.46346
465.05999999999995,1.94928,0.00722,0.46506
466.66999999999996,1.94725,0.0072,0.46667
468.27000000000004,1.94524,0.00719,0.46827
469.87,1.94323,0.00717,0.46987
471.47,1.94123,0.00716,0.47147
473.07,1.93925,0.00715,0.47307
474.66999999999996,1.93727,0.00715,0.47467
476.27000000000004,1.9353,0.00714,0.47627
477.87,1.93333,0.00714,0.47787
479.47,1.93138,0.00714,0.47947
481.07,1.92943,0.00714,0.48107
