nm,n,k,wl
250.0,3.04958,1.063965,0.25
255.0,3.079132,0.990757,0.255
260.0,3.10252,0.917045,0.26
265.0,3.119809,0.843424,0.265
270.0,3.13113,0.770466,0.27
275.0,3.136674,0.698714,0.275
280.0,3.136685,0.628673,0.28
285.0,3.131452,0.56081,0.285
290.0,3.121301,0.495546,0.29
295.0,3.106589,0.43326,0.295
300.0,3.087695,0.374286,0.3
305.0,3.065014,0.318917,0.305
310.0,3.038957,0.267408,0.31
315.0,3.009942,0.219978,0.315
320.0,2.9784,0.176816,0.32
325.0,2.944769,0.138083,0.325
330.0,2.909504,0.103919,0.33
335.0,2.873078,0.074443,0.335
340.0,2.836018,0.050857,0.34
345.0,2.798877,0.034999,0.345
350.0,2.762242,0.024358,0.35
355.0,2.726899,0.017131,0.355
360.0,2.69398,0.012164,0.36
365.0,2.665907,0.008709,0.365
370.0,2.642547,0.006284,0.37
375.0,2.622007,0.004572,0.375
380.0,2.603584,0.003352,0.38
385.0,2.586864,0.002478,0.385
390.0,2.571562,0.001845,0.39
395.0,2.557471,0.001384,0.395
400.0,2.544428,0.001046,0.4
405.0,2.532304,0.000795,0.405
410.0,2.520995,0.000609,0.41
415.0,2.510414,0.000469,0.415
420.0,2.500485,0.000364,0.42
425.0,2.491147,0.000284,0.425
430.0,2.482346,0.000223,0.43
435.0,2.474034,0.000176,0.435
440.0,2.46617,0.00014,0.44
445.0,2.458718,0.000111,0.445
450.0,2.451645,8.9e-05,0.45
455.0,2.444923,7.2e-05,0.455
460.0,2.438526,5.8e-05,0.46
465.0,2.43243,4.7e-05,0.465
470.0,2.426616,3.9e-05,0.47
475.0,2.421063,3.2e-05,0.475
480.0,2.415755,2.6e-05,0.48
485.0,2.410676,2.2e-05,0.485
490.0,2.405812,1.8e-05,0.49
495.0,2.40115,1.5e-05,0.495
500.0,2.396677,1.3e-05,0.5
505.0,2.392383,1e-05,0.505
510.0,2.388258,9e-06,0.51
515.0,2.384291,7e-06,0.515
520.0,2.380475,6e-06,0.52
525.0,2.376801,5e-06,0.525
530.0,2.373261,5e-06,0.53
535.0,2.369849,4e-06,0.535
540.0,2.366559,3e-06,0.54
545.0,2.363383,3e-06,0.545
550.0,2.360317,3e-06,0.55
555.0,2.357355,2e-06,0.555
560.0,2.354492,2e-06,0.56
565.0,2.351724,2e-06,0.565
570.0,2.349046,1e-06,0.57
575.0,2.346454,1e-06,0.575
580.0,2.343944,1e-06,0.58
585.0,2.341513,1e-06,0.585
590.0,2.339157,1e-06,0.59
595.0,2.336873,1e-06,0.595
600.0,2.334657,1e-06,0.6
605.0,2.332508,1e-06,0.605
610.0,2.330422,1e-06,0.61
615.0,2.328396,0.0,0.615
620.0,2.326429,0.0,0.62
625.0,2.324518,0.0,0.625
630.0,2.32266,0.0,0.63
635.0,2.320854,0.0,0.635
640.0,2.319098,0.0,0.64
645.0,2.317389,0.0,0.645
650.0,2.315726,0.0,0.65
655.0,2.314108,0.0,0.655
660.0,2.312532,0.0,0.66
665.0,2.310998,0.0,0.665
670.0,2.309503,0.0,0.67
675.0,2.308046,0.0,0.675
680.0,2.306626,0.0,0.68
685.0,2.305242,0.0,0.685
690.0,2.303892,0.0,0.69
695.0,2.302575,0.0,0.695
700.0,2.301291,0.0,0.7
705.0,2.300037,0.0,0.705
710.0,2.298814,0.0,0.71
715.0,2.297619,0.0,0.715
720.0,2.296453,0.0,0.72
725.0,2.295313,0.0,0.725
730.0,2.2942,0.0,0.73
735.0,2.293113,0.0,0.735
740.0,2.29205,0.0,0.74
745.0,2.291011,0.0,0.745
750.0,2.289996,0.0,0.75
755.0,2.289002,0.0,0.755
760.0,2.288031,0.0,0.76
765.0,2.287081,0.0,0.765
770.0,2.286151,0.0,0.77
775.0,2.285241,0.0,0.775
780.0,2.284351,0.0,0.78
785.0,2.283479,0.0,0.785
790.0,2.282626,0.0,0.79
795.0,2.28179,0.0,0.795
800.0,2.280972,0.0,0.8
805.0,2.28017,0.0,0.805
810.0,2.279384,0.0,0.81
815.0,2.278615,0.0,0.815
820.0,2.277861,0.0,0.82
825.0,2.277121,0.0,0.825
830.0,2.276397,0.0,0.83
835.0,2.275686,0.0,0.835
840.0,2.27499,0.0,0.84
845.0,2.274306,0.0,0.845
850.0,2.273636,0.0,0.85
855.0,2.272979,0.0,0.855
860.0,2.272334,0.0,0.86
865.0,2.271701,0.0,0.865
870.0,2.27108,0.0,0.87
875.0,2.270471,0.0,0.875
880.0,2.269872,0.0,0.88
885.0,2.269285,0.0,0.885
890.0,2.268708,0.0,0.89
895.0,2.268142,0.0,0.895
900.0,2.267586,0.0,0.9
905.0,2.26704,0.0,0.905
910.0,2.266503,0.0,0.91
915.0,2.265976,0.0,0.915
920.0,2.265458,0.0,0.92
925.0,2.264949,0.0,0.925
930.0,2.264449,0.0,0.93
935.0,2.263957,0.0,0.935
940.0,2.263474,0.0,0.94
945.0,2.262999,0.0,0.945
950.0,2.262532,0.0,0.95
955.0,2.262073,0.0,0.955
960.0,2.261621,0.0,0.96
965.0,2.261177,0.0,0.965
970.0,2.260741,0.0,0.97
975.0,2.260311,0.0,0.975
980.0,2.259888,0.0,0.98
985.0,2.259472,0.0,0.985
990.0,2.259063,0.0,0.99
995.0,2.258661,0.0,0.995
1000.0,2.258265,0.0,1.0
1004.9999999999999,2.257875,0.0,1.005
1010.0,2.257491,0.0,1.01
1014.9999999999999,2.257113,0.0,1.015
1020.0,2.256741,0.0,1.02
1025.0,2.256375,0.0,1.025
1030.0,2.256014,0.0,1.03
1035.0,2.255659,0.0,1.035
1040.0,2.25531,0.0,1.04
1045.0,2.254965,0.0,1.045
1050.0,2.254626,0.0,1.05
1055.0,2.254292,0.0,1.055
1060.0,2.253963,0.0,1.06
1065.0,2.253639,0.0,1.065
1070.0,2.253319,0.0,1.07
1075.0,2.253005,0.0,1.075
1080.0,2.252694,0.0,1.08
1085.0,2.252389,0.0,1.085
1090.0,2.252087,0.0,1.09
1095.0,2.25179,0.0,1.095
1100.0,2.251498,0.0,1.1
1105.0,2.251209,0.0,1.105
1110.0,2.250925,0.0,1.11
1115.0,2.250644,0.0,1.115
1120.0,2.250368,0.0,1.12
1125.0,2.250095,0.0,1.125
1130.0,2.249826,0.0,1.13
1135.0,2.249561,0.0,1.135
1140.0,2.2493,0.0,1.14
1145.0,2.249042,0.0,1.145
1150.0,2.248787,0.0,1.15
1155.0,2.248536,0.0,1.155
1160.0,2.248289,0.0,1.16
1165.0,2.248044,0.0,1.165
1170.0,2.247803,0.0,1.17
1175.0,2.247566,0.0,1.175
1180.0,2.247331,0.0,1.18
1185.0,2.247099,0.0,1.185
1190.0,2.246871,0.0,1.19
1195.0,2.246645,0.0,1.195
1200.0,2.246423,0.0,1.2
1205.0,2.246203,0.0,1.205
1210.0,2.245986,0.0,1.21
1215.0,2.245772,0.0,1.215
1220.0,2.24556,0.0,1.22
1225.0,2.245352,0.0,1.225
1230.0,2.245146,0.0,1.23
1235.0,2.244942,0.0,1.235
1240.0,2.244741,0.0,1.24
1245.0,2.244543,0.0,1.245
1250.0,2.244347,0.0,1.25
1255.0,2.244153,0.0,1.255
1260.0,2.243962,0.0,1.26
1265.0,2.243773,0.0,1.265
1270.0,2.243587,0.0,1.27
1275.0,2.243403,0.0,1.275
1280.0,2.243221,0.0,1.28
1285.0,2.243041,0.0,1.285
1290.0,2.242863,0.0,1.29
1295.0,2.242688,0.0,1.295
1300.0,2.242515,0.0,1.3
1305.0,2.242343,0.0,1.305
1310.0,2.242174,0.0,1.31
