nm,n,k,wl
400.0,2.5699339484984,0.00192,0.4
414.5,2.5329970809397,0.001746,0.4145
429.5,2.5030416753539,0.0015755,0.4295
445.0,2.4781489849884,0.0014199999999999998,0.445
461.1,2.4569596297262,0.0012712,0.4611
477.8,2.438689164242,0.0011375999999999997,0.4778
495.09999999999997,2.4227742061349,0.0010143,0.4951
513.0,2.4087967483656,0.000898,0.513
531.5999999999999,2.3963761158072,0.0007916800000000003,0.5316
550.8,2.3853421738649,0.0006954000000000003,0.5508
570.8,2.3753998684833,0.0006077999999999999,0.5708
591.4000000000001,2.3665019445716,0.0005290999999999997,0.5914
612.8,2.3584381212068,0.00045759999999999996,0.6128
635.0,2.3511185893296,0.0003945,0.635
658.0,2.3444649691017,0.0003376,0.658
681.8,2.3384084821195,0.00028758000000000017,0.6818
706.5,2.3328674235223,0.0002435999999999999,0.7065
732.1,2.3277954532209,0.00020506000000000002,0.7321
758.6,2.3231503690594,0.00017153999999999997,0.7586
786.0,2.318893758264,0.0001426,0.786
814.5,2.3149646873959,0.00011740000000000001,0.8145
843.9,2.3113630971928,9.636499999999999e-05,0.8439
874.5,2.3080281900646,7.841499999999997e-05,0.8745
906.1,2.3049612061395,6.3377e-05,0.9061
938.9,2.3021229690809,5.0785e-05,0.9389
972.9,2.2994977014729,4.0416999999999996e-05,0.9729
1008.0,2.2970766392242,0.0,1.008
1045.0,2.2947964286517,0.0,1.045
1082.0,2.2927553203616,0.0,1.082
1122.0,2.2907790790605,0.0,1.122
1162.0,2.289008279621,0.0,1.162
1204.0,2.2873386602628,0.0,1.204
1248.0,2.2857686057313,0.0,1.248
1293.0,2.2843256676054,0.0,1.293
1340.0,2.2829695921748,0.0,1.34
1388.0,2.2817216309433,0.0,1.388
1439.0,2.2805260246626,0.0,1.439
1491.0,2.2794258775673,0.0,1.491
1545.0,2.278392623708,0.0,1.545
1600.0,2.2774386759658,0.0,1.6
1658.0,2.2765252861033,0.0,1.658
1718.0,2.2756664305234,0.0,1.718
1781.0,2.2748454619145,0.0,1.781
1845.0,2.2740842266766,0.0,1.845
1912.0,2.2733546771083,0.0,1.912
1981.0,2.2726650916667,0.0,1.981
2053.0,2.2720026738289,0.0,2.053
2127.0,2.2713738306395,0.0,2.127
2204.0,2.2707671939416,0.0,2.204
2284.0,2.2701807642826,0.0,2.284
2366.0,2.2696190222394,0.0,2.366
2452.0,2.2690660594749,0.0,2.452
2541.0,2.2685266406474,0.0,2.541
2633.0,2.2679984176034,0.0,2.633
2728.0,2.2674790369004,0.0,2.728
2827.0,2.2669610294368,0.0,2.827
2929.0,2.2664475705366,0.0,2.929
3035.0,2.2659314881306,0.0,3.035
3145.0,2.2654108220131,0.0,3.145
3259.0,2.2648835078138,0.0,3.259
3377.0,2.2643473989414,0.0,3.377
3499.0,2.2638002838005,0.0,3.499
3626.0,2.2632354631043,0.0,3.626
3757.0,2.2626550816557,0.0,3.757
3893.0,2.262052304814,0.0,3.893
4034.0,2.2614246272585,0.0,4.034
4180.0,2.2607694227115,0.0,4.18
4331.0,2.2600839527895,0.0,4.331
4488.0,2.259360728331,0.0,4.488
4650.0,2.2586012697869,0.0,4.65
4818.0,2.2577976517708,0.0,4.818
4993.0,2.2569413848899,0.0,4.993
5174.0,2.2560334417423,0.0,5.174
5361.0,2.2550698786097,0.0,5.361
5555.0,2.2540411818486,0.0,5.555
5756.0,2.2529425142016,0.0,5.756
5964.0,2.251768752628,0.0,5.964
6180.0,2.2505085413623,0.0,6.18
6404.0,2.2491555051922,0.0,6.404
6636.0,2.2477028447931,0.0,6.636
6876.0,2.2461433091556,0.0,6.876
7125.0,2.2444622807077,0.0,7.125
7382.0,2.2426578273211,0.0,7.382
7650.0,2.2406986938401,0.0,7.65
7926.0,2.2385958597376,0.0,7.926
8213.0,2.2363146143038,0.0,8.213
8511.0,2.2338405806221,0.0,8.511
8819.0,2.231166983676,0.0,8.819
9138.0,2.2282687157272,0.0,9.138
9468.0,2.2251272169693,0.0,9.468
9811.0,2.2217017053941,0.0,9.811
10170.0,2.2179344738402,0.0,10.17
10530.0,2.2139620787055,0.0,10.53
10920.0,2.2094288229057,0.0,10.92
11310.0,2.2046452622891,0.0,11.31
11720.0,2.1993328169667,0.0,11.72
12140.0,2.1935732643187,0.0,12.14
12580.0,2.1871749061921,0.0,12.58
13040.0,2.1800621571393,0.0,13.04
13510.0,2.1723177868792,0.0,13.51
14000.0,2.1636937217874,0.0,14.0
