nm,n,k,wl
103.3,0.327,0.726,0.1033
107.80000000000001,0.363,0.847,0.1078
112.69999999999999,0.392,0.946,0.1127
118.1,0.423,1.04,0.1181
124.0,0.459,1.14,0.124
130.5,0.497,1.24,0.1305
137.8,0.543,1.35,0.1378
145.9,0.597,1.47,0.1459
155.0,0.66,1.6,0.155
165.3,0.735,1.74,0.1653
177.1,0.832,1.89,0.1771
190.70000000000002,0.951,2.07,0.1907
206.6,1.11,2.28,0.2066
225.39999999999998,1.35,2.51,0.2254
248.0,1.69,2.76,0.248
258.29999999999995,1.86,2.85,0.2583
269.5,2.07,2.93,0.2695
281.8,2.3,2.99,0.2818
295.20000000000005,2.56,3.04,0.2952
310.0,2.87,3.06,0.31
326.29999999999995,3.21,3.0,0.3263
344.4,3.55,2.88,0.3444
354.3,3.73,2.79,0.3543
364.70000000000005,3.9,2.66,0.3647
387.5,4.17,2.38,0.3875
413.3,4.38,2.02,0.4133
442.8,4.47,1.64,0.4428
476.9,4.49,1.28,0.4769
496.0,4.47,1.12,0.496
516.5999999999999,4.46,0.969,0.5166
563.6,4.36,0.69,0.5636
619.9,4.23,0.461,0.6199
652.5999999999999,4.17,0.363,0.6526
688.8,4.09,0.271,0.6888
729.3,4.01,0.199,0.7293
774.9,3.93,0.136,0.7749
826.6,3.86,0.0812,0.8266
885.6,3.77,0.0401,0.8856
953.8,3.68,0.0,0.9538
1033.0,3.61,0.0,1.033
1127.0,3.57,0.0,1.127
1240.0,3.54,0.0,1.24
1378.0,3.5,0.0,1.378
1550.0,3.48,0.0,1.55
1771.0,3.45,0.0,1.771
2066.0,3.44,0.0,2.066
