wl,n
52.00,3.5313413143524
61.48,3.1140488370739
70.96,2.9331945628896
80.44,2.8340998768129
89.92,2.772641069323
99.40,2.7314233090843
108.9,2.7021805323613
118.4,2.6806291704686
127.8,2.6643904588415
137.3,2.6515753384754
146.8,2.6413737891312
156.3,2.6331106242831
165.8,2.6263179263726
175.2,2.6207169115817
184.7,2.6159471529148
194.2,2.6118923667535
203.7,2.6084152228991
213.2,2.605410102214
222.6,2.6028203788543
232.1,2.6005264141188
241.6,2.5985056367024
251.1,2.5967160693736
260.6,2.5951235421311
270.0,2.5937141922748
279.5,2.5924350077612
289.0,2.5912824525975
298.5,2.5902402759327
308.0,2.5892947630051
317.4,2.5884429235166
326.9,2.5876567787252
336.4,2.5869372869646
345.9,2.5862770963032
355.4,2.5856698443051
364.8,2.5851156653565
374.3,2.5845979837673
383.8,2.584118706129
393.3,2.5836741159626
402.8,2.5832609368016
412.2,2.5828801807456
421.7,2.5825211972229
431.2,2.582185892941
440.7,2.5818722259527
450.2,2.5815783701913
459.6,2.5813055010798
469.1,2.5810463538901
478.6,2.5808025980866
488.1,2.5805730364819
497.6,2.5803565862524
507.0,2.5801543567741
516.5,2.5799611615753
526.0,2.5797784028518
535.5,2.5796053411579
545.0,2.5794413014837
554.4,2.5792872631096
563.9,2.5791393880715
573.4,2.5789988393703
582.9,2.5788651403366
592.4,2.5787378524907
601.8,2.5786178185902
611.3,2.5785021152712
620.8,2.5783917060661
630.3,2.5782862725219
639.8,2.5781855197986
649.2,2.5780901666954
658.7,2.5779979329249
668.2,2.577909619824
677.7,2.5778250080922
687.2,2.5777438935634
696.6,2.5776668883978
706.1,2.5775921781858
715.6,2.577520433369
725.1,2.5774514989413
734.6,2.5773852299013
744.0,2.577322148701
753.5,2.5772607870379
763.0,2.5772017096796
772.5,2.5771448045567
782.0,2.5770899663934
791.4,2.5770376428254
800.9,2.5769866282581
810.4,2.5769374017958
819.9,2.5768898807877
829.4,2.5768439873067
838.8,2.5768001067102
848.3,2.5767572365397
857.8,2.5767157860463
867.3,2.576675693196
876.8,2.5766368993086
886.2,2.5765997378184
895.7,2.5765633658977
905.2,2.5765281354554
914.7,2.5764939991983
924.2,2.5764609122586
933.6,2.576429164631
943.1,2.5763980407274
952.6,2.5763678450572
962.1,2.5763385410564
971.6,2.5763100939448
981.0,2.576282757214
990.5,2.5762559179826
1000,2.5762298413089

wl,k
52.083,7.07E-02
52.356,6.96E-02
52.632,6.85E-02
52.910,6.74E-02
53.191,6.63E-02
53.476,6.52E-02
53.763,6.42E-02
54.054,6.33E-02
54.348,6.24E-02
54.645,6.13E-02
54.945,6.03E-02
55.249,5.94E-02
55.556,5.85E-02
55.866,5.77E-02
56.180,5.68E-02
56.497,5.60E-02
56.818,5.54E-02
57.143,5.48E-02
57.471,5.42E-02
57.803,5.36E-02
58.140,5.29E-02
58.480,5.23E-02
58.824,5.18E-02
59.172,5.13E-02
59.524,5.09E-02
59.880,5.05E-02
60.241,5.01E-02
60.606,4.98E-02
60.976,4.94E-02
61.350,4.91E-02
61.728,4.88E-02
62.112,4.85E-02
62.500,4.82E-02
62.893,4.80E-02
63.291,4.77E-02
63.694,4.75E-02
64.103,4.73E-02
64.516,4.71E-02
64.935,4.69E-02
65.359,4.67E-02
65.789,4.65E-02
66.225,4.64E-02
66.667,4.63E-02
67.114,4.62E-02
67.568,4.62E-02
68.027,4.62E-02
68.493,4.62E-02
68.966,4.61E-02
69.444,4.61E-02
69.930,4.61E-02
70.423,4.61E-02
70.922,4.61E-02
71.429,4.61E-02
71.942,4.62E-02
72.464,4.62E-02
72.993,4.63E-02
73.529,4.64E-02
74.074,4.65E-02
74.627,4.67E-02
75.188,4.68E-02
75.758,4.69E-02
76.336,4.71E-02
76.923,4.72E-02
77.519,4.72E-02
78.125,4.73E-02
78.740,4.74E-02
79.365,4.75E-02
80.000,4.75E-02
80.645,4.76E-02
81.301,4.77E-02
81.967,4.77E-02
82.645,4.77E-02
83.333,4.77E-02
84.034,4.77E-02
84.746,4.77E-02
85.470,4.77E-02
86.207,4.77E-02
86.957,4.77E-02
87.719,4.77E-02
88.496,4.76E-02
89.286,4.76E-02
90.090,4.74E-02
90.909,4.73E-02
91.743,4.71E-02
92.593,4.70E-02
93.458,4.68E-02
94.340,4.67E-02
