wl,n
0.230,2.35000
0.232,2.35000
0.234,2.34271
0.236,2.33303
0.238,2.32371
0.240,2.31472
0.242,2.30605
0.244,2.29768
0.246,2.28961
0.248,2.28182
0.250,2.27430
0.252,2.26703
0.254,2.26001
0.256,2.25322
0.258,2.24666
0.260,2.24031
0.262,2.23416
0.264,2.22822
0.266,2.22246
0.268,2.21689
0.270,2.21149
0.272,2.20626
0.274,2.20118
0.276,2.19627
0.278,2.19150
0.280,2.18687
0.282,2.18238
0.284,2.17803
0.286,2.17380
0.288,2.16969
0.290,2.16570
0.292,2.16183
0.294,2.15806
0.296,2.15440
0.298,2.15084
0.300,2.14738
0.302,2.14401
0.304,2.14074
0.306,2.13755
0.308,2.13445
0.310,2.13143
0.312,2.12848
0.314,2.12562
0.316,2.12283
0.318,2.12011
0.320,2.11746
0.322,2.11488
0.324,2.11236
0.326,2.10990
0.328,2.10751
0.330,2.10517
0.332,2.10289
0.334,2.10066
0.336,2.09849
0.338,2.09637
0.340,2.09430
0.342,2.09228
0.344,2.09030
0.346,2.08838
0.348,2.08649
0.350,2.08465
0.352,2.08285
0.354,2.08109
0.356,2.07937
0.358,2.07768
0.360,2.07604
0.362,2.07443
0.364,2.07285
0.366,2.07131
0.368,2.06980
0.370,2.06833
0.372,2.06688
0.374,2.06547
0.376,2.06408
0.378,2.06273
0.380,2.06140
0.382,2.06010
0.384,2.05882
0.386,2.05757
0.388,2.05635
0.390,2.05515
0.392,2.05397
0.394,2.05282
0.396,2.05169
0.398,2.05058
0.400,2.04949
0.402,2.04842
0.404,2.04738
0.406,2.04635
0.408,2.04534
0.410,2.04435
0.412,2.04338
0.414,2.04243
0.416,2.04149
0.418,2.04058
0.420,2.03968
0.422,2.03879
0.424,2.03792
0.426,2.03707
0.428,2.03623
0.430,2.03541
0.432,2.03460
0.434,2.03380
0.436,2.03302
0.438,2.03225
0.440,2.03150
0.442,2.03076
0.444,2.03003
0.446,2.02931
0.448,2.02860
0.450,2.02791
0.452,2.02723
0.454,2.02656
0.456,2.02590
0.458,2.02525
0.460,2.02461
0.462,2.02398
0.464,2.02336
0.466,2.02275
0.468,2.02216
0.470,2.02157
0.472,2.02099
0.474,2.02041
0.476,2.01985
0.478,2.01930
0.480,2.01875
0.482,2.01822
0.484,2.01769
0.486,2.01717
0.488,2.01666
0.490,2.01615
0.492,2.01565
0.494,2.01516
0.496,2.01468
0.498,2.01420
0.500,2.01374
0.502,2.01327
0.504,2.01282
0.506,2.01237
0.508,2.01193
0.510,2.01149
0.512,2.01106
0.514,2.01064
0.516,2.01022
0.518,2.00981
0.520,2.00940
0.522,2.00900
0.524,2.00860
0.526,2.00821
0.528,2.00783
0.530,2.00745
0.532,2.00708
0.534,2.00671
0.536,2.00634
0.538,2.00598
0.540,2.00563
0.542,2.00528
0.544,2.00493
0.546,2.00459
0.548,2.00426
0.550,2.00393
0.552,2.00360
0.554,2.00327
0.556,2.00296
0.558,2.00264
0.560,2.00233
0.562,2.00202
0.564,2.00172
0.566,2.00142
0.568,2.00112
0.570,2.00083
0.572,2.00054
0.574,2.00026
0.576,1.99998
0.578,1.99970
0.580,1.99942
0.582,1.99915
0.584,1.99888
0.586,1.99862
0.588,1.99836
0.590,1.99810
0.592,1.99784
0.594,1.99759
0.596,1.99734
0.598,1.99709
0.600,1.99685
0.602,1.99661
0.604,1.99637
0.606,1.99614
0.608,1.99590
0.610,1.99567
0.612,1.99544
0.614,1.99522
0.616,1.99500
0.618,1.99478
0.620,1.99456
0.622,1.99435
0.624,1.99413
0.626,1.99392
0.628,1.99371
0.630,1.99351
0.632,1.99331
0.634,1.99310
0.636,1.99291
0.638,1.99271
0.640,1.99252
0.642,1.99232
0.644,1.99213
0.646,1.99194
0.648,1.99176
0.650,1.99157
0.652,1.99139
0.654,1.99121
0.656,1.99103
0.658,1.99085
0.660,1.99068
0.662,1.99051
0.664,1.99034
0.666,1.99017
0.668,1.99000
0.670,1.98983
0.672,1.98967
0.674,1.98950
0.676,1.98934
0.678,1.98918
0.680,1.98903
0.682,1.98887
0.684,1.98871
0.686,1.98856
0.688,1.98841
0.690,1.98826
0.692,1.98811
0.694,1.98796
0.696,1.98782
0.698,1.98767
0.700,1.98753
0.702,1.98739
0.704,1.98725
0.706,1.98711
0.708,1.98697
0.710,1.98683
0.712,1.98670
0.714,1.98657
0.716,1.98643
0.718,1.98630
0.720,1.98617
0.722,1.98604
0.724,1.98592
0.726,1.98579
0.728,1.98566
0.730,1.98554
0.732,1.98542
0.734,1.98530
0.736,1.98517
0.738,1.98506
0.740,1.98494
0.742,1.98482
0.744,1.98470
0.746,1.98459
0.748,1.98447
0.750,1.98436
0.752,1.98425
0.754,1.98414
0.756,1.98403
0.758,1.98392
0.760,1.98381
0.762,1.98370
0.764,1.98360
0.766,1.98349
0.768,1.98339
0.770,1.98328
0.772,1.98318
0.774,1.98308
0.776,1.98297
0.778,1.98287
0.780,1.98278
0.782,1.98268
0.784,1.98258
0.786,1.98248
0.788,1.98239
0.790,1.98229
0.792,1.98220
0.794,1.98210
0.796,1.98201
0.798,1.98192
0.800,1.98183
0.802,1.98174
0.804,1.98165
0.806,1.98156
0.808,1.98147
0.810,1.98138
0.812,1.98130
0.814,1.98121
0.816,1.98112
0.818,1.98104
0.820,1.98096
0.822,1.98087
0.824,1.98079
0.826,1.98071
0.828,1.98063
0.830,1.98055
0.832,1.98046
0.834,1.98039
0.836,1.98031
0.838,1.98023
0.840,1.98015
0.842,1.98007
0.844,1.98000
0.846,1.97992
0.848,1.97985
0.850,1.97977
0.852,1.97970
0.854,1.97962
0.856,1.97955
0.858,1.97948
0.860,1.97941
0.862,1.97934
0.864,1.97926
0.866,1.97919
0.868,1.97912
0.870,1.97906
0.872,1.97899
0.874,1.97892
0.876,1.97885
0.878,1.97878
0.880,1.97872
0.882,1.97865
0.884,1.97859
0.886,1.97852
0.888,1.97846
0.890,1.97839
0.892,1.97833
0.894,1.97826
0.896,1.97820
0.898,1.97814
0.900,1.97808
0.902,1.97802
0.904,1.97795
0.906,1.97789
0.908,1.97783
0.910,1.97777
0.912,1.97771
0.914,1.97766
0.916,1.97760
0.918,1.97754
0.920,1.97748
0.922,1.97742
0.924,1.97737
0.926,1.97731
0.928,1.97726
0.930,1.97720
0.932,1.97714
0.934,1.97709
0.936,1.97704
0.938,1.97698
0.940,1.97693
0.942,1.97687
0.944,1.97682
0.946,1.97677
0.948,1.97672
0.950,1.97666
0.952,1.97661
0.954,1.97656
0.956,1.97651
0.958,1.97646
0.960,1.97641
0.962,1.97636
0.964,1.97631
0.966,1.97626
0.968,1.97621
0.970,1.97616
0.972,1.97612
0.974,1.97607
0.976,1.97602
0.978,1.97597
0.980,1.97592
0.982,1.97588
0.984,1.97583
0.986,1.97579
0.988,1.97574
0.990,1.97570
0.992,1.97565
0.994,1.97561
0.996,1.97556
0.998,1.97552
1.000,1.97547
1.002,1.97543
1.004,1.97538
1.006,1.97534
1.008,1.97530
1.010,1.97526
1.012,1.97521
1.014,1.97517
1.016,1.97513
1.018,1.97509
1.020,1.97505
1.022,1.97501
1.024,1.97497
1.026,1.97493
1.028,1.97489
1.030,1.97485
1.032,1.97480
1.034,1.97477
1.036,1.97473
1.038,1.97469
1.040,1.97465
1.042,1.97461
1.044,1.97457
1.046,1.97453
1.048,1.97450
1.050,1.97446
1.052,1.97442
1.054,1.97438
1.056,1.97435
1.058,1.97431
1.060,1.97427
1.062,1.97424
1.064,1.97420
1.066,1.97417
1.068,1.97413
1.070,1.97409
1.072,1.97406
1.074,1.97402
1.076,1.97399
1.078,1.97395
1.080,1.97392
1.082,1.97389
1.084,1.97385
1.086,1.97382
1.088,1.97378
1.090,1.97375
1.092,1.97372
1.094,1.97369
1.096,1.97365
1.098,1.97362
1.100,1.97359
1.102,1.97356
1.104,1.97352
1.106,1.97349
1.108,1.97346
1.110,1.97343
1.112,1.97340
1.114,1.97337
1.116,1.97334
1.118,1.97330
1.120,1.97327
1.122,1.97324
