nm,n,k,wl
130.1,2.1355,0.7061,0.1301
130.75,2.1343,0.69418,0.13075
131.41,2.1327,0.68298,0.13141
132.07,2.1309,0.67254,0.13207
132.75,2.129,0.66286,0.13275
133.43,2.1271,0.65394,0.13343
134.11,2.1254,0.64574,0.13411
134.8,2.1239,0.6382,0.1348
135.5,2.1228,0.63123,0.1355
136.21,2.1221,0.62471,0.13621
136.93,2.122,0.61852,0.13693
137.65,2.1224,0.61251,0.13765
138.38,2.1233,0.60655,0.13838
139.12,2.1247,0.6005,0.13912
139.86,2.1265,0.59424,0.13986
140.62,2.1285,0.58767,0.14062
141.38,2.1307,0.58072,0.14138
142.15,2.133,0.57339,0.14215
142.93,2.135,0.56567,0.14293
143.72,2.1367,0.55763,0.14372
144.51,2.138,0.54937,0.14451
145.32,2.1387,0.54104,0.14532
146.13000000000002,2.1388,0.5328,0.14613
146.95,2.1381,0.52487,0.14695
147.79,2.1367,0.51747,0.14779
148.63000000000002,2.1345,0.51087,0.14863
149.48,2.1318,0.5053,0.14948
150.34,2.1286,0.50105,0.15034
151.21,2.1251,0.49837,0.15121
152.09,2.1216,0.49752,0.15209
152.98999999999998,2.1183,0.49874,0.15299
153.89,2.1156,0.50223,0.15389
154.79999999999998,2.1139,0.5081,0.1548
155.72,2.1131,0.5162,0.15572
156.66,2.1116,0.52654,0.15666
157.61,2.1056,0.54383,0.15761
158.56,2.0978,0.58331,0.15856
159.53,2.1176,0.6543,0.15953
160.51999999999998,2.1786,0.72475,0.16052
161.51,2.2932,0.82861,0.16151
162.51,2.5709,0.82737,0.16251
163.53,2.7781,0.60524,0.16353
164.57,2.802,0.33033,0.16457
165.61,2.6971,0.13219,0.16561
166.67000000000002,2.5624,0.038354,0.16667
167.74,2.455,0.0088071,0.16774
168.82,2.3804,0.0024063,0.16882
169.92,2.3267,0.001236,0.16992
171.04,2.285,0.00088809,0.17104
172.17,2.2506,0.0006777,0.17217
173.31,2.2213,0.00052465,0.17331
174.47,2.1957,0.00041265,0.17447
175.64,2.173,0.00033162,0.17564
176.82999999999998,2.1526,0.00027354,0.17683
178.04,2.1341,0.00023219,0.17804
179.26,2.1171,0.0002028,0.17926
180.51,2.1015,0.0001818,0.18051
181.76,2.0869,0.00016657,0.18176
183.04000000000002,2.0734,0.00015523,0.18304
184.32999999999998,2.0606,0.00014644,0.18433
185.64,2.0487,0.00013927,0.18564
186.97,2.0374,0.00013311,0.18697
188.32,2.0267,0.00012753,0.18832
189.69,2.0166,0.00012228,0.18969
191.08,2.0069,0.00011719,0.19108
192.48999999999998,1.9977,0.00011216,0.19249
193.92000000000002,1.9889,0.00010715,0.19392
195.36999999999998,1.9805,0.00010214,0.19537
196.85,1.9724,9.7124e-05,0.19685
198.33999999999997,1.9647,9.2126e-05,0.19834
199.86,1.9572,8.7163e-05,0.19986
201.41,1.9501,8.2259e-05,0.20141
202.97,1.9432,7.7442e-05,0.20297
204.57,1.9365,7.2742e-05,0.20457
206.18,1.9301,6.8187e-05,0.20618
207.82,1.9238,6.381e-05,0.20782
209.49,1.9178,5.964e-05,0.20949
211.19,1.912,5.5707e-05,0.21119
212.91,1.9063,5.2041e-05,0.21291
214.66,1.9008,4.8668e-05,0.21466
216.45000000000002,1.8955,4.5609e-05,0.21645
218.26000000000002,1.8903,4.288e-05,0.21826
220.1,1.8853,4.049e-05,0.2201
221.97,1.8804,3.8437e-05,0.22197
223.87,1.8757,3.6707e-05,0.22387
225.81,1.8711,3.5273e-05,0.22581
227.78,1.8666,3.4096e-05,0.22778
229.79,1.8622,3.3125e-05,0.22979
231.83,1.858,3.23e-05,0.23183
233.91,1.8538,3.1554e-05,0.23391
236.03,1.8498,3.0821e-05,0.23603
238.18,1.8458,3.0039e-05,0.23818
240.38000000000002,1.842,2.9156e-05,0.24038
242.60999999999999,1.8382,2.8139e-05,0.24261
244.89,1.8346,2.697e-05,0.24489
247.21,1.831,2.5659e-05,0.24721
249.57,1.8275,2.4233e-05,0.24957
251.98,1.8241,2.2742e-05,0.25198
254.44,1.8207,2.1247e-05,0.25444
256.95,1.8175,1.9817e-05,0.25695
259.5,1.8143,1.8515e-05,0.2595
262.11,1.8112,1.7389e-05,0.26211
264.77,1.8081,1.6469e-05,0.26477
267.49,1.8052,1.5751e-05,0.26749
270.26,1.8022,1.5206e-05,0.27026
273.09,1.7994,1.4776e-05,0.27309
275.96999999999997,1.7966,1.4386e-05,0.27597
278.92,1.7939,1.3958e-05,0.27892
281.94,1.7912,1.342e-05,0.28194
285.02,1.7886,1.2719e-05,0.28502
288.16999999999996,1.786,1.1831e-05,0.28817
291.39,1.7835,1.0764e-05,0.29139
294.68,1.7811,9.5535e-06,0.29468
298.04,1.7787,8.2546e-06,0.29804
301.48999999999995,1.7763,6.9343e-06,0.30149
305.01,1.774,5.6581e-06,0.30501
308.62,1.7717,4.4823e-06,0.30862
312.31,1.7695,3.447e-06,0.31231
316.09999999999997,1.7674,2.5738e-06,0.3161
319.96999999999997,1.7652,1.8672e-06,0.31997
323.95,1.7632,1.3176e-06,0.32395
328.02,1.7611,9.0611e-07,0.32802
