nm,n,k,wl
300.0,1.646857286,0.972336834,0.3
310.0,1.455629699,0.572501372,0.31
320.0,0.920058628,0.331538655,0.32
330.0,0.233797996,0.585441289,0.33
340.0,0.103893124,1.052042671,0.34
350.0,0.07599858,1.326866905,0.35
360.0,0.063180003,1.533000885,0.36
370.0,0.056279242,1.708000982,0.37
380.0,0.050752406,1.858729622,0.38
390.0,0.048660415,1.99546181,0.39
400.0,0.04572895,2.122943979,0.4
410.0,0.04451952,2.241825593,0.41
420.0,0.043287376,2.357153749,0.42
430.0,0.041992656,2.465312026,0.43
440.0,0.041101491,2.573264334,0.44
450.0,0.040932342,2.675756988,0.45
460.0,0.040956736,2.776954709,0.46
470.0,0.040727224,2.873753418,0.47
480.0,0.040781493,2.972181544,0.48
490.0,0.041249589,3.066333564,0.49
500.0,0.041373355,3.159400537,0.5
510.0,0.041602686,3.251112238,0.51
520.0,0.04237275,3.342124392,0.52
530.0,0.042204211,3.433188197,0.53
540.0,0.043403286,3.522198723,0.54
550.0,0.043817181,3.610113564,0.55
560.0,0.044507429,3.69702325,0.56
570.0,0.045973387,3.783928323,0.57
580.0,0.046819894,3.870683674,0.58
590.0,0.046840293,3.95716995,0.59
600.0,0.047410447,4.041936139,0.6
610.0,0.048985705,4.126305805,0.61
620.0,0.049617793,4.208973975,0.62
630.0,0.051101901,4.293088795,0.63
640.0,0.051646932,4.376833034,0.64
650.0,0.05091337,4.460223332,0.65
660.0,0.053388535,4.543110205,0.66
670.0,0.052475104,4.623716431,0.67
680.0,0.054218627,4.705947265,0.68
690.0,0.054429231,4.788419629,0.69
700.0,0.054860386,4.869087149,0.7
710.0,0.056538596,4.950777375,0.71
720.0,0.057401233,5.034212441,0.72
730.0,0.057733458,5.113152956,0.73
740.0,0.059629401,5.195339803,0.74
750.0,0.060113603,5.274430173,0.75
760.0,0.059047193,5.356816832,0.76
770.0,0.063824207,5.436181889,0.77
780.0,0.063464686,5.512987191,0.78
790.0,0.062217489,5.598827647,0.79
800.0,0.063950702,5.678123783,0.8
810.0,0.067473356,5.753307975,0.81
820.0,0.067636134,5.836229489,0.82
830.0,0.068189561,5.911315405,0.83
840.0,0.067475107,5.99554442,0.84
850.0,0.070135706,6.076505494,0.85
860.0,0.070503234,6.15532052,0.86
870.0,0.072455233,6.235643492,0.87
880.0,0.073943622,6.313593878,0.88
890.0,0.074927946,6.38980549,0.89
900.0,0.074793597,6.469203512,0.9
910.0,0.077646805,6.547597195,0.91
920.0,0.07877958,6.627986589,0.92
930.0,0.080106493,6.706073147,0.93
940.0,0.080039752,6.784129005,0.94
950.0,0.081098618,6.865098469,0.95
960.0,0.083963945,6.942265476,0.96
970.0,0.082327665,7.024370281,0.97
980.0,0.08532286,7.10009014,0.98
990.0,0.087779237,7.177095875,0.99
1000.0,0.088025428,7.254153877,1.0
1010.0,0.090501937,7.335202151,1.01
1020.0,0.091223005,7.410959562,1.02
1030.0,0.093163641,7.488436383,1.03
1040.0,0.090978009,7.571609934,1.04
1050.0,0.093069308,7.647526521,1.05
1060.0,0.087488108,7.738194503,1.06
1070.0,0.090085692,7.812561387,1.07
1080.0,0.091414911,7.896414166,1.08
1090.0,0.08952186,7.969003336,1.09
1100.0,0.087625115,8.055909518,1.1
1110.0,0.090461037,8.13167776,1.11
1120.0,0.094528298,8.207066199,1.12
1130.0,0.092749501,8.287376091,1.13
1140.0,0.095451077,8.352970185,1.14
1150.0,0.084359933,8.445952676,1.15
1160.0,0.095878288,8.521220138,1.16
1170.0,0.097053265,8.593219381,1.17
1180.0,0.09493293,8.675598669,1.18
1190.0,0.098324452,8.74909525,1.19
1200.0,0.094881447,8.829439534,1.2
1210.0,0.098216298,8.901272181,1.21
1220.0,0.098772673,8.982747689,1.22
1230.0,0.095285601,9.065378059,1.23
1240.0,0.10376706,9.1406656,1.24
1250.0,0.100172489,9.224588583,1.25
1260.0,0.105090726,9.306720371,1.26
1270.0,0.103513926,9.373618039,1.27
1280.0,0.106644981,9.450046198,1.28
1290.0,0.107642765,9.532921219,1.29
1300.0,0.112669175,9.60555539,1.3
1310.0,0.115274563,9.681233817,1.31
1320.0,0.110070769,9.760538693,1.32
1330.0,0.113725572,9.83991532,1.33
1340.0,0.110796441,9.919993743,1.34
1350.0,0.115127087,9.983749508,1.35
1360.0,0.121692797,10.07495951,1.36
1370.0,0.120000737,10.1436877,1.37
1380.0,0.127761842,10.21157789,1.38
1390.0,0.127391401,10.30564062,1.39
1400.0,0.129567338,10.37144097,1.4
1410.0,0.129532614,10.45450997,1.41
1420.0,0.139425972,10.54179489,1.42
1430.0,0.136689082,10.61313733,1.43
1440.0,0.1337676,10.69616257,1.44
1450.0,0.13753433,10.76749347,1.45
