nm,n,k,wl
150.0,0.095390828,1.283666394,0.15
155.0,0.095510386,1.337393822,0.155
160.0,0.09903925,1.402928641,0.16
165.0,0.098692838,1.46616516,0.165
170.0,0.100850207,1.532569987,0.17
175.0,0.1069563,1.596539899,0.175
180.0,0.099715746,1.657661977,0.18
185.0,0.108316112,1.734368006,0.185
190.0,0.106567769,1.79116071,0.19
195.0,0.111513266,1.853411775,0.195
200.0,0.110803374,1.908606137,0.2
205.0,0.111587326,1.969936987,0.205
210.0,0.11365555,2.028057589,0.21
215.0,0.115928445,2.091850713,0.215
220.0,0.116173424,2.151998203,0.22
225.0,0.119771906,2.213039835,0.225
230.0,0.124315543,2.274896559,0.23
235.0,0.129276519,2.336773934,0.235
240.0,0.133002743,2.395514502,0.24
245.0,0.139688588,2.457358928,0.245
250.0,0.141162655,2.515219055,0.25
255.0,0.148765766,2.573777623,0.255
260.0,0.150722638,2.633214255,0.26
265.0,0.161465056,2.693431077,0.265
270.0,0.164610587,2.750035753,0.27
275.0,0.172365826,2.81099804,0.275
280.0,0.178635303,2.868973784,0.28
285.0,0.18587018,2.923276881,0.285
290.0,0.188953314,2.98248275,0.29
295.0,0.197315218,3.042340102,0.295
300.0,0.204991638,3.100858199,0.3
305.0,0.210097266,3.157347124,0.305
310.0,0.218816718,3.214790935,0.31
315.0,0.224454799,3.267473023,0.315
320.0,0.237666454,3.323775766,0.32
325.0,0.24464928,3.37932734,0.325
330.0,0.251892832,3.436779015,0.33
335.0,0.259391824,3.493749292,0.335
340.0,0.267481852,3.550147397,0.34
345.0,0.275201252,3.607178361,0.345
350.0,0.28349792,3.663518946,0.35
355.0,0.291774119,3.719829584,0.355
360.0,0.300125667,3.776251503,0.36
365.0,0.308578012,3.831608068,0.365
370.0,0.317597538,3.889198914,0.37
375.0,0.32692637,3.945995546,0.375
380.0,0.335956002,4.002607455,0.38
385.0,0.345714203,4.058265431,0.385
390.0,0.354901676,4.114238107,0.39
395.0,0.364968364,4.169676475,0.395
400.0,0.375150842,4.226433266,0.4
405.0,0.385211589,4.281283449,0.405
410.0,0.396086448,4.336805792,0.41
415.0,0.40706511,4.391435073,0.415
420.0,0.417647849,4.447407079,0.42
425.0,0.429543735,4.503499508,0.425
430.0,0.440996226,4.559109307,0.43
435.0,0.452837879,4.613682059,0.435
440.0,0.464232752,4.669101846,0.44
445.0,0.477070026,4.724044433,0.445
450.0,0.489220122,4.778319404,0.45
455.0,0.501228231,4.832828338,0.455
460.0,0.514817248,4.887948117,0.46
465.0,0.528042125,4.943260916,0.465
470.0,0.53987657,4.997345967,0.47
475.0,0.554932886,5.051331558,0.475
480.0,0.568005038,5.105940631,0.48
485.0,0.582771419,5.159226931,0.485
490.0,0.596705366,5.212874187,0.49
495.0,0.610784373,5.265933683,0.495
500.0,0.625686295,5.320477736,0.5
505.0,0.640306464,5.374848125,0.505
510.0,0.655709839,5.428163169,0.51
515.0,0.672565753,5.481545831,0.515
520.0,0.688336416,5.535955836,0.52
525.0,0.704045108,5.58799423,0.525
530.0,0.720793584,5.641767754,0.53
535.0,0.737603948,5.693773756,0.535
540.0,0.75446839,5.746496546,0.54
545.0,0.772330366,5.799008035,0.545
550.0,0.789405353,5.851936501,0.55
555.0,0.808351698,5.905288517,0.555
560.0,0.829205097,5.958236408,0.56
565.0,0.848630853,6.009090973,0.565
570.0,0.867376853,6.060226283,0.57
575.0,0.887661988,6.112687118,0.575
580.0,0.908569739,6.165184423,0.58
585.0,0.928308533,6.215605902,0.585
590.0,0.948955518,6.267417058,0.59
595.0,0.9714896,6.317103137,0.595
600.0,0.992465612,6.368986418,0.6
605.0,1.016073317,6.417351867,0.605
610.0,1.038145667,6.46681888,0.61
615.0,1.062059906,6.517052343,0.615
620.0,1.088160063,6.566589093,0.62
625.0,1.112663572,6.61475776,0.625
630.0,1.136328574,6.66312559,0.63
635.0,1.165731637,6.710806975,0.635
640.0,1.190265203,6.759417967,0.64
645.0,1.218505245,6.807110623,0.645
650.0,1.246364405,6.852329839,0.65
655.0,1.275302761,6.898361917,0.655
660.0,1.304382818,6.942363757,0.66
665.0,1.333854457,6.987643931,0.665
670.0,1.365410391,7.031951759,0.67
675.0,1.395892303,7.071104251,0.675
680.0,1.426024482,7.116287362,0.68
685.0,1.457391234,7.157652493,0.685
690.0,1.493230683,7.197481356,0.69
695.0,1.5274935,7.23603734,0.695
700.0,1.559751729,7.27391404,0.7
705.0,1.596346402,7.311383032,0.705
710.0,1.631621525,7.34575992,0.71
715.0,1.669698976,7.380372258,0.715
720.0,1.706780893,7.414249862,0.72
725.0,1.745260386,7.446739811,0.725
730.0,1.786398844,7.475374294,0.73
735.0,1.827772224,7.502849546,0.735
740.0,1.872189153,7.528352557,0.74
745.0,1.916802427,7.55216072,0.745
750.0,1.958355454,7.571403838,0.75
755.0,2.005349601,7.585211073,0.755
760.0,2.054224115,7.599462923,0.76
765.0,2.09984451,7.605086914,0.765
770.0,2.144528834,7.61216158,0.77
775.0,2.189915668,7.610567038,0.775
780.0,2.231500036,7.603853787,0.78
785.0,2.275479945,7.589387919,0.785
790.0,2.314643646,7.572223927,0.79
795.0,2.350258044,7.547894599,0.795
800.0,2.373653298,7.522581337,0.8
805.0,2.399438967,7.486541749,0.805
810.0,2.409296598,7.449477169,0.81
815.0,2.414395973,7.410756231,0.815
820.0,2.410049326,7.369351244,0.82
825.0,2.399462094,7.325600203,0.825
830.0,2.375277499,7.288411569,0.83
835.0,2.342102357,7.253098886,0.835
840.0,2.301774531,7.225729444,0.84
845.0,2.257656113,7.204374444,0.845
850.0,2.204898553,7.188085811,0.85
855.0,2.148111401,7.177700369,0.855
860.0,2.092718783,7.181328004,0.86
865.0,2.03127715,7.184642431,0.865
870.0,1.973568962,7.198887028,0.87
875.0,1.915492386,7.218248477,0.875
880.0,1.854996083,7.243411521,0.88
885.0,1.802564727,7.274079983,0.885
890.0,1.750120449,7.309782595,0.89
895.0,1.694671727,7.350096072,0.895
900.0,1.64715608,7.393045594,0.9
905.0,1.602399525,7.439468008,0.905
910.0,1.557188172,7.48978204,0.91
915.0,1.516837858,7.542665118,0.915
920.0,1.483545494,7.592621895,0.92
925.0,1.447230511,7.647710517,0.925
930.0,1.415213787,7.70342976,0.93
935.0,1.385433286,7.756057335,0.935
940.0,1.355589911,7.812465936,0.94
945.0,1.325884954,7.872100794,0.945
950.0,1.302164463,7.928721983,0.95
955.0,1.280288795,7.985307721,0.955
960.0,1.25976713,8.04593147,0.96
965.0,1.23821822,8.1051949,0.965
970.0,1.218188621,8.163760378,0.97
975.0,1.201067407,8.22268587,0.975
980.0,1.182294465,8.279240316,0.98
985.0,1.167631515,8.338247019,0.985
990.0,1.153696234,8.399524689,0.99
995.0,1.140905235,8.457757667,0.995
1000.0,1.126639087,8.511598888,1.0
1004.9999999999999,1.114680776,8.571960874,1.005
1010.0,1.102964941,8.629920722,1.01
1014.9999999999999,1.09358083,8.687515124,1.015
1020.0,1.08727974,8.74843856,1.02
1025.0,1.081445553,8.809967337,1.025
1030.0,1.071397488,8.867857271,1.03
1035.0,1.061537336,8.920081923,1.035
1040.0,1.055494597,8.978255334,1.04
1045.0,1.051806876,9.036830069,1.045
1050.0,1.043454926,9.083765639,1.05
1055.0,1.036482441,9.148731926,1.055
1060.0,1.033133204,9.204040646,1.06
1065.0,1.02747793,9.264432573,1.065
1070.0,1.025591906,9.318521275,1.07
1075.0,1.024418445,9.373122913,1.075
1080.0,1.020244607,9.42862127,1.08
1085.0,1.015304156,9.479917855,1.085
1090.0,1.014378517,9.5368739,1.09
1095.0,1.011890304,9.593431189,1.095
1100.0,1.009905005,9.649917519,1.1
1105.0,1.008451539,9.704482186,1.105
1110.0,1.005344855,9.750882949,1.11
1115.0,1.00382405,9.806001363,1.115
1120.0,1.004294808,9.860152537,1.12
1125.0,1.003882164,9.917498646,1.125
1130.0,1.003972742,9.968398129,1.13
1135.0,1.00500573,10.02382345,1.135
1140.0,1.002828586,10.07500199,1.14
1145.0,1.003941179,10.12708734,1.145
1150.0,1.005317282,10.18335224,1.15
1155.0,1.003754384,10.23706613,1.155
1160.0,1.008818757,10.28628773,1.16
1165.0,1.007932489,10.34146643,1.165
1170.0,1.008357257,10.39215013,1.17
1175.0,1.012688334,10.44200832,1.175
1180.0,1.015213183,10.49336256,1.18
1185.0,1.014759181,10.5517646,1.185
1190.0,1.017683803,10.60545522,1.19
1195.0,1.01813905,10.65817091,1.195
1200.0,1.021736807,10.70579031,1.2
1205.0,1.022859293,10.75807795,1.205
1210.0,1.024257787,10.80782605,1.21
1215.0,1.026450838,10.85926339,1.215
1220.0,1.029738722,10.9110202,1.22
1225.0,1.035047848,10.96181208,1.225
1230.0,1.038667581,11.01266681,1.23
1235.0,1.039978895,11.06849385,1.235
1240.0,1.043389606,11.11569439,1.24
1245.0,1.046657092,11.16984741,1.245
1250.0,1.049913391,11.21616325,1.25
1255.0,1.051297547,11.26655345,1.255
1260.0,1.056495057,11.31619114,1.26
1265.0,1.057188404,11.36079431,1.265
1270.0,1.061492702,11.41081797,1.27
1275.0,1.066383574,11.47288865,1.275
1280.0,1.070500901,11.51937378,1.28
1285.0,1.073080696,11.56250415,1.285
1290.0,1.078091053,11.61775711,1.29
1295.0,1.081263285,11.66829595,1.295
1300.0,1.08667656,11.71967858,1.3
1305.0,1.090905752,11.7737027,1.305
1310.0,1.094227716,11.82020872,1.31
1315.0,1.097106966,11.86438552,1.315
1320.0,1.104427092,11.91930196,1.32
1325.0,1.108138114,11.96737106,1.325
1330.0,1.109282178,12.01542787,1.33
1335.0,1.112492808,12.06389822,1.335
1340.0,1.123987022,12.1162431,1.34
1345.0,1.129233973,12.16532652,1.345
1350.0,1.132981867,12.21775953,1.35
1355.0,1.135566133,12.26700903,1.355
1430.0,1.20897633,12.99198306,1.43
1435.0,1.215774284,13.0402495,1.435
1440.0,1.222359347,13.08984959,1.44
1445.0,1.225637477,13.13438949,1.445
1450.0,1.232348412,13.19350911,1.45
1455.0,1.235053048,13.23424936,1.455
1460.0,1.23989324,13.2825952,1.46
1465.0,1.245674136,13.32973008,1.465
1470.0,1.25590184,13.37524914,1.47
1475.0,1.252421713,13.42119816,1.475
1480.0,1.265153644,13.46516297,1.48
1485.0,1.264792932,13.51960433,1.485
1490.0,1.275023692,13.56523813,1.49
1495.0,1.277693673,13.61515704,1.495
1500.0,1.285699173,13.66027168,1.5
1505.0,1.290149697,13.70964938,1.505
1510.0,1.296809948,13.75760575,1.51
1515.0,1.304059962,13.81378197,1.515
1520.0,1.313924676,13.8577198,1.52
1525.0,1.31627889,13.90548777,1.525
1530.0,1.325289614,13.94978109,1.53
1535.0,1.332565366,13.9955611,1.535
1540.0,1.338103685,14.0463704,1.54
1545.0,1.342317392,14.08906725,1.545
1550.0,1.347399401,14.13278052,1.55
1555.0,1.354287918,14.18605286,1.555
1560.0,1.36162657,14.2300396,1.56
1565.0,1.367953829,14.27204602,1.565
1570.0,1.374881699,14.33214219,1.57
1575.0,1.374949427,14.37325593,1.575
1580.0,1.385662006,14.41873986,1.58
1585.0,1.390425967,14.47146449,1.585
1590.0,1.400170689,14.51965833,1.59
1595.0,1.39786136,14.56653756,1.595
1600.0,1.400984694,14.60865354,1.6
1605.0,1.402928097,14.65292487,1.605
1610.0,1.421414675,14.70647543,1.61
1615.0,1.424742484,14.75635087,1.615
1620.0,1.436002763,14.82100212,1.62
1625.0,1.439358574,14.84862799,1.625
1630.0,1.44609075,14.8956765,1.63
1635.0,1.447904247,14.94712102,1.635
1640.0,1.45643876,14.99170484,1.64
1645.0,1.458873135,15.02392461,1.645
1650.0,1.469917493,15.08179888,1.65
1655.0,1.478177828,15.1223348,1.655
1660.0,1.474977808,15.17582154,1.66
1665.0,1.477843053,15.23233469,1.665
1670.0,1.462292742,15.2773787,1.67
1675.0,1.425778483,15.34740513,1.675
1680.0,1.427335087,15.38951869,1.68
1685.0,1.454908413,15.4724516,1.685
1690.0,1.514176047,15.49621661,1.69
1695.0,1.555668449,15.53351552,1.695
1700.0,1.584018511,15.55632073,1.7
