nm,n,k,wl
210.0,0.24,1.976,0.21
220.0,0.223,2.084,0.22
230.0,0.217,2.199,0.23
240.0,0.215,2.315,0.24
250.0,0.217,2.433,0.25
260.0,0.223,2.549,0.26
270.0,0.231,2.665,0.27
280.0,0.242,2.778,0.28
290.0,0.252,2.891,0.29
300.0,0.263,3.003,0.3
310.0,0.276,3.114,0.31
320.0,0.287,3.224,0.32
330.0,0.301,3.336,0.33
340.0,0.312,3.445,0.34
350.0,0.329,3.557,0.35
360.0,0.343,3.667,0.36
370.0,0.359,3.779,0.37
380.0,0.378,3.891,0.38
390.0,0.4,4.001,0.39
400.0,0.42,4.108,0.4
410.0,0.442,4.216,0.41
420.0,0.463,4.322,0.42
430.0,0.485,4.429,0.43
440.0,0.508,4.536,0.44
450.0,0.531,4.643,0.45
460.0,0.557,4.75,0.46
470.0,0.584,4.856,0.47
480.0,0.612,4.96,0.48
490.0,0.639,5.064,0.49
500.0,0.668,5.168,0.5
510.0,0.698,5.272,0.51
520.0,0.729,5.375,0.52
530.0,0.762,5.476,0.53
540.0,0.796,5.577,0.54
550.0,0.83,5.676,0.55
560.0,0.864,5.776,0.56
570.0,0.899,5.876,0.57
580.0,0.936,5.976,0.58
590.0,0.977,6.075,0.59
600.0,1.019,6.173,0.6
610.0,1.062,6.268,0.61
620.0,1.106,6.363,0.62
630.0,1.153,6.457,0.63
640.0,1.203,6.551,0.64
650.0,1.258,6.641,0.65
660.0,1.314,6.726,0.66
670.0,1.37,6.808,0.67
680.0,1.427,6.889,0.68
690.0,1.488,6.966,0.69
700.0,1.551,7.041,0.7
710.0,1.618,7.111,0.71
720.0,1.687,7.174,0.72
730.0,1.759,7.232,0.73
740.0,1.833,7.282,0.74
750.0,1.91,7.324,0.75
760.0,1.99,7.352,0.76
770.0,2.068,7.365,0.77
780.0,2.139,7.359,0.78
790.0,2.198,7.339,0.79
800.0,2.239,7.306,0.8
810.1,2.262,7.264,0.8101
820.0,2.262,7.214,0.82
830.0,2.234,7.166,0.83
840.0,2.18,7.127,0.84
850.0,2.104,7.107,0.85
860.0,2.014,7.107,0.86
870.0,1.918,7.131,0.87
880.0,1.82,7.175,0.88
