nm,n,k,wl
400.0,3.02224,2.84015,0.4
402.0,3.02891,2.83628,0.402
404.0,3.03557,2.83241,0.404
406.0,3.04224,2.82855,0.406
408.0,3.0489,2.82468,0.408
410.0,3.05556,2.82081,0.41
412.0,3.06223,2.81695,0.412
414.0,3.06889,2.81308,0.414
416.0,3.07555,2.80921,0.416
418.0,3.08222,2.80534,0.418
420.0,3.08888,2.80147,0.42
422.0,3.09555,2.7976,0.422
424.0,3.10221,2.79372,0.424
426.0,3.10888,2.78984,0.426
428.0,3.11554,2.78596,0.428
430.0,3.12221,2.78208,0.43
432.0,3.12888,2.7782,0.432
434.0,3.13554,2.77431,0.434
436.0,3.14221,2.77042,0.436
438.0,3.14887,2.76652,0.438
440.0,3.15554,2.76262,0.44
442.0,3.16221,2.75871,0.442
444.0,3.16887,2.7548,0.444
446.0,3.17554,2.75089,0.446
448.0,3.18221,2.74696,0.448
450.0,3.18888,2.74304,0.45
452.0,3.19554,2.7391,0.452
454.0,3.20221,2.73516,0.454
456.0,3.20888,2.73121,0.456
458.0,3.21555,2.72726,0.458
460.0,3.22222,2.7233,0.46
462.0,3.22888,2.71933,0.462
464.0,3.23555,2.71536,0.464
466.0,3.24222,2.71137,0.466
468.0,3.24889,2.70738,0.468
470.0,3.25556,2.70339,0.47
472.0,3.26223,2.69938,0.472
474.0,3.2689,2.69537,0.474
476.0,3.27558,2.69136,0.476
478.0,3.28225,2.68733,0.478
480.0,3.28892,2.6833,0.48
482.0,3.2956,2.67927,0.482
484.0,3.30227,2.67523,0.484
486.0,3.30895,2.67119,0.486
488.0,3.31562,2.66714,0.488
490.0,3.3223,2.6631,0.49
492.0,3.32898,2.65905,0.492
494.0,3.33566,2.655,0.494
496.0,3.34234,2.65096,0.496
498.0,3.34902,2.64691,0.498
500.0,3.3557,2.64287,0.5
502.0,3.36238,2.63883,0.502
504.0,3.36907,2.6348,0.504
506.0,3.37575,2.63077,0.506
508.0,3.38244,2.62675,0.508
510.0,3.38913,2.62273,0.51
512.0,3.39583,2.61872,0.512
514.0,3.40252,2.61471,0.514
516.0,3.40922,2.6107,0.516
518.0,3.41593,2.6067,0.518
520.0,3.42264,2.6027,0.52
522.0,3.42935,2.5987,0.522
524.0,3.43607,2.5947,0.524
526.0,3.44279,2.5907,0.526
528.0,3.44952,2.58669,0.528
530.0,3.45626,2.58268,0.53
532.0,3.463,2.57866,0.532
534.0,3.46976,2.57463,0.534
536.0,3.47652,2.57059,0.536
538.0,3.48329,2.56654,0.538
540.0,3.49007,2.56248,0.54
542.0,3.49687,2.55839,0.542
544.0,3.50368,2.5543,0.544
546.0,3.5105,2.55018,0.546
548.0,3.51733,2.54605,0.548
550.0,3.52418,2.54189,0.55
552.0,3.53104,2.53772,0.552
554.0,3.53793,2.53352,0.554
556.0,3.54482,2.5293,0.556
558.0,3.55174,2.52505,0.558
560.0,3.55867,2.52078,0.56
562.0,3.56562,2.51647,0.562
