nm,n,k,wl
29.991899999999998,0.925222,0.121265,0.0299919
30.1236,0.924148,0.121903,0.0301236
30.2558,0.922739,0.122539,0.0302558
30.3887,0.921308,0.124188,0.0303887
30.5221,0.920206,0.125917,0.0305221
30.656,0.919301,0.127636,0.030656
30.7906,0.918523,0.129346,0.0307906
30.9258,0.917841,0.131045,0.0309258
31.061600000000002,0.917236,0.132734,0.0310616
31.1979,0.916696,0.134413,0.0311979
31.334899999999998,0.916211,0.136081,0.0313349
31.472399999999997,0.915775,0.137738,0.0314724
31.6106,0.915383,0.139383,0.0316106
31.749399999999998,0.915031,0.141018,0.0317494
31.8887,0.914714,0.142641,0.0318887
32.0287,0.91443,0.144252,0.0320287
32.1693,0.914176,0.145852,0.0321693
32.3105,0.91395,0.147439,0.0323105
32.4524,0.913749,0.149015,0.0324524
32.5948,0.913572,0.150578,0.0325948
32.7379,0.913417,0.152128,0.0327379
32.8817,0.913282,0.153666,0.0328817
33.025999999999996,0.913166,0.155192,0.033026
33.171,0.913068,0.156705,0.033171
33.3166,0.912986,0.158205,0.0333166
33.4629,0.912919,0.159691,0.0334629
33.6098,0.912866,0.161165,0.0336098
33.757299999999994,0.912826,0.162626,0.0337573
33.905499999999996,0.912798,0.164073,0.0339055
34.054300000000005,0.91278,0.165507,0.0340543
34.2038,0.912773,0.166928,0.0342038
34.354,0.912774,0.168335,0.034354
34.5048,0.912782,0.169729,0.0345048
34.6563,0.912798,0.171108,0.0346563
34.808400000000006,0.91282,0.172474,0.0348084
34.9612,0.912848,0.173826,0.0349612
35.1147,0.912879,0.175164,0.0351147
35.268800000000006,0.912914,0.176488,0.0352688
35.423700000000004,0.912952,0.177797,0.0354237
35.5792,0.912992,0.179092,0.0355792
35.7354,0.913032,0.180373,0.0357354
35.8922,0.913073,0.181638,0.0358922
36.0498,0.913113,0.18289,0.0360498
36.208,0.913151,0.184126,0.036208
36.367,0.913187,0.185347,0.036367
36.5266,0.91322,0.186552,0.0365266
36.687,0.913249,0.187742,0.036687
36.848,0.913273,0.188917,0.036848
37.009800000000006,0.91329,0.190076,0.0370098
37.1723,0.913301,0.191218,0.0371723
37.3355,0.913304,0.192344,0.0373355
37.4994,0.913298,0.193454,0.0374994
37.664,0.913282,0.194547,0.037664
37.8293,0.913256,0.195622,0.0378293
37.9954,0.913217,0.19668,0.0379954
38.1622,0.913165,0.19772,0.0381622
38.3297,0.913099,0.198742,0.0383297
38.498,0.913018,0.199746,0.038498
38.667,0.912919,0.20073,0.038667
38.8367,0.912803,0.201694,0.0388367
39.0072,0.912667,0.202638,0.0390072
39.1784,0.912509,0.203561,0.0391784
39.3504,0.912329,0.204462,0.0393504
39.5232,0.912124,0.205341,0.0395232
39.6967,0.911892,0.206197,0.0396967
39.8709,0.911631,0.207028,0.0398709
40.046,0.911338,0.207833,0.040046
40.2218,0.911008,0.208611,0.0402218
40.3983,0.910638,0.209358,0.0403983
40.5757,0.910215,0.210073,0.0405757
40.7538,0.909729,0.210773,0.0407538
40.932700000000004,0.909201,0.211506,0.0409327
41.1124,0.90865,0.212223,0.0411124
41.2929,0.908066,0.212913,0.0412929
41.4742,0.907445,0.213575,0.0414742
41.6562,0.906781,0.214204,0.0416562
41.839099999999995,0.906068,0.214797,0.0418391
42.0228,0.905303,0.215351,0.0420228
42.2072,0.90448,0.215863,0.0422072
42.3925,0.903592,0.216329,0.0423925
42.5786,0.902633,0.216745,0.0425786
42.765499999999996,0.901596,0.217104,0.0427655
42.9533,0.900471,0.217403,0.0429533
43.1418,0.899248,0.217633,0.0431418
43.3312,0.897915,0.217786,0.0433312
43.5214,0.896456,0.217852,0.0435214
43.7125,0.894851,0.217816,0.0437125
43.9044,0.893073,0.217661,0.0439044
44.0971,0.89108,0.217359,0.0440971
44.2907,0.888807,0.21687,0.0442907
44.4851,0.886119,0.216115,0.0444851
44.6804,0.882553,0.214887,0.0446804
44.8766,0.878348,0.215072,0.0448766
45.0736,0.874226,0.215889,0.0450736
45.2714,0.870237,0.216823,0.0452714
45.470200000000006,0.866251,0.217699,0.0454702
45.6698,0.862125,0.218403,0.0456698
45.8703,0.85764,0.218791,0.0458703
46.0716,0.852194,0.21854,0.0460716
46.2739,0.845459,0.219177,0.0462739
46.477,0.838358,0.222152,0.046477
46.6811,0.831821,0.22628,0.0466811
46.885999999999996,0.825903,0.230786,0.046886
47.091800000000006,0.820443,0.235449,0.0470918
47.2985,0.815318,0.240155,0.0472985
47.5062,0.810427,0.244826,0.0475062
47.7147,0.80568,0.249392,0.0477147
47.9242,0.800983,0.253783,0.0479242
48.1346,0.796222,0.257913,0.0481346
48.3459,0.791246,0.261662,0.0483459
48.5581,0.785807,0.264841,0.0485581
48.7713,0.779386,0.267079,0.0487713
48.9854,0.770125,0.267319,0.0489854
49.200399999999995,0.757826,0.271658,0.0492004
49.416399999999996,0.745432,0.281446,0.0494164
49.6333,0.734677,0.293601,0.0496333
49.8512,0.725503,0.306861,0.0498512
50.0701,0.717622,0.320765,0.0500701
50.289899999999996,0.710787,0.335065,0.0502899
50.510600000000004,0.704736,0.349557,0.0505106
50.7324,0.698967,0.363928,0.0507324
50.9551,0.69219,0.378138,0.0509551
51.1788,0.686577,0.399372,0.0511788
51.403400000000005,0.685944,0.422188,0.0514034
51.629099999999994,0.686235,0.436463,0.0516291
51.8557,0.683942,0.453521,0.0518557
52.083400000000005,0.684162,0.478656,0.0520834
52.312,0.689812,0.502338,0.052312
