nm,n,k,wl
2000.0,3.4698672176,4.26e-08,2.0
2009.9999999999998,3.4698671859,4.33e-08,2.01
2020.0,3.469867154,4.39e-08,2.02
2029.9999999999998,3.469867122,4.46e-08,2.03
2040.0,3.4698670898,4.53e-08,2.04
2050.0,3.4698670574,4.6e-08,2.05
2060.0,3.4698670248,4.67e-08,2.06
2070.0,3.4698669921,4.74e-08,2.07
2080.0,3.4698669592,4.81e-08,2.08
2090.0,3.4698669261,4.88e-08,2.09
2100.0,3.4698668929,4.95e-08,2.1
2110.0,3.4698668595,5.03e-08,2.11
2120.0,3.4698668259,5.1e-08,2.12
2130.0,3.4698667921,5.18e-08,2.13
2140.0,3.4698667581,5.25e-08,2.14
2150.0,3.469866724,5.33e-08,2.15
2160.0,3.4698666897,5.41e-08,2.16
2170.0,3.4698666553,5.48e-08,2.17
2180.0,3.4698666206,5.56e-08,2.18
2190.0,3.4698665858,5.64e-08,2.19
2200.0,3.4698665508,5.72e-08,2.2
2210.0,3.4698665156,5.8e-08,2.21
2220.0,3.4698664803,5.88e-08,2.22
2230.0,3.4698664447,5.97e-08,2.23
2240.0,3.469866409,6.05e-08,2.24
2250.0,3.4698663732,6.14e-08,2.25
2260.0,3.4698663371,6.22e-08,2.26
2270.0,3.4698663009,6.31e-08,2.27
2280.0,3.4698662645,6.39e-08,2.28
2290.0,3.4698662279,6.48e-08,2.29
2300.0,3.4698661911,6.57e-08,2.3
2310.0,3.4698661542,6.66e-08,2.31
2320.0,3.4698661171,6.75e-08,2.32
2330.0,3.4698660798,6.84e-08,2.33
2340.0,3.4698660423,6.93e-08,2.34
2350.0,3.4698660046,7.02e-08,2.35
2360.0,3.4698659668,7.12e-08,2.36
2370.0,3.4698659288,7.21e-08,2.37
2380.0,3.4698658906,7.31e-08,2.38
2390.0,3.4698658522,7.4e-08,2.39
2400.0,3.4698658136,7.5e-08,2.4
2410.0,3.4698657749,7.6e-08,2.41
2420.0,3.469865736,7.7e-08,2.42
2430.0,3.4698656969,7.8e-08,2.43
2440.0,3.4698656576,7.9e-08,2.44
2450.0,3.4698656181,8e-08,2.45
2460.0,3.4698655785,8.1e-08,2.46
2470.0,3.4698655387,8.2e-08,2.47
2480.0,3.4698654986,8.31e-08,2.48
2490.0,3.4698654584,8.41e-08,2.49
2500.0,3.4698654181,8.52e-08,2.5
2510.0,3.4698653775,8.63e-08,2.51
2520.0,3.4698653368,8.74e-08,2.52
2530.0,3.4698652958,8.84e-08,2.53
2540.0,3.4698652547,8.95e-08,2.54
2550.0,3.4698652134,9.07e-08,2.55
2560.0,3.4698651719,9.18e-08,2.56
2570.0,3.4698651303,9.29e-08,2.57
2580.0,3.4698650884,9.4e-08,2.58
2590.0,3.4698650464,9.52e-08,2.59
2600.0,3.4698650041,9.64e-08,2.6
2610.0,3.4698649617,9.75e-08,2.61
2620.0,3.4698649191,9.87e-08,2.62
2630.0,3.4698648763,9.99e-08,2.63
2640.0,3.4698648334,1.011e-07,2.64
2650.0,3.4698647902,1.023e-07,2.65
2660.0,3.4698647469,1.035e-07,2.66
2670.0,3.4698647033,1.048e-07,2.67
2680.0,3.4698646596,1.06e-07,2.68
2690.0,3.4698646157,1.072e-07,2.69
2700.0,3.4698645716,1.085e-07,2.7
2710.0,3.4698645273,1.098e-07,2.71
2720.0,3.4698644828,1.111e-07,2.72
2730.0,3.4698644381,1.124e-07,2.73
2740.0,3.4698643933,1.137e-07,2.74
2750.0,3.4698643482,1.15e-07,2.75
2760.0,3.469864303,1.163e-07,2.76
2770.0,3.4698642575,1.176e-07,2.77
2780.0,3.4698642119,1.19e-07,2.78
2790.0,3.4698641661,1.204e-07,2.79
2800.0,3.4698641201,1.217e-07,2.8
2810.0,3.4698640739,1.231e-07,2.81
2820.0,3.4698640275,1.245e-07,2.82
2830.0,3.4698639809,1.259e-07,2.83
2840.0,3.4698639341,1.273e-07,2.84
2850.0,3.4698638871,1.287e-07,2.85
2860.0,3.4698638399,1.302e-07,2.86
2870.0,3.4698637925,1.316e-07,2.87
2880.0,3.469863745,1.331e-07,2.88
2890.0,3.4698636972,1.346e-07,2.89
2900.0,3.4698636493,1.361e-07,2.9
2910.0,3.4698636011,1.376e-07,2.91
2920.0,3.4698635528,1.391e-07,2.92
2930.0,3.4698635042,1.406e-07,2.93
2940.0,3.4698634555,1.421e-07,2.94
2950.0,3.4698634065,1.437e-07,2.95
2960.0,3.4698633574,1.452e-07,2.96
2970.0,3.4698633081,1.468e-07,2.97
2980.0,3.4698632585,1.484e-07,2.98
2990.0,3.4698632088,1.5e-07,2.99
3000.0,3.4698631589,1.516e-07,3.0
3010.0,3.4698631087,1.532e-07,3.01
3020.0,3.4698630584,1.548e-07,3.02
3030.0,3.4698630078,1.565e-07,3.03
3040.0,3.4698629571,1.581e-07,3.04
3050.0,3.4698629062,1.598e-07,3.05
