nm,n,k,wl
210.73,1.708805,1.639257,0.21073
212.31,1.723351,1.642573,0.21231
213.89,1.737947,1.645703,0.21389
215.47,1.752574,1.648621,0.21547
217.04999999999998,1.767212,1.651306,0.21705
218.63,1.781841,1.653741,0.21863
220.20999999999998,1.796442,1.655912,0.22021
221.79,1.810995,1.65781,0.22179
223.37,1.825481,1.659428,0.22337
224.95000000000002,1.839879,1.660762,0.22495
226.52,1.854174,1.661811,0.22652
228.1,1.868346,1.662577,0.2281
229.68,1.882378,1.663062,0.22968
231.26,1.896257,1.663272,0.23126
232.84,1.909966,1.663212,0.23284
234.42,1.923492,1.662892,0.23442
236.01,1.936823,1.66232,0.23601
237.59,1.949947,1.661508,0.23759
239.17,1.962855,1.660467,0.23917
240.75,1.975538,1.659209,0.24075
242.32999999999998,1.987988,1.657747,0.24233
243.91,2.000199,1.656095,0.24391
245.49,2.012167,1.654267,0.24549
247.07000000000002,2.023887,1.652277,0.24707
248.65,2.035357,1.650139,0.24865
250.23000000000002,2.046576,1.647867,0.25023
251.80999999999997,2.057544,1.645476,0.25181
253.39000000000001,2.068261,1.642981,0.25339
254.96999999999997,2.07873,1.640394,0.25497
256.56,2.088955,1.637729,0.25656
258.14,2.098938,1.635,0.25814
259.72,2.108686,1.632218,0.25972
261.29999999999995,2.118204,1.629396,0.2613
262.88,2.127499,1.626545,0.26288
264.46,2.136579,1.623676,0.26446
266.04,2.145451,1.620798,0.26604
267.63,2.154126,1.617919,0.26763
269.21,2.162613,1.615049,0.26921
270.78999999999996,2.17092,1.612195,0.27079
272.37,2.17906,1.609362,0.27237
273.95000000000005,2.187042,1.606556,0.27395
275.54,2.194877,1.60378,0.27554
277.12,2.202576,1.601039,0.27712
278.7,2.210151,1.598335,0.2787
280.28,2.217613,1.595667,0.28028
281.87,2.224972,1.593038,0.28187
283.45,2.232239,1.590445,0.28345
285.03000000000003,2.239425,1.587887,0.28503
286.60999999999996,2.24654,1.585361,0.28661
288.2,2.253593,1.582863,0.2882
289.78,2.260594,1.580388,0.28978
291.36,2.26755,1.577931,0.29136
292.94,2.27447,1.575487,0.29294
294.53000000000003,2.28136,1.573046,0.29453
296.10999999999996,2.288226,1.570603,0.29611
297.69,2.295075,1.568148,0.29769
299.27,2.301908,1.565674,0.29927
300.86,2.308731,1.56317,0.30086
302.44,2.315544,1.560628,0.30244
304.02000000000004,2.322349,1.558038,0.30402
305.61,2.329145,1.555391,0.30561
307.19,2.335931,1.552677,0.30719
308.77,2.342705,1.549887,0.30877
310.36,2.349464,1.547012,0.31036
311.94,2.356202,1.544043,0.31194
313.52000000000004,2.362914,1.540973,0.31352
315.11,2.369595,1.537793,0.31511
316.69000000000005,2.376235,1.534498,0.31669
318.28000000000003,2.382828,1.531082,0.31828
319.85999999999996,2.389364,1.527538,0.31986
321.44,2.395834,1.523864,0.32144
323.03,2.402228,1.520057,0.32303
324.61,2.408536,1.516115,0.32461
326.19,2.414746,1.512036,0.32619
327.78000000000003,2.420849,1.507822,0.32778
329.36,2.426833,1.503474,0.32936
