nm,n,k,wl
900,1.6471560800000002,7.393045594,0.9
901,1.6382120978813584,7.4023300768,0.901
902,1.6292931848538879,7.4116145596,0.902
903,1.6203706073857382,7.4208990424,0.903
904,1.6114156319450588,7.4301835252,0.904
905,1.6023995249999998,7.439468008,0.905
906,1.5933078876419557,7.4495308144,0.906
907,1.5841836594553078,7.4595936208,0.907
908,1.575084114647682,7.4696564272,0.908
909,1.5660665274267038,7.4797192336,0.909
910,1.5571881720000003,7.48978204,0.91
911,1.5485059096868157,7.5003586555999995,0.911
912,1.5400749502528779,7.5109352712,0.912
913,1.5319500905755319,7.5215118868,0.913
914,1.524186127532124,7.532088502400001,0.914
915,1.5168378580000001,7.542665118,0.915
916,1.5099224443787793,7.5526564734,0.916
917,1.5033065111571786,7.5626478288,0.917
918,1.4968190483461883,7.5726391842,0.918
919,1.4902890459567986,7.5826305396,0.919
920,1.483545494,7.592621895,0.92
921,1.4764701134460658,7.6036396194,0.921
922,1.4691555491024062,7.6146573438,0.922
923,1.4617471767357135,7.6256750682,0.923
924,1.4543903721126803,7.6366927926,0.924
925,1.447230511,7.647710517,0.925
926,1.4403788913809557,7.6588543656,0.926
927,1.4338105001051955,7.6699982142,0.927
928,1.4274662462389571,7.6811420628,0.928
929,1.4212870388484793,7.6922859114,0.929
930,1.415213787,7.70342976,0.93
931,1.4091959166221104,7.713955275,0.931
932,1.4032169210928112,7.72448079,0.932
933,1.3972688106524571,7.735006305,0.933
934,1.391343595541402,7.74553182,0.934
935,1.385433286,7.756057335,0.935
936,1.3795280061146038,7.767339055200001,0.936
937,1.37361033535556,7.7786207754,0.937
938,1.3676609670392152,7.7899024956,0.938
939,1.3616605944819131,7.801184215799999,0.939
940,1.3555899110000003,7.812465936,0.94
941,1.349448640775475,7.8243929076,0.941
942,1.3433126314529487,7.8363198791999995,0.942
943,1.3372767615426848,7.8482468508,0.943
944,1.3314359095549477,7.860173822399999,0.944
945,1.325884954,7.872100794,0.945
946,1.320689694127496,7.8834250318,0.946
947,1.3157996121446447,7.8947492696,0.947
948,1.3111351109980456,7.9060735073999995,0.948
949,1.3066165936342977,7.9173977452,0.949
950,1.3021644630000002,7.928721983,0.95
951,1.2977165226905412,7.9400391306,0.951
952,1.2932801788964714,7.9513562782,0.952
953,1.2888802384571314,7.9626734258,0.953
954,1.2845415082118605,7.9739905734,0.954
955,1.280288795,7.985307721,0.955
956,1.2761355729103383,7.9974324708,0.956
957,1.2720499850294673,8.0095572206,0.957
958,1.267988841693427,8.0216819704,0.958
959,1.2639089532382577,8.0338067202,0.959
960,1.25976713,8.04593147,0.96
961,1.255532989244103,8.057784156,0.961
962,1.2512273759536563,8.069636842,0.962
963,1.2468839420411582,8.081489528,0.963
964,1.2425363394191065,8.093342214,0.964
965,1.23821822,8.1051949,0.965
966,1.2339627631612475,8.1169079956,0.966
967,1.229801258139905,8.1286210912,0.967
968,1.2257645216379385,8.1403341868,0.968
969,1.2218833703573146,8.1520472824,0.969
970,1.218188621,8.163760378,0.97
971,1.2146909136229054,8.1755454764,0.971
972,1.2113201817027226,8.187330574799999,0.972
973,1.2079861820710867,8.1991156732,0.973
974,1.2045986715596337,8.210900771599999,0.974
975,1.201067407,8.22268587,0.975
976,1.1973357308431296,8.2339967592,0.976
977,1.1934813280172039,8.245307648399999,0.977
978,1.1896154690697138,8.2566185376,0.978
979,1.185849424548149,8.267929426799999,0.979
980,1.1822944650000002,8.279240316,0.98
981,1.1790302698045756,8.2910416566,0.981
982,1.1760101536684606,8.302842997199999,0.982
983,1.1731558401300577,8.3146443378,0.983
984,1.1703890527277696,8.3264456784,0.984
985,1.167631515,8.338247019,0.985
986,1.1648245771945667,8.350502553,0.986
987,1.1619880963969524,8.362758087,0.987
988,1.159161556402055,8.375013621,0.988
989,1.1563844410047714,8.387269155,0.989
990,1.153696234,8.399524689,0.99
991,1.151119895001156,8.4111712846,0.991
992,1.1486122868957283,8.4228178802,0.992
993,1.1461137483897221,8.434464475799999,0.993
994,1.1435646181891441,8.446111071399999,0.994
995,1.140905235,8.457757667,0.995
996,1.1380981191928081,8.468525911199999,0.996
997,1.1351945177961342,8.4792941554,0.997
998,1.1322678595030562,8.4900623996,0.998
999,1.1293915730066522,8.5008306438,0.999
1000,1.126639087,8.511598888,1.0
1001,1.1240628470356118,8.523671285199999,1.001
1002,1.121631366103735,8.535743682400001,1.002
1003,1.1192921740540527,8.5478160796,1.003
1004,1.1169928007362468,8.559888476800001,1.004
1005,1.114680776,8.571960874,1.005
1006,1.1123185938167455,8.583552843600001,1.006
1007,1.109928604644926,8.5951448132,1.007
1008,1.1075481230647326,8.6067367828,1.008
1009,1.10521446365636,8.618328752399998,1.009
1010,1.102964941,8.629920722,1.01
1011,1.1008312332014056,8.641439602399998,1.011
1012,1.0988224724685627,8.6529584828,1.012
1013,1.0969421545350173,8.6644773632,1.013
1014,1.0951937751343144,8.675996243600002,1.014
1015,1.09358083,8.687515124,1.015
1016,1.0921036930336327,8.699699811200002,1.016
1017,1.0907502508088245,8.7118844984,1.017
1018,1.0895052680671995,8.724069185600001,1.018
