nm,n,k,wl
900,2.13460795832426,0.0,0.9
901,2.134572687058541,0.0,0.901
902,2.134537504735171,0.0,0.902
903,2.134502410924424,0.0,0.903
904,2.1344674051965735,0.0,0.904
905,2.134432487121894,0.0,0.905
906,2.1343976562706577,0.0,0.906
907,2.1343629122131387,0.0,0.907
908,2.134328254519612,0.0,0.908
909,2.13429368276035,0.0,0.909
910,2.1342591965056275,0.0,0.91
911,2.134224795325718,0.0,0.911
912,2.1341904787908934,0.0,0.912
913,2.1341562464714303,0.0,0.913
914,2.1341220979376003,0.0,0.914
915,2.1340880327596783,0.0,0.915
916,2.1340540505079377,0.0,0.916
917,2.134020150752652,0.0,0.917
918,2.1339863330640947,0.0,0.918
919,2.1339525970125397,0.0,0.919
920,2.133918942168261,0.0,0.92
921,2.1338853681015326,0.0,0.921
922,2.133851874382628,0.0,0.922
923,2.13381846058182,0.0,0.923
924,2.133785126269384,0.0,0.924
925,2.133751871015592,0.0,0.925
926,2.1337186943914195,0.0,0.926
927,2.1336855959950967,0.0,0.927
928,2.1336525754602573,0.0,0.928
929,2.1336196324229006,0.0,0.929
930,2.1335867665190276,0.0,0.93
931,2.1335539773846395,0.0,0.931
932,2.1335212646557347,0.0,0.932
933,2.133488627968315,0.0,0.933
934,2.133456066958379,0.0,0.934
935,2.1334235812619293,0.0,0.935
936,2.1333911705149644,0.0,0.936
937,2.1333588343534853,0.0,0.937
938,2.133326572413492,0.0,0.938
939,2.1332943843309846,0.0,0.939
940,2.1332622697419636,0.0,0.94
941,2.1332302282824296,0.0,0.941
942,2.133198259588382,0.0,0.942
943,2.133166363295823,0.0,0.943
944,2.13313453904075,0.0,0.944
945,2.1331027864591645,0.0,0.945
946,2.1330711051870677,0.0,0.946
947,2.133039494860459,0.0,0.947
948,2.133007955115339,0.0,0.948
949,2.1329764855877076,0.0,0.949
950,2.1329450859135655,0.0,0.95
951,2.132913755728912,0.0,0.951
952,2.1328824946697496,0.0,0.952
953,2.1328513023720763,0.0,0.953
954,2.132820178471893,0.0,0.954
955,2.1327891226052,0.0,0.955
956,2.132758134417235,0.0,0.956
957,2.13272721359018,0.0,0.957
958,2.1326963598154567,0.0,0.958
959,2.132665572784483,0.0,0.959
960,2.1326348521886804,0.0,0.96
961,2.132604197719468,0.0,0.961
962,2.1325736090682668,0.0,0.962
963,2.1325430859264967,0.0,0.963
964,2.132512627985577,0.0,0.964
965,2.132482234936928,0.0,0.965
966,2.13245190647197,0.0,0.966
967,2.132421642282123,0.0,0.967
968,2.132391442058806,0.0,0.968
969,2.1323613054934394,0.0,0.969
970,2.1323312322774446,0.0,0.97
971,2.1323012221022406,0.0,0.971
972,2.1322712746592467,0.0,0.972
973,2.132241389639884,0.0,0.973
974,2.132211566735571,0.0,0.974
975,2.13218180563773,0.0,0.975
976,2.132152106037779,0.0,0.976
977,2.13212246762714,0.0,0.977
978,2.132092890097231,0.0,0.978
979,2.1320633731394736,0.0,0.979
980,2.132033916445286,0.0,0.98
981,2.1320045197060895,0.0,0.981
982,2.1319751826133038,0.0,0.982
983,2.131945904858349,0.0,0.983
984,2.1319166861326453,0.0,0.984
985,2.1318875261276116,0.0,0.985
986,2.131858424537371,0.0,0.986
987,2.1318293810839286,0.0,0.987
988,2.131800395505742,0.0,0.988
989,2.1317714675414825,0.0,0.989
990,2.13174259692982,0.0,0.99
991,2.131713783409424,0.0,0.991
992,2.1316850267189658,0.0,0.992
993,2.131656326597115,0.0,0.993
994,2.1316276827825424,0.0,0.994
995,2.131599095013918,0.0,0.995
996,2.1315705630299124,0.0,0.996
997,2.131542086569195,0.0,0.997
998,2.131513665370437,0.0,0.998
999,2.131485299172308,0.0,0.999
1000,2.131456987713478,0.0,1.0
1001,2.1314287307326185,0.0,1.001
1002,2.1314005279684,0.0,1.002
1003,2.1313723791594903,0.0,1.003
1004,2.1313442840445616,0.0,1.004
1005,2.131316242362284,0.0,1.005
1006,2.1312882538513276,0.0,1.006
1007,2.131260318250362,0.0,1.007
1008,2.1312324352980587,0.0,1.008
1009,2.131204604733088,0.0,1.009
1010,2.131176826294118,0.0,1.01
1011,2.1311490997198215,0.0,1.011
1012,2.1311214247488683,0.0,1.012
1013,2.131093801119927,0.0,1.013
1014,2.1310662285716697,0.0,1.014
1015,2.131038706842766,0.0,1.015
1016,2.1310112356718864,0.0,1.016
1017,2.1309838147977,0.0,1.017
1018,2.1309564439655,0.0,1.018
1019,2.130929122947063,0.0,1.019
1020,2.130901851520787,0.0,1.02
1021,2.1308746294650702,0.0,1.021
1022,2.130847456558312,0.0,1.022
1023,2.13082033257891,0.0,1.023
1024,2.1307932573052635,0.0,1.024
1025,2.1307662305157695,0.0,1.025
1026,2.1307392519888277,0.0,1.026
1027,2.1307123215028363,0.0,1.027
1028,2.1306854388361924,0.0,1.028
1029,2.130658603767297,0.0,1.029
1030,2.130631816074546,0.0,1.03
1031,2.130605075536339,0.0,1.031
1032,2.1305783819310746,0.0,1.032
1033,2.1305517350371503,0.0,1.033
1034,2.1305251346329652,0.0,1.034
1035,2.130498580496918,0.0,1.035
1036,2.130472072407406,0.0,1.036
1037,2.1304456101428286,0.0,1.037
1038,2.130419193481584,0.0,1.038
1039,2.1303928222020705,0.0,1.039
1040,2.130366496082686,0.0,1.04
1041,2.130340214901831,0.0,1.041
1042,2.130313978437901,0.0,1.042
1043,2.130287786469297,0.0,1.043
1044,2.1302616387744147,0.0,1.044
1045,2.1302355351316553,0.0,1.045
1046,2.130209475319415,0.0,1.046
1047,2.130183459116094,0.0,1.047
1048,2.130157486300089,0.0,1.048
1049,2.1301315566498005,0.0,1.049
1050,2.130105669949137,0.0,1.05
1051,2.1300798260040583,0.0,1.051
1052,2.130054024626035,0.0,1.052
1053,2.130028265626538,0.0,1.053
1054,2.1300025488170387,0.0,1.054
1055,2.1299768740090066,0.0,1.055
1056,2.129951241013914,0.0,1.056
1057,2.1299256496432304,0.0,1.057
1058,2.1299000997084283,0.0,1.058
1059,2.1298745910209775,0.0,1.059
1060,2.1298491233923484,0.0,1.06
1061,2.129823696634013,0.0,1.061
1062,2.1297983105574425,0.0,1.062
1063,2.1297729649741055,0.0,1.063
1064,2.129747659695475,0.0,1.064
1065,2.129722394533021,0.0,1.065
1066,2.129697169298215,0.0,1.066
1067,2.129671983802527,0.0,1.067
1068,2.129646837857428,0.0,1.068
1069,2.1296217312743897,0.0,1.069
1070,2.129596663864882,0.0,1.07
1071,2.129571635440376,0.0,1.071
1072,2.129546645812343,0.0,1.072
1073,2.1295216947922535,0.0,1.073
1074,2.1294967821915787,0.0,1.074
1075,2.1294719078217885,0.0,1.075
1076,2.1294470714943547,0.0,1.076
1077,2.129422273020748,0.0,1.077
1078,2.1293975122124396,0.0,1.078
1079,2.1293727888808993,0.0,1.079
1080,2.129348102837599,0.0,1.08
1081,2.129323453894009,0.0,1.081
1082,2.1292988418616003,0.0,1.082
1083,2.129274266556515,0.0,1.083
1084,2.129249727813579,0.0,1.084
1085,2.1292252254722888,0.0,1.085
1086,2.129200759372142,0.0,1.086
1087,2.1291763293526347,0.0,1.087
1088,2.129151935253265,0.0,1.088
1089,2.1291275769135285,0.0,1.089
1090,2.1291032541729233,0.0,1.09
1091,2.129078966870946,0.0,1.091
1092,2.129054714847094,0.0,1.092
1093,2.1290304979408634,0.0,1.093
1094,2.129006315991752,0.0,1.094
1095,2.1289821688392556,0.0,1.095
1096,2.1289580563228725,0.0,1.096
1097,2.128933978282099,0.0,1.097
1098,2.128909934556432,0.0,1.098
1099,2.128885924985368,0.0,1.099
1100,2.1288619494084062,0.0,1.1
1101,2.1288380076650406,0.0,1.101
1102,2.1288140995947695,0.0,1.102
1103,2.12879022503709,0.0,1.103
1104,2.1287663838314996,0.0,1.104
1105,2.128742575817494,0.0,1.105
1106,2.1287188008345708,0.0,1.106
1107,2.128695058722227,0.0,1.107
1108,2.1286713493199594,0.0,1.108
1109,2.128647672467265,0.0,1.109
1110,2.128624028003641,0.0,1.11
1111,2.128600415768584,0.0,1.111
1112,2.1285768356015913,0.0,1.112
1113,2.1285532873421595,0.0,1.113
1114,2.128529770829786,0.0,1.114
1115,2.1285062859039674,0.0,1.115
1116,2.1284828324042007,0.0,1.116
1117,2.1284594101740164,0.0,1.117
1118,2.1284360190730793,0.0,1.118
1119,2.128412658965089,0.0,1.119
1120,2.1283893297137437,0.0,1.12
1121,2.128366031182743,0.0,1.121
1122,2.128342763235783,0.0,1.122
1123,2.1283195257365652,0.0,1.123
1124,2.1282963185487858,0.0,1.124
1125,2.128273141536146,0.0,1.125
1126,2.1282499945623425,0.0,1.126
1127,2.128226877491074,0.0,1.127
