nm,n,k,wl
900,4.89574,0.748297,0.9
901,4.89713499380025,0.741358,0.901
902,4.89853,0.734419,0.902
903,4.899896480753269,0.7275745,0.903
904,4.90119,0.72073,0.904
905,4.902381583186677,0.7141500000000001,0.905
906,4.90352,0.70757,0.906
907,4.904664686500031,0.7009905000000001,0.907
908,4.905840000000001,0.694411,0.908
909,4.907038420813207,0.6878310000000001,0.909
910,4.9081600000000005,0.681251,0.91
911,4.909121630247146,0.675042,0.911
912,4.91,0.668833,0.912
913,4.91089130819821,0.6626505,0.913
914,4.91181,0.656468,0.914
915,4.912739386960012,0.6502855000000001,0.915
916,4.913620000000001,0.644103,0.916
917,4.914398643961743,0.638171,0.917
918,4.91509,0.632239,0.918
919,4.915726037193019,0.6264875,0.919
920,4.91634,0.620736,0.92
921,4.916958457266189,0.614985,0.921
922,4.91758,0.609234,0.922
923,4.918182633742227,0.603576,0.923
924,4.91869,0.597918,0.924
925,4.919046007764904,0.592626,0.925
926,4.91933,0.587334,0.926
927,4.9196358351981635,0.5820415,0.927
928,4.919980000000001,0.576749,0.928
929,4.920340651442451,0.5714565,0.929
930,4.920620000000001,0.566164,0.93
931,4.920737809032045,0.5612524999999999,0.931
932,4.9207600000000005,0.556341,0.932
933,4.92077186242938,0.551524,0.933
934,4.92079,0.546707,0.934
935,4.920809741250438,0.54189,0.935
936,4.920810000000001,0.537073,0.936
937,4.9207616725688705,0.5324354999999997,0.937
938,4.920620000000001,0.527798,0.938
939,4.920358568474083,0.523459,0.939
940,4.92004,0.51912,0.94
941,4.919736553534799,0.5147815,0.941
942,4.919469999999999,0.510443,0.942
943,4.9192264673867205,0.506104,0.943
944,4.918900000000001,0.501765,0.944
945,4.918403826918319,0.49785650000000004,0.945
946,4.917820000000001,0.493948,0.946
947,4.917249474940005,0.4900755,0.947
948,4.9167000000000005,0.486203,0.948
949,4.916153273321665,0.482331,0.949
950,4.91558,0.478459,0.95
951,4.914951181773336,0.474783,0.951
952,4.91425,0.471107,0.952
953,4.913473249584993,0.4676765,0.953
954,4.91266,0.464246,0.954
955,4.911853319886696,0.460816,0.955
956,4.91107,0.457386,0.956
957,4.910303470868227,0.4539555,0.957
958,4.90948,0.450525,0.958
959,4.9085390466404,0.447479,0.959
960,4.90754,0.444433,0.96
961,4.906554092570181,0.441411,0.961
962,4.90558,0.438389,0.962
963,4.9046008330788835,0.43536699999999995,0.963
964,4.9036100000000005,0.432345,0.964
965,4.902600075114288,0.4294745,0.965
966,4.901550000000001,0.426604,0.966
967,4.900446366463972,0.42395099999999997,0.967
968,4.899320000000001,0.421298,0.968
969,4.898204459029835,0.418645,0.969
970,4.8971,0.415992,0.97
971,4.895995797416695,0.413339,0.971
972,4.89487,0.410686,0.972
973,4.893706101303391,0.408311,0.973
974,4.892520000000001,0.405936,0.974
975,4.8913310473697456,0.4036075,0.975
976,4.890140000000001,0.401279,0.976
977,4.888944709217632,0.398951,0.977
978,4.8877500000000005,0.396623,0.978
979,4.886558865759729,0.3943705,0.979
980,4.885360000000001,0.392118,0.98
981,4.8841435777434565,0.39006700000000005,0.981
982,4.882920000000001,0.388016,0.982
983,4.881700573266452,0.385965,0.983
984,4.88048,0.383914,0.984
985,4.8792528791907435,0.38186299999999995,0.985
