nm,n,k,wl
900,2.065416774217027,0.0,0.9
901,2.0653831646916117,0.0,0.901
902,2.065349564785335,0.0,0.902
903,2.065316421312375,0.0,0.903
904,2.0652835868203696,0.0,0.904
905,2.0652506733639346,0.0,0.905
906,2.0652176346239184,0.0,0.906
907,2.0651847526721503,0.0,0.907
908,2.0651523770325335,0.0,0.908
909,2.0651201483043047,0.0,0.909
910,2.0650878229034193,0.0,0.91
911,2.065055527162027,0.0,0.911
912,2.06502317701972,0.0,0.912
913,2.064990818184347,0.0,0.913
914,2.0649589033052407,0.0,0.914
915,2.0649273208777177,0.0,0.915
916,2.06489566714837,0.0,0.916
917,2.064863886528714,0.0,0.917
918,2.064832241308143,0.0,0.918
919,2.0648010974245823,0.0,0.919
920,2.0647701257177418,0.0,0.92
921,2.0647390586007472,0.0,0.921
922,2.0647080165427556,0.0,0.922
923,2.064676924916813,0.0,0.923
924,2.064645810421945,0.0,0.924
925,2.0646151345706922,0.0,0.925
926,2.0645847958492016,0.0,0.926
927,2.0645543739445817,0.0,0.927
928,2.0645239425860376,0.0,0.928
929,2.064493514183012,0.0,0.929
930,2.0644629952134417,0.0,0.93
931,2.0644327694669635,0.0,0.931
932,2.0644030088929926,0.0,0.932
933,2.0643732811939612,0.0,0.933
934,2.0643434237772165,0.0,0.934
935,2.064313563944274,0.0,0.935
936,2.064284088401487,0.0,0.936
937,2.064255028283787,0.0,0.937
938,2.0642260110905934,0.0,0.938
939,2.064196382993809,0.0,0.939
940,2.064166526452172,0.0,0.94
941,2.0641378052385027,0.0,0.941
942,2.064109231347399,0.0,0.942
943,2.0640799696312837,0.0,0.943
944,2.0640511214617816,0.0,0.944
945,2.064022714964482,0.0,0.945
946,2.0639941918671214,0.0,0.946
947,2.0639655448998933,0.0,0.947
948,2.063937045636422,0.0,0.948
949,2.0639090182773745,0.0,0.949
950,2.063881291486478,0.0,0.95
951,2.0638533692933296,0.0,0.951
952,2.063824736495305,0.0,0.952
953,2.0637965003286602,0.0,0.953
954,2.063769321996971,0.0,0.954
955,2.0637416735617857,0.0,0.955
956,2.0637137040414726,0.0,0.956
957,2.063686373992807,0.0,0.957
958,2.063659185720828,0.0,0.958
959,2.0636318665926696,0.0,0.959
960,2.0636045895264994,0.0,0.96
