nm,n,k,wl
900,1.4009396807641747,0.045175189873417725,0.9
901,1.3992829341905517,0.045377721518987356,0.901
902,1.3976115988352409,0.045587070063694286,0.902
903,1.3959332458719278,0.045795222929936326,0.903
904,1.3942584253167403,0.04599904458598727,0.904
905,1.3925841166234627,0.04620664556962026,0.905
906,1.3909035187299894,0.04641573248407643,0.906
907,1.3892148289448705,0.04662592356687899,0.907
908,1.3875303803565122,0.04683531645569621,0.908
909,1.3858462020748759,0.04704433121019109,0.909
910,1.3841485703897967,0.047260891719745235,0.91
911,1.3824407152460436,0.047474585987261154,0.911
912,1.3807339793546058,0.047684777070063696,0.912
913,1.3790390778325397,0.04789936708860759,0.913
914,1.377336952808732,0.04811496815286624,0.914
915,1.3756157224050016,0.04833152866242039,0.915
916,1.373892646482322,0.04855273885350319,0.916
917,1.3721757680790687,0.048774430379746846,0.917
918,1.370462090470148,0.04898962025316456,0.918
919,1.3687383016372576,0.04920929936305733,0.919
920,1.3670026130472064,0.04943229299363059,0.92
921,1.36526330527079,0.04966159235668792,0.921
922,1.3635261145686857,0.04988808917197454,0.922
923,1.361786986684554,0.05011101910828026,0.923
924,1.3600355894482605,0.05033949044585987,0.924
925,1.3582871212160874,0.05056835443037975,0.925
926,1.3565482942893134,0.05079620253164558,0.926
927,1.3547976184116726,0.05102509554140128,0.927
928,1.3530355057806334,0.0512543949044586,0.928
929,1.351271679982962,0.05148369426751594,0.929
930,1.349504337246023,0.0517166878980892,0.93
931,1.3477322582170974,0.051952356687898105,0.931
932,1.3459561609364135,0.052188025477707026,0.932
933,1.3441765489262791,0.05242649681528665,0.933
934,1.3423924103056575,0.05266853503184714,0.934
935,1.3406025162558368,0.05290503184713376,0.935
936,1.3388142820855304,0.05314215189873417,0.936
937,1.3370302481529364,0.05338265822784811,0.937
938,1.335239972351356,0.05362426751592354,0.938
939,1.3334392214914348,0.05386726114649679,0.939
940,1.3316302744861703,0.05411566878980891,0.94
941,1.3298208843102715,0.054364076433121016,0.941
942,1.3280118942524335,0.054612484076433106,0.942
943,1.3261984434027532,0.05486089171974522,0.943
944,1.3243780491171917,0.05510929936305732,0.944
945,1.3225486141396865,0.05535770700636941,0.945
946,1.3207095547826655,0.055613076923076904,0.946
947,1.3188707731507763,0.055867006369426736,0.947
948,1.3170370957735735,0.05611541401273884,0.948
949,1.315199515500588,0.056373248407643295,0.949
950,1.3133564082316644,0.056633312101910804,0.95
951,1.3115097504405513,0.0568880891719745,0.951
952,1.3096590813362743,0.05714668789808916,0.952
953,1.307804301170728,0.057407834394904454,0.953
954,1.305945599949268,0.05766898089171975,0.954
955,1.3040822429120478,0.05793305732484076,0.955
956,1.3022154124423222,0.058200573248407626,0.956
957,1.3003466301345141,0.05846808917197451,0.957
958,1.2984663231879574,0.05873615384615384,0.958
959,1.2965738477814348,0.059005384615384605,0.959
960,1.2946865800642675,0.05927331210191083,0.96
961,1.2928012954633257,0.05954203821656052,0.961
962,1.2909095497641827,0.059815923566878974,0.962
963,1.2890158249433998,0.06008980891719743,0.963
964,1.2871145367440961,0.06036378205128202,0.964
965,1.2851982313779948,0.06063942307692306,0.965
966,1.2832823971881424,0.06091732484076432,0.966
967,1.2813727767502803,0.06119757961783437,0.967
968,1.2794598891001334,0.061477834394904445,0.968
969,1.2775339066482316,0.06176096153846153,0.969
970,1.2755965681682375,0.062049423076923065,0.97
971,1.2736642038571961,0.0623364331210191,0.971
972,1.271735481099626,0.06262305732484076,0.972
973,1.2698004920506605,0.0629096815286624,0.973
974,1.267850956458133,0.06320166666666666,0.974
975,1.265894023636583,0.0634963694267516,0.975
976,1.2639400128279443,0.06378936305732484,0.976
977,1.2619781303331266,0.06408333333333334,0.977
978,1.2600087255536512,0.06437820512820515,0.978
979,1.2580421096348415,0.06467738853503185,0.979
980,1.2560687385266798,0.0649775,0.98
981,1.2540866909944985,0.06527878205128206,0.981
982,1.252108221255709,0.0655784713375796,0.982
983,1.250121498519841,0.06587999999999998,0.983
984,1.2481199990473346,0.06618769230769232,0.984
985,1.2461242939431108,0.06649401273885351,0.985
986,1.2441301224117929,0.06680083333333332,0.986
987,1.242124343249122,0.06711493589743592,0.987
988,1.24011406856602,0.06742789808917199,0.988
989,1.2381000000000002,0.06774,0.989
990,1.236076548053719,0.06806051282051281,0.99
991,1.2340459327353495,0.06837820512820512,0.991
992,1.2320136547158762,0.06869230769230769,0.992
993,1.2299840790787284,0.06901585987261144,0.993
994,1.2279466735822506,0.06933935897435896,0.994
995,1.2258944893784618,0.06965987179487179,0.995
996,1.2238355146897852,0.06999000000000001,0.996
997,1.2217802873031165,0.07032171974522294,0.997
998,1.219730929683674,0.07064656050955413,0.998
999,1.217670115693937,0.07097666666666665,0.999
1000,1.215595302195959,0.0713108482142857,1.0
1001,1.2135147352933684,0.07165831845238091,1.001
1002,1.2114298618067931,0.07200578869047618,1.002
1003,1.2093406478813005,0.07235325892857139,1.003
1004,1.2072470596619567,0.07270072916666667,1.004
1005,1.2051490632938298,0.07304819940476187,1.005
1006,1.2030466249219853,0.07339566964285715,1.006
1007,1.2009397106914916,0.07374313988095235,1.007
1008,1.1988282867474147,0.07409061011904763,1.008
1009,1.1967123192348215,0.07443808035714283,1.009
1010,1.194591774298779,0.07478555059523811,1.01
1011,1.1924666180843548,0.07513302083333331,1.011
1012,1.1903368167366146,0.0754804910714286,1.012
1013,1.188202336400627,0.0758279613095238,1.013
1014,1.1860631048813333,0.07618594752186592,1.014
1015,1.183918519395542,0.07655037900874634,1.015
1016,1.1817675896881363,0.07691481049562683,1.016
1017,1.179609319381626,0.07728090379008744,1.017
1018,1.1774433658469732,0.07765408163265307,1.018
1019,1.175270886611734,0.07802725947521862,1.019
1020,1.1730932487853611,0.07840043731778426,1.02
1021,1.1709116100306682,0.07877804664723029,1.021
1022,1.1687253646157187,0.07915705539358604,1.022
1023,1.166533023492793,0.0795360641399417,1.023
1024,1.1643331078233745,0.0799183333333334,1.024
1025,1.1621251716974976,0.08030722222222225,1.025
1026,1.1599103845691825,0.08069611111111118,1.026
1027,1.1576900565363162,0.08108500000000003,1.027
1028,1.1554653184338113,0.08147816326530617,1.028
1029,1.1532363605989273,0.081871749271137,1.029
1030,1.1510030659950727,0.08226533527696792,1.03
1031,1.1487652985507386,0.08266451895043725,1.031
1032,1.1465224447516942,0.0830697667638484,1.032
1033,1.144273388066628,0.08347501457725946,1.033
1034,1.1420169880427764,0.08388055393586011,1.034
1035,1.1397526531016027,0.0842916326530612,1.035
1036,1.137481682099578,0.08470271137026238,1.036
1037,1.1352057805830646,0.08511379008746346,1.037
1038,1.1329264787880056,0.08553209912536437,1.038
1039,1.1306428808332907,0.08595483965014569,1.039
1040,1.1283523191203966,0.08637758017492711,1.04
1041,1.126052091859032,0.08680166666666664,1.041
1042,1.1237409887580057,0.0872314912280702,1.042
1043,1.121421222069148,0.08766131578947366,1.043
1044,1.1190954821964105,0.08809114035087721,1.044
1045,1.1167661696698932,0.08852897959183671,1.045
1046,1.1144333235909607,0.08896921282798835,1.046
1047,1.1120958324122663,0.0894094460641399,1.047
1048,1.1097525832000226,0.08985364431486882,1.048
1049,1.1074028257212867,0.09030553935860057,1.049
1050,1.1050463620164321,0.09075743440233242,1.05
1051,1.1026830404932146,0.09120932944606416,1.051
1052,1.1003127585889805,0.09166918367346946,1.052
1053,1.097935670973334,0.09212982507288632,1.053
1054,1.0955520163846335,0.09259046647230328,1.054
1055,1.093162014396319,0.09305530612244899,1.055
1056,1.0907653982580987,0.09352469387755108,1.056
1057,1.0883613888458747,0.09399408163265306,1.057
1058,1.0859491826427965,0.094464269005848,1.058
1059,1.0835282914521756,0.09494964912280701,1.059
1060,1.0810993131043964,0.09543502923976614,1.06
1061,1.078663079067201,0.09592040935672516,1.061
1062,1.0762203967769777,0.09641040816326538,1.062
1063,1.0737717535789721,0.0969031195335277,1.063
1064,1.071317409165048,0.09739583090379014,1.064
1065,1.0688576167091048,0.0978908746355685,1.065
1066,1.0663922796190928,0.09839524781341112,1.066
1067,1.063920520928928,0.09889962099125361,1.067
1068,1.0614413580828064,0.09940399416909623,1.068
1069,1.0589539366770417,0.09991959183673466,1.069
1070,1.0564584462865054,0.1004385422740525,1.07
1071,1.053955585183444,0.10095749271137021,1.071
1072,1.0514460385092528,0.10148040816326533,1.072
1073,1.0489295446676186,0.10201102040816325,1.073
1074,1.0464044004940793,0.1025416326530613,1.074
1075,1.0438687817940007,0.10307224489795923,1.075
1076,1.0413214420570862,0.10361491228070183,1.076
1077,1.038764165576105,0.10415877192982455,1.077
1078,1.0361997271721808,0.10470263157894738,1.078
1079,1.0336308158691494,0.10525285714285709,1.079
1080,1.0310580380309708,0.10580970845481054,1.08
1081,1.0284798623150098,0.10636655976676386,1.081
1082,1.0258946600679546,0.10692446064139952,1.082
1083,1.0233011175938544,0.10749880466472306,1.083
1084,1.0206989741970751,0.10807314868804672,1.084
1085,1.0180881889846156,0.10864749271137028,1.085
1086,1.0154687354961678,0.10922918367346945,1.086
1087,1.0128407795110375,0.10981518950437318,1.087
1088,1.0102046235320812,0.11040119533527702,1.088
1089,1.007560571004191,0.11099069970845479,1.089
1090,1.0049085052618303,0.1115941982507289,1.09
1091,1.0022473723176135,0.11219769679300289,1.091
1092,0.9995759913583641,0.112801195335277,1.092
1093,0.9968934142631861,0.11341730994152042,1.093
1094,0.9942005885158417,0.11403719298245618,1.094
1095,0.9914993852676369,0.11465707602339179,1.095
1096,0.9887916594658311,0.11528346938775515,1.096
1097,0.9860780699439438,0.11592195335276964,1.097
1098,0.9833575021046594,0.11656043731778427,1.098
1099,0.9806286978379184,0.11719892128279878,1.099
1100,0.977890647697698,0.11785081632653062,1.1
1101,0.9751436078147036,0.11850387755102033,1.101
1102,0.972388235938528,0.1191569387755102,1.102
1103,0.9696251501491508,0.11981999999999994,1.103
1104,0.9668540078671974,0.12049346938775515,1.104
1105,0.9640734804627817,0.12116693877551021,1.105
1106,0.9612821945100822,0.12184163265306135,1.106
1107,0.9584794184891094,0.12253551020408167,1.107
1108,0.9556665669705489,0.12322938775510214,1.108
1109,0.9528455024987172,0.12392326530612247,1.109
1110,0.9500178806845587,0.12462816326530621,1.11
1111,0.9471826008419999,0.1253395335276968,1.111
1112,0.9443366019672639,0.12605090379008754,1.112
1113,0.9414767896236226,0.12676795321637427,1.113
1114,0.9386018684803007,0.1275077192982457,1.114
1115,0.9357145572495296,0.12824748538011696,1.115
1116,0.9328181177698642,0.12898725146198836,1.116
1117,0.9299154498978724,0.12974125364431485,1.117
1118,0.9270065994898347,0.1304992711370263,1.118
1119,0.9240902597858071,0.1312572886297376,1.119
1120,0.9211651197662613,0.13202346938775517,1.12
1121,0.9182300746144356,0.13280481049562678,1.121
1122,0.9152843252422989,0.13358615160349857,1.122
1123,0.9123270973025512,0.1343674927113702,1.123
1124,0.9093579036418772,0.135172973760933,1.124
1125,0.9063777187820239,0.13598055393586006,1.125
1126,0.903387981093593,0.13678813411078714,1.126
1127,0.9003900615910244,0.13760714285714293,1.127
1128,0.8973837022991343,0.1384380466472303,1.128
1129,0.8943669731973307,0.13926895043731785,1.129
1130,0.8913378682557777,0.14010177842565594,1.13
1131,0.8882952010161653,0.14096475218658897,1.131
1132,0.8852405251025053,0.1418277259475218,1.132
1133,0.882175966101883,0.14269069970845483,1.133
1134,0.8791034142219363,0.14357020408163257,1.134
1135,0.8760216244791222,0.144459416909621,1.135
1136,0.8729271220972814,0.1453486297376092,1.136
1137,0.8698163950454195,0.1462447953216374,1.137
1138,0.8666881417966942,0.14716877192982444,1.138
1139,0.8635459927509663,0.1480927485380117,1.139
1140,0.8603942456301085,0.1490167251461987,1.14
1141,0.8572366383282305,0.14996361516034984,1.141
1142,0.8540724948497337,0.150916967930029,1.142
1143,0.8508990472935316,0.1518703206997084,1.143
1144,0.8477135400975884,0.15283591836734678,1.144
1145,0.8445145470071826,0.1538242565597667,1.145
1146,0.8413026126793092,0.1548125947521864,1.146
1147,0.8380784412646073,0.15580093294460634,1.147
1148,0.8348426408378052,0.1568241399416908,1.148
