nm,n,k,wl
900,1.6999304626625795,1.7997328594507265e-13,0.9
901,1.6999148223027847,1.78013027463651e-13,0.901
902,1.699899157285977,1.7605276898222934e-13,0.902
903,1.6998834544124335,1.7409251050080769e-13,0.903
904,1.699867700482429,1.7213225201938603e-13,0.904
905,1.699851882296239,1.7017199353796437e-13,0.905
906,1.6998359866541393,1.6821173505654272e-13,0.906
907,1.6998200003564048,1.6625147657512106e-13,0.907
908,1.699803910203312,1.642912180936994e-13,0.908
909,1.6997877029951358,1.6233095961227775e-13,0.909
910,1.699771365532152,1.603707011308561e-13,0.91
911,1.699754884614636,1.5841044264943444e-13,0.911
912,1.6997382470428635,1.564501841680128e-13,0.912
913,1.6997214396171094,1.5448992568659115e-13,0.913
914,1.6997044491376494,1.525296672051695e-13,0.914
915,1.6996872641731835,1.510469256248117e-13,0.915
916,1.699669889208712,1.4973196025293575e-13,0.916
917,1.6996523371521954,1.4841699488105982e-13,0.917
918,1.6996346209882969,1.4710202950918387e-13,0.918
919,1.699616753701678,1.4578706413730794e-13,0.919
920,1.6995987482770027,1.4447209876543202e-13,0.92
921,1.6995806176989334,1.4315713339355606e-13,0.921
922,1.6995623749521325,1.4184216802168014e-13,0.922
923,1.699544033021263,1.4052720264980418e-13,0.923
924,1.699525604890989,1.3921223727792826e-13,0.924
925,1.6995071035459708,1.378972719060523e-13,0.925
926,1.699488541970873,1.3658230653417638e-13,0.926
927,1.6994699331503582,1.3526734116230043e-13,0.927
928,1.6994512900690886,1.339523757904245e-13,0.928
929,1.6994326257117272,1.3263741041854855e-13,0.929
930,1.6994139530629373,1.3132244504667262e-13,0.93
931,1.6993952851073815,1.3000747967479667e-13,0.931
932,1.6993766348297221,1.2869251430292074e-13,0.932
933,1.6993580152146217,1.273775489310448e-13,0.933
934,1.6993394392467442,1.2606258355916886e-13,0.934
935,1.699320919910752,1.247476181872929e-13,0.935
936,1.699302470191307,1.2343265281541698e-13,0.936
937,1.6992841030730734,1.2211768744354105e-13,0.937
938,1.6992658315407128,1.2080272207166525e-13,0.938
939,1.6992476685788884,1.194877566997893e-13,0.939
940,1.6992296271722633,1.1817279132791337e-13,0.94
941,1.6992117203055002,1.1685782595603744e-13,0.941
942,1.6991939609632616,1.155428605841615e-13,0.942
943,1.6991763621302107,1.1422789521228554e-13,0.943
944,1.6991589367910096,1.1291292984040961e-13,0.944
945,1.699141697930322,1.1159796446853367e-13,0.945
946,1.69912465853281,1.1028299909665773e-13,0.946
947,1.6991078315831365,1.089680337247818e-13,0.947
948,1.699091229565113,1.078849658263306e-13,0.948
949,1.699074854916829,1.0700754285714293e-13,0.949
950,1.699058700787053,1.0613011988795525e-13,0.95
951,1.6990427599752693,1.0525269691876757e-13,0.951
952,1.6990270252809656,1.043752739495799e-13,0.952
953,1.6990114895036275,1.0349785098039221e-13,0.953
954,1.6989961454427418,1.0262042801120455e-13,0.954
955,1.6989809858977944,1.0174300504201686e-13,0.955
