nm,n,k,wl
900,3.4698326562647708,0.0,0.9
901,3.4698327544610947,0.0,0.901
902,3.4698328528902493,0.0,0.902
903,3.469832951144781,0.0,0.903
904,3.4698330487590283,0.0,0.904
905,3.4698331465770025,0.0,0.905
906,3.46983324419125,0.0,0.906
907,3.469833341630874,0.0,0.907
908,3.4698334389249794,0.0,0.908
909,3.4698335359280463,0.0,0.909
910,3.4698336329020094,0.0,0.91
911,3.4698337294976227,0.0,0.911
912,3.469833825918613,0.0,0.912
913,3.4698339223104995,0.0,0.913
914,3.4698340182367247,0.0,0.914
915,3.469834114337573,0.0,0.915
916,3.469834210438421,0.0,0.916
917,3.4698343056079466,0.0,0.917
918,3.469834401359549,0.0,0.918
919,3.469834496587282,0.0,0.919
920,3.4698345914366655,0.0,0.92
921,3.469834686606191,0.0,0.921
922,3.4698347812518477,0.0,0.922
923,3.4698348756646737,0.0,0.923
924,3.4698349701066036,0.0,0.924
925,3.469835064257495,0.0,0.925
926,3.4698351584083866,0.0,0.926
927,3.4698352521227207,0.0,0.927
928,3.4698353458370548,0.0,0.928
929,3.4698354391148314,0.0,0.929
930,3.4698355325090233,0.0,0.93
931,3.469835626106942,0.0,0.931
932,3.4698357185698114,0.0,0.932
933,3.4698358112655114,0.0,0.933
934,3.4698359039903153,0.0,0.934
935,3.469835996249458,0.0,0.935
936,3.469836088595912,0.0,0.936
937,3.4698361808259506,0.0,0.937
938,3.469836272619432,0.0,0.938
939,3.4698363643838093,0.0,0.939
940,3.4698364558571484,0.0,0.94
941,3.469836547592422,0.0,0.941
942,3.4698366383381654,0.0,0.942
943,3.4698367292876355,0.0,0.943
944,3.469836820149794,0.0,0.944
945,3.4698369109537452,0.0,0.945
946,3.4698370015539695,0.0,0.946
947,3.4698370918049477,0.0,0.947
948,3.4698371819977183,0.0,0.948
949,3.4698372719576582,0.0,0.949
950,3.469837361568352,0.0,0.95
951,3.469837451382773,0.0,0.951
952,3.469837540673325,0.0,0.952
953,3.469837630080292,0.0,0.953
954,3.4698377189051826,0.0,0.954
955,3.4698378077882808,0.0,0.955
956,3.4698378967295866,0.0,0.956
957,3.4698379853216466,0.0,0.957
958,3.469838074030122,0.0,0.958
959,3.469838162069209,0.0,0.959
960,3.4698382501956075,0.0,0.96
961,3.4698383380600717,0.0,0.961
962,3.4698384257790167,0.0,0.962
963,3.469838513468858,0.0,0.963
964,3.469838600838557,0.0,0.964
965,3.4698386880627368,0.0,0.965
966,3.469838775054086,0.0,0.966
967,3.46983886192902,0.0,0.967
968,3.4698389486875385,0.0,0.968
969,3.469839034922188,0.0,0.969
970,3.4698391215933952,0.0,0.97
971,3.4698392078571487,0.0,0.971
972,3.469839293946279,0.0,0.972
973,3.4698393795406446,0.0,0.973
