nm,n,k,wl
900,1.9786785333698793,0.0,0.9
901,1.9786184412912995,0.0,0.901
902,1.9785582801712662,0.0,0.902
903,1.9784980018986547,0.0,0.903
904,1.9784379660048041,0.0,0.904
905,1.9783784388494503,0.0,0.905
906,1.9783188772893538,0.0,0.906
907,1.9782593664773926,0.0,0.907
908,1.9782004106294537,0.0,0.908
909,1.9781414939922202,0.0,0.909
910,1.9780825542954754,0.0,0.91
911,1.9780242644746808,0.0,0.911
912,1.977965793591073,0.0,0.912
913,1.9779067342059258,0.0,0.913
914,1.9778486536593685,0.0,0.914
915,1.9777910884569323,0.0,0.915
916,1.977732785870956,0.0,0.916
917,1.9776746112054473,0.0,0.917
918,1.9776170884154989,0.0,0.918
919,1.9775599864124946,0.0,0.919
920,1.9775030185313622,0.0,0.92
921,1.9774459792380323,0.0,0.921
922,1.9773888402262998,0.0,0.922
923,1.9773319492043877,0.0,0.923
924,1.977275541681146,0.0,0.924
925,1.9772192183970667,0.0,0.925
926,1.9771627570304993,0.0,0.926
927,1.9771062449172223,0.0,0.927
928,1.9770501540912333,0.0,0.928
929,1.9769944302721685,0.0,0.929
930,1.976938538479917,0.0,0.93
931,1.9768830228389132,0.0,0.931
932,1.9768279547896097,0.0,0.932
933,1.9767721912417,0.0,0.933
934,1.9767165778759124,0.0,0.934
935,1.9766621085074176,0.0,0.935
936,1.9766073217600761,0.0,0.936
937,1.976552053837295,0.0,0.937
938,1.9764973133853672,0.0,0.938
939,1.9764432467859834,0.0,0.939
940,1.976389373423049,0.0,0.94
941,1.976334922246169,0.0,0.941
942,1.9762803943993181,0.0,0.942
943,1.976226470144655,0.0,0.943
944,1.9761731559187976,0.0,0.944
945,1.9761197974476608,0.0,0.945
946,1.9760658514057643,0.0,0.946
947,1.976012075249841,0.0,0.947
948,1.975958951947204,0.0,0.948
949,1.9759063503155505,0.0,0.949
950,1.975853452241535,0.0,0.95
951,1.9758000822222292,0.0,0.951
952,1.9757470974566735,0.0,0.952
953,1.9756947810788812,0.0,0.953
954,1.9756428195437175,0.0,0.954
955,1.975590360710117,0.0,0.955
956,1.9755376451564173,0.0,0.956
957,1.9754854673295459,0.0,0.957
958,1.9754339353535897,0.0,0.958
959,1.9753825338757443,0.0,0.959
960,1.9753305392625544,0.0,0.96
961,1.975278546446764,0.0,0.961
962,1.9752271774483567,0.0,0.962
963,1.9751764049034979,0.0,0.963
964,1.9751254776514722,0.0,0.964
965,1.9750739886488116,0.0,0.965
966,1.975022905984462,0.0,0.966
967,1.9749722075613185,0.0,0.967
968,1.974921349593995,0.0,0.968
969,1.9748708344526174,0.0,0.969
970,1.974820751732152,0.0,0.97
971,1.9747706141056214,0.0,0.971
972,1.974720438911245,0.0,0.972
973,1.9746702800962432,0.0,0.973
974,1.9746200232461724,0.0,0.974
975,1.9745699933103515,0.0,0.975
976,1.974520454836476,0.0,0.976
977,1.974471002341738,0.0,0.977
978,1.974421414951958,0.0,0.978
979,1.97437178333286,0.0,0.979
980,1.9743225368506914,0.0,0.98
981,1.9742736919962018,0.0,0.981
982,1.9742248011413657,0.0,0.982
983,1.9741758753260659,0.0,0.983
984,1.974126966751654,0.0,0.984
985,1.974077959255865,0.0,0.985
986,1.9740291656511515,0.0,0.986
987,1.9739808649313182,0.0,0.987
988,1.9739326690326449,0.0,0.988
989,1.973884329003508,0.0,0.989
990,1.973835919696642,0.0,0.99
991,1.9737879924648813,0.0,0.991
992,1.9737403781561444,0.0,0.992
993,1.973692172493469,0.0,0.993
994,1.9736438886001124,0.0,0.994
995,1.9735962208770896,0.0,0.995
996,1.973549166486622,0.0,0.996
997,1.9735020265190177,0.0,0.997
998,1.9734543007962058,0.0,0.998
999,1.9734068674454972,0.0,0.999
1000,1.9733599600300196,0.0,1.0
1001,1.9733131771350496,0.0,1.001
1002,1.9732664378352769,0.0,1.002
1003,1.9732197464903327,0.0,1.003
1004,1.9731731074598486,0.0,1.004
1005,1.9731265251034567,0.0,1.005
1006,1.9730800037807876,0.0,1.006
1007,1.9730335478514744,0.0,1.007
1008,1.9729871616751489,0.0,1.008
1009,1.9729408496114413,0.0,1.009
1010,1.9728946160199843,0.0,1.01
1011,1.972848465260409,0.0,1.011
1012,1.972802401692348,0.0,1.012
1013,1.9727564296895246,0.0,1.013
1014,1.972710564706575,0.0,1.014
1015,1.972664853144196,0.0,1.015
1016,1.9726193467634743,0.0,1.016
1017,1.9725740859418541,0.0,1.017
1018,1.9725290119164092,0.0,1.018
1019,1.9724840148518077,0.0,1.019
1020,1.9724389861598,0.0,1.02
1021,1.9723938916518746,0.0,1.021
1022,1.97234879966068,0.0,1.022
1023,1.9723037859949524,0.0,1.023
1024,1.972258907301542,0.0,1.024
1025,1.972214144666712,0.0,1.025
1026,1.9721694605544706,0.0,1.026
1027,1.9721248222061882,0.0,1.027
1028,1.9720802601716727,0.0,1.028
1029,1.9720358498662178,0.0,1.029
1030,1.9719916671159756,0.0,1.03
1031,1.971947726742669,0.0,1.031
1032,1.971903927366862,0.0,1.032
1033,1.9718601545709418,0.0,1.033
1034,1.971816315223532,0.0,1.034
1035,1.9717724377279837,0.0,1.035
1036,1.9717285935532125,0.0,1.036
1037,1.971684852272307,0.0,1.037
1038,1.971641240073206,0.0,1.038
1039,1.9715977405119731,0.0,1.039
1040,1.9715543353572147,0.0,1.04
1041,1.9715110116622327,0.0,1.041
1042,1.9714677708454216,0.0,1.042
1043,1.971424616742857,0.0,1.043
1044,1.9713815529402756,0.0,1.044
1045,1.9713385808709498,0.0,1.045
1046,1.9712957008709633,0.0,1.046
1047,1.9712529132328684,0.0,1.047
1048,1.9712102166856604,0.0,1.048
1049,1.97116760779577,0.0,1.049
1050,1.9711250829710774,0.0,1.05
1051,1.971082641522025,0.0,1.051
1052,1.9710402944375196,0.0,1.052
1053,1.9709980556432416,0.0,1.053
1054,1.9709559364494698,0.0,1.054
1055,1.9709139118520318,0.0,1.055
1056,1.9708719302672182,0.0,1.056
1057,1.9708299397084843,0.0,1.057
1058,1.9707879159134087,0.0,1.058
1059,1.9707458900422763,0.0,1.059
1060,1.9707038998490354,0.0,1.06
1061,1.9706619852344887,0.0,1.061
1062,1.9706201992567864,0.0,1.062
1063,1.9705785999562018,0.0,1.063
1064,1.9705372422261422,0.0,1.064
1065,1.9704961004821249,0.0,1.065
1066,1.9704550640219598,0.0,1.066
1067,1.9704140180894778,0.0,1.067
1068,1.9703728929961033,0.0,1.068
1069,1.9703317541771719,0.0,1.069
1070,1.9702906922858514,0.0,1.07
1071,1.970249786722965,0.0,1.071
1072,1.9702090064660078,0.0,1.072
1073,1.970168257870722,0.0,1.073
1074,1.9701274479617268,0.0,1.074
1075,1.9700865678393,0.0,1.075
1076,1.9700457394604594,0.0,1.076
1077,1.970005096102003,0.0,1.077
1078,1.969964733763071,0.0,1.078
1079,1.969924574242969,0.0,1.079
1080,1.9698844884979692,0.0,1.08
1081,1.9698443535037153,0.0,1.081
1082,1.9698041506370565,0.0,1.082
1083,1.9697639496135928,0.0,1.083
1084,1.969723822859009,0.0,1.084
1085,1.9696838217674675,0.0,1.085
1086,1.9696439479612637,0.0,1.086
1087,1.9696041958635526,0.0,1.087
1088,1.9695645561155115,0.0,1.088
1089,1.9695249908123567,0.0,1.089
1090,1.9694854490184202,0.0,1.09
1091,1.9694458809328492,0.0,1.091
1092,1.9694062815298352,0.0,1.092
1093,1.9693667028529784,0.0,1.093
1094,1.9693272006516411,0.0,1.094
1095,1.9692878175560768,0.0,1.095
1096,1.969248546813781,0.0,1.096
1097,1.9692093700548918,0.0,1.097
1098,1.9691702704604612,0.0,1.098
1099,1.9691312516596793,0.0,1.099
1100,1.9690923317215379,0.0,1.1
1101,1.9690535288377582,0.0,1.101
1102,1.9690148380619144,0.0,1.102
1103,1.9689762088107117,0.0,1.103
1104,1.9689375851585602,0.0,1.104
1105,1.9688989224247202,0.0,1.105
1106,1.968860245685648,0.0,1.106
1107,1.9688216067300903,0.0,1.107
1108,1.9687830565582034,0.0,1.108
1109,1.968744623279739,0.0,1.109
1110,1.9687063099785034,0.0,1.11
1111,1.9686681184629775,0.0,1.111
1112,1.9686300380688158,0.0,1.112
1113,1.9685920183092558,0.0,1.113
1114,1.968554000767144,0.0,1.114
1115,1.9685159342752792,0.0,1.115
1116,1.9684778466977373,0.0,1.116
1117,1.9684398144997346,0.0,1.117
1118,1.9684019141307938,0.0,1.118
1119,1.9683641626246493,0.0,1.119
1120,1.9683264743702216,0.0,1.12
1121,1.968288753567065,0.0,1.121
1122,1.968250934532264,0.0,1.122
1123,1.9682131141666415,0.0,1.123
1124,1.9681754439862837,0.0,1.124
1125,1.9681380678243328,0.0,1.125
1126,1.9681009581296436,0.0,1.126
1127,1.9680639193707028,0.0,1.127
1128,1.9680267490722876,0.0,1.128
1129,1.9679893365384944,0.0,1.129
1130,1.967951832855173,0.0,1.13
1131,1.967914435476322,0.0,1.131
1132,1.9678773217366279,0.0,1.132
1133,1.9678404749822176,0.0,1.133
1134,1.9678037700670317,0.0,1.134
1135,1.9677670813805568,0.0,1.135
1136,1.9677303295549617,0.0,1.136
1137,1.96769350857126,0.0,1.137
1138,1.967656618919676,0.0,1.138
1139,1.9676196777304684,0.0,1.139
1140,1.967582784526253,0.0,1.14
1141,1.9675460642844012,0.0,1.141
1142,1.9675096339311795,0.0,1.142
1143,1.9674734506919065,0.0,1.143
1144,1.9674373251588644,0.0,1.144
1145,1.967401062648232,0.0,1.145
1146,1.9673645632121497,0.0,1.146
1147,1.9673279806354587,0.0,1.147
1148,1.9672915107351912,0.0,1.148
1149,1.9672553274804805,0.0,1.149
1150,1.967219406898831,0.0,1.15
1151,1.9671836197024852,0.0,1.151
1152,1.9671478366093538,0.0,1.152
1153,1.967111984673754,0.0,1.153
1154,1.967076076795313,0.0,1.154
1155,1.9670401330883294,0.0,1.155
1156,1.967004177684901,0.0,1.156
1157,1.9669682539259359,0.0,1.157
1158,1.9669324108863007,0.0,1.158
1159,1.9668966946646396,0.0,1.159
1160,1.966861094466142,0.0,1.16
1161,1.9668255483783317,0.0,1.161
1162,1.966789992725754,0.0,1.162
1163,1.9667543928637148,0.0,1.163
1164,1.966718790788317,0.0,1.164
1165,1.9666832409962023,0.0,1.165
1166,1.9666477940533333,0.0,1.166
1167,1.9666124651036618,0.0,1.167
1168,1.9665772505264059,0.0,1.168
1169,1.966542146312845,0.0,1.169
1170,1.96650713589446,0.0,1.17
1171,1.9664721834767043,0.0,1.171
1172,1.9664372516391047,0.0,1.172
1173,1.9664023080382609,0.0,1.173
1174,1.966367344982619,0.0,1.174
1175,1.9663323622521645,0.0,1.175
1176,1.9662973605971485,0.0,1.176
1177,1.9662623599839897,0.0,1.177
1178,1.9662273980341123,0.0,1.178
1179,1.9661925130109315,0.0,1.179
1180,1.9661577340242962,0.0,1.18
1181,1.9661230651703931,0.0,1.181
1182,1.9660885063116784,0.0,1.182
1183,1.966054054884338,0.0,1.183
1184,1.966019685298976,0.0,1.184
1185,1.9659853592499856,0.0,1.185
1186,1.965951038516885,0.0,1.186
1187,1.965916699434629,0.0,1.187
1188,1.9658823417602789,0.0,1.188
1189,1.9658479673698248,0.0,1.189
1190,1.9658135819916522,0.0,1.19
1191,1.965779211339757,0.0,1.191
1192,1.9657448875892525,0.0,1.192
1193,1.9657106426373674,0.0,1.193
1194,1.965676502128869,0.0,1.194
1195,1.965642485572435,0.0,1.195
1196,1.965608612197657,0.0,1.196
1197,1.965574873222047,0.0,1.197
1198,1.9655411766826056,0.0,1.198
1199,1.9655074152478624,0.0,1.199
1200,1.9654734933640396,0.0,1.2
1201,1.965439440362079,0.0,1.201
1202,1.965405360776009,0.0,1.202
1203,1.9653713597245506,0.0,1.203
1204,1.9653375026779907,0.0,1.204
1205,1.9653037849148889,0.0,1.205
1206,1.965270194524988,0.0,1.206
1207,1.9652367145263914,0.0,1.207
1208,1.9652032983094971,0.0,1.208
1209,1.9651698885369526,0.0,1.209
1210,1.9651364303151795,0.0,1.21
1211,1.965102935771711,0.0,1.211
1212,1.965069490448074,0.0,1.212
1213,1.9650361836198413,0.0,1.213
1214,1.965003058206604,0.0,1.214
1215,1.9649699996796055,0.0,1.215
1216,1.9649368601133457,0.0,1.216
1217,1.9649035070136418,0.0,1.217
1218,1.9648700031998763,0.0,1.218
1219,1.9648365454985757,0.0,1.219
1220,1.9648033325371321,0.0,1.22
1221,1.9647704430272328,0.0,1.221
1222,1.9647377108134723,0.0,1.222
1223,1.9647049398604794,0.0,1.223
1224,1.9646719641206483,0.0,1.224
1225,1.964638825914838,0.0,1.225
1226,1.964605656007775,0.0,1.226
1227,1.9645725837309616,0.0,1.227
1228,1.9645396726542224,0.0,1.228
1229,1.9645069023132953,0.0,1.229
1230,1.9644742467657077,0.0,1.23
1231,1.9644416797408344,0.0,1.231
1232,1.964409173625294,0.0,1.232
1233,1.9643767004623092,0.0,1.233
1234,1.9643442327954121,0.0,1.234
1235,1.9643117513474542,0.0,1.235
1236,1.964279243512261,0.0,1.236
1237,1.9642466969426953,0.0,1.237
1238,1.964214122460353,0.0,1.238
1239,1.9641815883027025,0.0,1.239
1240,1.9641491714481814,0.0,1.24
1241,1.964116933493526,0.0,1.241
1242,1.9640848008409773,0.0,1.242
1243,1.9640526297198846,0.0,1.243
1244,1.9640202778295703,0.0,1.244
1245,1.9639877293908505,0.0,1.245
1246,1.963955166188309,0.0,1.246
1247,1.9639227871725176,0.0,1.247
1248,1.9638907406473889,0.0,1.248
1249,1.9638589119749075,0.0,1.249
1250,1.9638271014499746,0.0,1.25
1251,1.9637951163916265,0.0,1.251
1252,1.9637629300690758,0.0,1.252
1253,1.963730683615327,0.0,1.253
1254,1.9636985255948007,0.0,1.254
1255,1.9636665541934726,0.0,1.255
1256,1.9636347075038818,0.0,1.256
1257,1.9636028918897785,0.0,1.257
1258,1.9635710217328222,0.0,1.258
1259,1.9635391076310156,0.0,1.259
1260,1.9635072237163274,0.0,1.26
1261,1.9634754449496996,0.0,1.261
1262,1.9634438056861778,0.0,1.262
1263,1.9634122588051315,0.0,1.263
1264,1.963380747449606,0.0,1.264
1265,1.9633492200921827,0.0,1.265
1266,1.9633176624388213,0.0,1.266
1267,1.9632860760760247,0.0,1.267
1268,1.9632544631601876,0.0,1.268
1269,1.9632228461217258,0.0,1.269
1270,1.9631912739725799,0.0,1.27
1271,1.963159797526028,0.0,1.271
1272,1.9631284512410143,0.0,1.272
1273,1.9630971989794102,0.0,1.273
1274,1.9630659855579669,0.0,1.274
1275,1.96303475787536,0.0,1.275
1276,1.9630035007799793,0.0,1.276
1277,1.9629722322521876,0.0,1.277
1278,1.9629409713714594,0.0,1.278
1279,1.9629097278843628,0.0,1.279
1280,1.9628784860427204,0.0,1.28
1281,1.9628472257848275,0.0,1.281
1282,1.9628159317926313,0.0,1.282
1283,1.962784636859836,0.0,1.283
1284,1.9627534017769794,0.0,1.284
1285,1.9627222871804553,0.0,1.285
1286,1.962691308027944,0.0,1.286
1287,1.962660397656009,0.0,1.287
1288,1.9626294809430773,0.0,1.288
1289,1.96259849986427,0.0,1.289
1290,1.9625675025341742,0.0,1.29
1291,1.9625365777401103,0.0,1.291
1292,1.96250581147026,0.0,1.292
1293,1.9624751949517907,0.0,1.293
1294,1.962444605470469,0.0,1.294
1295,1.9624139135530037,0.0,1.295
1296,1.962383033183091,0.0,1.296
1297,1.9623520507142214,0.0,1.297
1298,1.9623210952308474,0.0,1.298
1299,1.9622902889436582,0.0,1.299
1300,1.9622596406134878,0.0,1.3
1301,1.9622290659082582,0.0,1.301
1302,1.962198477827117,0.0,1.302
1303,1.9621678282621369,0.0,1.303
1304,1.9621371697503938,0.0,1.304
1305,1.9621065708935057,0.0,1.305
1306,1.9620760937549533,0.0,1.306
1307,1.9620457372522495,0.0,1.307
