nm,n,k,wl
900,2.1044840000000002,0.0,0.9
901,2.104418883318483,0.0,0.901
902,2.1043540000000003,0.0,0.902
903,2.1042893708754056,0.0,0.903
904,2.1042250000000005,0.0,0.904
905,2.1041608831798984,0.0,0.905
906,2.104097,0.0,0.906
907,2.1040333464050036,0.0,0.907
908,2.10397,0.0,0.908
909,2.10390698120009,0.0,0.909
910,2.103844,0.0,0.91
911,2.10378085379464,0.0,0.911
912,2.103718,0.0,0.912
913,2.1036558536213543,0.0,0.913
914,2.103594,0.0,0.914
915,2.103531981719946,0.0,0.915
916,2.10347,0.0,0.916
917,2.103408344498864,0.0,0.917
918,2.1033470000000003,0.0,0.918
919,2.103285890284599,0.0,0.919
920,2.103225,0.0,0.92
921,2.103164344362741,0.0,0.921
922,2.103104,0.0,0.922
923,2.1030439822644396,0.0,0.923
924,2.102984,0.0,0.924
925,2.102923851579502,0.0,0.925
926,2.1028640000000003,0.0,0.926
927,2.1028048614175523,0.0,0.927
928,2.1027460000000002,0.0,0.928
929,2.102686952750289,0.0,0.929
930,2.102628,0.0,0.93
931,2.1025694525812955,0.0,0.931
932,2.1025110000000002,0.0,0.932
933,2.1024523619245326,0.0,0.933
934,2.102394,0.0,0.934
935,2.102336349720575,0.0,0.935
936,2.102279,0.0,0.936
937,2.1022214891931656,0.0,0.937
938,2.1021640000000006,0.0,0.938
939,2.102106818506762,0.0,0.939
940,2.10205,0.0,0.94
941,2.1019934867797856,0.0,0.941
942,2.101937,0.0,0.942
943,2.101880359374093,0.0,0.943
944,2.101824,0.0,0.944
945,2.1017683257238415,0.0,0.945
946,2.101713,0.0,0.946
947,2.1016575877305437,0.0,0.947
948,2.1016020000000006,0.0,0.948
949,2.101546323353987,0.0,0.949
950,2.1014910000000007,0.0,0.95
951,2.101436368853511,0.0,0.951
952,2.1013820000000005,0.0,0.952
953,2.1013274512319726,0.0,0.953
954,2.101273,0.0,0.954
955,2.1012189512186006,0.0,0.955
956,2.101165,0.0,0.956
957,2.1011108688936257,0.0,0.957
958,2.101057,0.0,0.958
959,2.1010038232068964,0.0,0.959
960,2.1009510000000002,0.0,0.96
961,2.100898088278789,0.0,0.961
962,2.1008450000000005,0.0,0.962
963,2.100791823677951,0.0,0.963
964,2.1007390000000004,0.0,0.964
965,2.100686867009412,0.0,0.965
966,2.1006350000000005,0.0,0.966
967,2.1005829582844053,0.0,0.967
968,2.1005310000000006,0.0,0.968
969,2.1004794248529706,0.0,0.969
970,2.100428,0.0,0.97
971,2.1003764673037146,0.0,0.971
972,2.1003250000000007,0.0,0.972
973,2.100273830932171,0.0,0.973
974,2.1002230000000006,0.0,0.974
975,2.100172458967602,0.0,0.975
976,2.100122,0.0,0.976
977,2.1000714581974225,0.0,0.977
978,2.100021,0.0,0.978
979,2.099970833242709,0.0,0.979
980,2.099921,0.0,0.98
981,2.0998714588317435,0.0,0.981
982,2.099822,0.0,0.982
