nm,n,k,wl
900,1.5429351497127548,2.967723719745223,0.9
901,1.5448011678524385,2.9729289171974522,0.901
902,1.5466717699605002,2.9781281847133756,0.902
903,1.5485478548042368,2.983316082802548,0.903
904,1.5504393835028203,2.9885154615384613,0.904
905,1.5523410095109966,2.9937222101910828,0.905
906,1.5542386701779756,2.998882719745223,0.906
907,1.5561367783591953,3.0040374968152865,0.907
908,1.5580448692366988,3.009185267515923,0.908
909,1.5599697682358802,3.0143502307692307,0.909
910,1.561898443951524,3.01950272611465,0.91
911,1.5638219369317203,3.02462374522293,0.911
912,1.5657491910875823,3.0297347324840764,0.912
913,1.5676896289171378,3.0348459615384615,0.913
914,1.5696445837490434,3.039973525641026,0.914
915,1.571598759839185,3.0450729426751595,0.915
916,1.5735495929466974,3.050154439490446,0.916
917,1.5755060220778,3.0552232292993633,0.917
918,1.5774778319094906,3.060301153846154,0.918
919,1.5794605022330959,3.065388974358975,0.919
920,1.5814381029344016,3.070435847133758,0.92
921,1.5834139725174907,3.0754744777070067,0.921
922,1.585398881123397,3.080504414012739,0.922
923,1.5874020827069588,3.0855495000000004,0.923
924,1.5894083304849407,3.0905891210191085,0.924
925,1.5914075014203228,3.0955942165605097,0.925
926,1.593422206425494,3.1006114166666667,0.926
927,1.595445718539461,3.1056311656050957,0.927
928,1.597461306247151,3.110610783439491,0.928
929,1.5994896608950095,3.115600333333334,0.929
930,1.6015295678069277,3.1205990512820514,0.93
931,1.6035608291035366,3.1255549745222933,0.931
932,1.6056017339471609,3.13051675,0.932
933,1.6076571131199775,3.1354904679487183,0.933
934,1.6097045422631842,3.1404278471337586,0.934
935,1.6117580814076187,3.145362666666667,0.935
936,1.6138283659147157,3.150311384615385,0.936
937,1.6158925541837026,3.1552295668789814,0.937
938,1.6179573856455858,3.1601371666666664,0.938
939,1.6200399411591686,3.1650615256410255,0.939
940,1.6221316770587864,3.169978942307692,0.94
941,1.6242208435206538,3.1748906878980887,0.941
942,1.6263029772371542,3.179759477707006,0.942
943,1.6283973548593873,3.184636641025641,0.943
944,1.6305045769731823,3.1895244615384613,0.944
945,1.6326029114081315,3.1943742356687896,0.945
946,1.63470596535897,3.1992246730769227,0.946
947,1.636826371645907,3.204088134615384,0.947
948,1.638953521663525,3.2089429423076923,0.948
949,1.6410766610435266,3.2137868152866242,0.949
950,1.6431947170636547,3.2185963694267516,0.95
951,1.6453250152801147,3.223417487179487,0.951
952,1.6474676447095717,3.228244961538461,0.952
953,1.6496125242221715,3.233060987179487,0.953
954,1.651763580622316,3.2378712435897437,0.954
955,1.6539161497981199,3.242675730769231,0.955
956,1.6560597934558416,3.2474406751592357,0.956
957,1.6582115370439434,3.2522101217948713,0.957
958,1.6603795296002748,3.2569915320512814,0.958
959,1.6625499517792903,3.2617635961538456,0.959
960,1.664724479274337,3.266530583333333,0.96
961,1.6669038191948728,3.2712889166666663,0.961
962,1.6690744866050413,3.2760179872611466,0.962
963,1.6712465519571134,3.280736230769231,0.963
964,1.673435839969508,3.285471487179487,0.964
965,1.6756318012964806,3.2902006410256406,0.965
966,1.6778289999999998,3.294925,0.966
967,1.6800298171118475,3.2996371794871795,0.967
968,1.6822345823313145,3.304344564102564,0.968
969,1.6844443657340862,3.3090458461538463,0.969
970,1.6866597485726627,3.3137375384615386,0.97
971,1.688869853724036,3.318414694267516,0.971
