nm,n,k,wl
900,1.6001506752998154,0.01263472258064516,0.9
901,1.6002926172271021,0.012546416666666664,0.901
902,1.6004299424849524,0.012454749999999997,0.902
903,1.60056354381719,0.012354999999999998,0.903
904,1.600694312352818,0.012251561290322576,0.904
905,1.6008216015226233,0.012143174193548378,0.905
906,1.6009433913792046,0.01202932051282051,0.906
907,1.6010609768033934,0.011912419354838713,0.907
908,1.6011752053204338,0.01179048387096774,0.908
909,1.6012842442334567,0.011664326923076913,0.909
910,1.60138852594473,0.011535503225806437,0.91
911,1.6014889623687998,0.011401309677419353,0.911
912,1.6015846153208508,0.011264384615384614,0.912
913,1.601675044054932,0.011125490322580634,0.913
914,1.6017604459508012,0.010981619354838703,0.914
915,1.6018413313446365,0.01083535483870967,0.915
916,1.6019175296743362,0.010686967741935472,0.916
917,1.601988361691792,0.010535743589743587,0.917
918,1.6020538993631854,0.01038269677419355,0.918
919,1.6021144703644552,0.010227212903225803,0.919
920,1.6021703534947547,0.010069807692307687,0.92
921,1.602221183549442,0.009910999999999996,0.921
922,1.6022667801876225,0.009749709677419355,0.922
923,1.6023075442055688,0.009587438709677418,0.923
924,1.6023429386863426,0.00942467307692307,0.924
925,1.6023726827881424,0.009261211538461532,0.925
926,1.6023980168843133,0.009096225806451603,0.926
927,1.6024188487929856,0.008930354838709662,0.927
928,1.6024344947323492,0.008763903225806441,0.928
929,1.6024455510832498,0.008597096774193543,0.929
930,1.602452,0.00843,0.93
931,1.6024533164202288,0.008263548387096769,0.931
932,1.6024499369996106,0.008097576923076914,0.932
933,1.6024421360014907,0.007932192307692298,0.933
934,1.6024297393594749,0.0077664322580645005,0.934
935,1.6024126729439376,0.007601064516129015,0.935
936,1.6023910749165222,0.007436548387096762,0.936
937,1.60236530536095,0.007273051612903219,0.937
938,1.6023354652738802,0.0071101354838709815,0.938
939,1.602301440872224,0.006948200000000007,0.939
940,1.6022630319462714,0.006788045161290331,0.94
941,1.6022209283074043,0.006628961290322592,0.941
942,1.602175703599953,0.006471541935483877,0.942
943,1.602126269842335,0.006315264516129039,0.943
944,1.6020728010933347,0.0061598838709677525,0.944
