nm,n,k,wl
900,2.305526173518716,6.627990506329114e-05,0.9
901,2.3054327082906307,6.580401898734176e-05,0.901
902,2.3053395779002175,6.53281329113924e-05,0.902
903,2.3052467805652306,6.485224683544303e-05,0.903
904,2.305154314503422,6.437636075949367e-05,0.904
905,2.3050621779325464,6.39004746835443e-05,0.905
906,2.3049703690703582,6.342458860759494e-05,0.906
907,2.3048788861743836,6.303148780487805e-05,0.907
908,2.3047877277172852,6.264758536585365e-05,0.908
909,2.304696892244124,6.226368292682926e-05,0.909
910,2.304606378300019,6.187978048780487e-05,0.91
911,2.3045161844300868,6.149587804878047e-05,0.911
912,2.304426309179444,6.111197560975609e-05,0.912
913,2.3043367510932087,6.07280731707317e-05,0.913
914,2.304247508716497,6.0344170731707306e-05,0.914
915,2.3041585805944274,5.996026829268291e-05,0.915
916,2.3040699652721166,5.9576365853658526e-05,0.916
917,2.303981661294682,5.919246341463413e-05,0.917
918,2.303893667207241,5.880856097560974e-05,0.918
919,2.30380598155491,5.842465853658535e-05,0.919
920,2.3037186028828067,5.804075609756096e-05,0.92
921,2.3036315297360495,5.7656853658536564e-05,0.921
922,2.303544760659754,5.727295121951218e-05,0.922
923,2.3034582941990376,5.6889048780487784e-05,0.923
924,2.303372128899019,5.650514634146339e-05,0.924
925,2.303286263304814,5.6121243902439004e-05,0.925
926,2.30320069596154,5.573734146341461e-05,0.926
927,2.3031154254143145,5.5353439024390216e-05,0.927
928,2.3030304502082544,5.496953658536583e-05,0.928
929,2.302945768888478,5.4585634146341436e-05,0.929
930,2.3028613800001017,5.420173170731704e-05,0.93
931,2.302777282088243,5.3817829268292656e-05,0.931
932,2.302693473698019,5.343392682926826e-05,0.932
933,2.3026099533745468,5.305002439024387e-05,0.933
934,2.302526719662944,5.266612195121948e-05,0.934
935,2.3024437711083277,5.228221951219509e-05,0.935
936,2.3023611062558147,5.1898317073170694e-05,0.936
937,2.3022787236505233,5.151441463414631e-05,0.937
938,2.3021966218375693,5.113051219512196e-05,0.938
939,2.3021147993621156,5.0754505882352944e-05,0.939
940,2.3020332548280558,5.044956470588236e-05,0.94
941,2.3019519870138017,5.014462352941177e-05,0.941
942,2.301870994730029,4.983968235294118e-05,0.942
943,2.3017902767874157,4.953474117647059e-05,0.943
944,2.3017098319966376,4.922980000000001e-05,0.944
945,2.3016296591683725,4.892485882352942e-05,0.945
946,2.3015497571132952,4.861991764705883e-05,0.946
947,2.301470124642085,4.8314976470588244e-05,0.947
948,2.3013907605654156,4.8010035294117654e-05,0.948
949,2.3013116636939674,4.7705094117647064e-05,0.949
950,2.301232832838413,4.7400152941176474e-05,0.95
951,2.3011542668094327,4.709521176470589e-05,0.951
952,2.301075964417702,4.67902705882353e-05,0.952
953,2.3009979244738967,4.648532941176471e-05,0.953
954,2.3009201457886945,4.618038823529412e-05,0.954
955,2.3008426271727718,4.587544705882354e-05,0.955
956,2.3007653674368056,4.557050588235295e-05,0.956
