nm,n,k,wl
900,1,0,0.9
901,1,0,0.901
902,1,0,0.902
903,1,0,0.903
904,1,0,0.904
905,1,0,0.905
906,1,0,0.906
907,1,0,0.907
908,1,0,0.908
909,1,0,0.909
910,1,0,0.91
911,1,0,0.911
912,1,0,0.912
913,1,0,0.913
914,1,0,0.914
915,1,0,0.915
916,1,0,0.916
917,1,0,0.917
918,1,0,0.918
919,1,0,0.919
920,1,0,0.92
921,1,0,0.921
922,1,0,0.922
923,1,0,0.923
924,1,0,0.924
925,1,0,0.925
926,1,0,0.926
927,1,0,0.927
928,1,0,0.928
929,1,0,0.929
930,1,0,0.93
931,1,0,0.931
932,1,0,0.932
933,1,0,0.933
934,1,0,0.934
935,1,0,0.935
936,1,0,0.936
937,1,0,0.937
938,1,0,0.938
939,1,0,0.939
940,1,0,0.94
941,1,0,0.941
942,1,0,0.942
943,1,0,0.943
944,1,0,0.944
945,1,0,0.945
946,1,0,0.946
947,1,0,0.947
948,1,0,0.948
949,1,0,0.949
950,1,0,0.95
951,1,0,0.951
952,1,0,0.952
953,1,0,0.953
954,1,0,0.954
955,1,0,0.955
956,1,0,0.956
957,1,0,0.957
958,1,0,0.958
959,1,0,0.959
960,1,0,0.96
961,1,0,0.961
962,1,0,0.962
963,1,0,0.963
964,1,0,0.964
965,1,0,0.965
966,1,0,0.966
967,1,0,0.967
968,1,0,0.968
969,1,0,0.969
970,1,0,0.97
971,1,0,0.971
972,1,0,0.972
973,1,0,0.973
974,1,0,0.974
975,1,0,0.975
976,1,0,0.976
977,1,0,0.977
978,1,0,0.978
979,1,0,0.979
980,1,0,0.98
981,1,0,0.981
982,1,0,0.982
983,1,0,0.983
984,1,0,0.984
985,1,0,0.985
986,1,0,0.986
987,1,0,0.987
988,1,0,0.988
989,1,0,0.989
990,1,0,0.99
991,1,0,0.991
992,1,0,0.992
993,1,0,0.993
994,1,0,0.994
995,1,0,0.995
996,1,0,0.996
997,1,0,0.997
998,1,0,0.998
999,1,0,0.999
1000,1,0,1.0
1001,1,0,1.001
1002,1,0,1.002
1003,1,0,1.003
1004,1,0,1.004
1005,1,0,1.005
1006,1,0,1.006
1007,1,0,1.007
1008,1,0,1.008
1009,1,0,1.009
1010,1,0,1.01
1011,1,0,1.011
1012,1,0,1.012
1013,1,0,1.013
1014,1,0,1.014
1015,1,0,1.015
1016,1,0,1.016
1017,1,0,1.017
1018,1,0,1.018
1019,1,0,1.019
1020,1,0,1.02
1021,1,0,1.021
1022,1,0,1.022
1023,1,0,1.023
1024,1,0,1.024
1025,1,0,1.025
1026,1,0,1.026
1027,1,0,1.027
1028,1,0,1.028
1029,1,0,1.029
1030,1,0,1.03
1031,1,0,1.031
1032,1,0,1.032
1033,1,0,1.033
1034,1,0,1.034
1035,1,0,1.035
1036,1,0,1.036
1037,1,0,1.037
1038,1,0,1.038
1039,1,0,1.039
1040,1,0,1.04
1041,1,0,1.041
1042,1,0,1.042
1043,1,0,1.043
1044,1,0,1.044
1045,1,0,1.045
1046,1,0,1.046
1047,1,0,1.047
1048,1,0,1.048
1049,1,0,1.049
1050,1,0,1.05
1051,1,0,1.051
1052,1,0,1.052
1053,1,0,1.053
1054,1,0,1.054
1055,1,0,1.055
1056,1,0,1.056
1057,1,0,1.057
1058,1,0,1.058
1059,1,0,1.059
1060,1,0,1.06
1061,1,0,1.061
1062,1,0,1.062
1063,1,0,1.063
1064,1,0,1.064
1065,1,0,1.065
1066,1,0,1.066
1067,1,0,1.067
1068,1,0,1.068
1069,1,0,1.069
1070,1,0,1.07
1071,1,0,1.071
1072,1,0,1.072
1073,1,0,1.073
1074,1,0,1.074
1075,1,0,1.075
1076,1,0,1.076
1077,1,0,1.077
1078,1,0,1.078
1079,1,0,1.079
1080,1,0,1.08
1081,1,0,1.081
1082,1,0,1.082
1083,1,0,1.083
1084,1,0,1.084
1085,1,0,1.085
1086,1,0,1.086
1087,1,0,1.087
1088,1,0,1.088
1089,1,0,1.089
1090,1,0,1.09
1091,1,0,1.091
1092,1,0,1.092
1093,1,0,1.093
1094,1,0,1.094
1095,1,0,1.095
1096,1,0,1.096
1097,1,0,1.097
1098,1,0,1.098
1099,1,0,1.099
1100,1,0,1.1
1101,1,0,1.101
1102,1,0,1.102
1103,1,0,1.103
1104,1,0,1.104
1105,1,0,1.105
1106,1,0,1.106
1107,1,0,1.107
1108,1,0,1.108
1109,1,0,1.109
1110,1,0,1.11
1111,1,0,1.111
1112,1,0,1.112
1113,1,0,1.113
1114,1,0,1.114
1115,1,0,1.115
1116,1,0,1.116
1117,1,0,1.117
1118,1,0,1.118
1119,1,0,1.119
1120,1,0,1.12
1121,1,0,1.121
1122,1,0,1.122
1123,1,0,1.123
1124,1,0,1.124
1125,1,0,1.125
1126,1,0,1.126
1127,1,0,1.127
1128,1,0,1.128
1129,1,0,1.129
1130,1,0,1.13
1131,1,0,1.131
1132,1,0,1.132
1133,1,0,1.133
1134,1,0,1.134
1135,1,0,1.135
1136,1,0,1.136
1137,1,0,1.137
1138,1,0,1.138
1139,1,0,1.139
1140,1,0,1.14
1141,1,0,1.141
1142,1,0,1.142
1143,1,0,1.143
1144,1,0,1.144
1145,1,0,1.145
1146,1,0,1.146
1147,1,0,1.147
1148,1,0,1.148
1149,1,0,1.149
1150,1,0,1.15
1151,1,0,1.151
1152,1,0,1.152
1153,1,0,1.153
1154,1,0,1.154
1155,1,0,1.155
1156,1,0,1.156
1157,1,0,1.157
1158,1,0,1.158
1159,1,0,1.159
1160,1,0,1.16
1161,1,0,1.161
1162,1,0,1.162
1163,1,0,1.163
1164,1,0,1.164
1165,1,0,1.165
1166,1,0,1.166
1167,1,0,1.167
1168,1,0,1.168
1169,1,0,1.169
1170,1,0,1.17
1171,1,0,1.171
1172,1,0,1.172
1173,1,0,1.173
1174,1,0,1.174
1175,1,0,1.175
1176,1,0,1.176
1177,1,0,1.177
1178,1,0,1.178
1179,1,0,1.179
1180,1,0,1.18
1181,1,0,1.181
1182,1,0,1.182
1183,1,0,1.183
1184,1,0,1.184
1185,1,0,1.185
1186,1,0,1.186
1187,1,0,1.187
1188,1,0,1.188
1189,1,0,1.189
1190,1,0,1.19
1191,1,0,1.191
1192,1,0,1.192
1193,1,0,1.193
1194,1,0,1.194
1195,1,0,1.195
1196,1,0,1.196
1197,1,0,1.197
1198,1,0,1.198
1199,1,0,1.199
1200,1,0,1.2
1201,1,0,1.201
1202,1,0,1.202
1203,1,0,1.203
1204,1,0,1.204
1205,1,0,1.205
1206,1,0,1.206
1207,1,0,1.207
1208,1,0,1.208
1209,1,0,1.209
1210,1,0,1.21
1211,1,0,1.211
1212,1,0,1.212
1213,1,0,1.213
1214,1,0,1.214
1215,1,0,1.215
1216,1,0,1.216
1217,1,0,1.217
1218,1,0,1.218
1219,1,0,1.219
1220,1,0,1.22
1221,1,0,1.221
1222,1,0,1.222
1223,1,0,1.223
1224,1,0,1.224
1225,1,0,1.225
1226,1,0,1.226
1227,1,0,1.227
1228,1,0,1.228
1229,1,0,1.229
1230,1,0,1.23
1231,1,0,1.231
1232,1,0,1.232
1233,1,0,1.233
1234,1,0,1.234
1235,1,0,1.235
1236,1,0,1.236
1237,1,0,1.237
1238,1,0,1.238
1239,1,0,1.239
1240,1,0,1.24
1241,1,0,1.241
1242,1,0,1.242
1243,1,0,1.243
1244,1,0,1.244
1245,1,0,1.245
1246,1,0,1.246
1247,1,0,1.247
1248,1,0,1.248
1249,1,0,1.249
1250,1,0,1.25
1251,1,0,1.251
1252,1,0,1.252
1253,1,0,1.253
1254,1,0,1.254
1255,1,0,1.255
1256,1,0,1.256
1257,1,0,1.257
1258,1,0,1.258
1259,1,0,1.259
1260,1,0,1.26
1261,1,0,1.261
1262,1,0,1.262
1263,1,0,1.263
1264,1,0,1.264
1265,1,0,1.265
1266,1,0,1.266
1267,1,0,1.267
1268,1,0,1.268
1269,1,0,1.269
1270,1,0,1.27
1271,1,0,1.271
1272,1,0,1.272
1273,1,0,1.273
1274,1,0,1.274
1275,1,0,1.275
1276,1,0,1.276
1277,1,0,1.277
1278,1,0,1.278
1279,1,0,1.279
1280,1,0,1.28
1281,1,0,1.281
1282,1,0,1.282
1283,1,0,1.283
1284,1,0,1.284
1285,1,0,1.285
1286,1,0,1.286
1287,1,0,1.287
1288,1,0,1.288
1289,1,0,1.289
1290,1,0,1.29
1291,1,0,1.291
1292,1,0,1.292
1293,1,0,1.293
1294,1,0,1.294
1295,1,0,1.295
1296,1,0,1.296
1297,1,0,1.297
1298,1,0,1.298
1299,1,0,1.299
1300,1,0,1.3
1301,1,0,1.301
1302,1,0,1.302
1303,1,0,1.303
1304,1,0,1.304
1305,1,0,1.305
1306,1,0,1.306
1307,1,0,1.307
1308,1,0,1.308
1309,1,0,1.309
1310,1,0,1.31
1311,1,0,1.311
1312,1,0,1.312
1313,1,0,1.313
1314,1,0,1.314
1315,1,0,1.315
1316,1,0,1.316
1317,1,0,1.317
1318,1,0,1.318
1319,1,0,1.319
1320,1,0,1.32
1321,1,0,1.321
1322,1,0,1.322
1323,1,0,1.323
1324,1,0,1.324
1325,1,0,1.325
1326,1,0,1.326
1327,1,0,1.327
1328,1,0,1.328
1329,1,0,1.329
1330,1,0,1.33
1331,1,0,1.331
1332,1,0,1.332
1333,1,0,1.333
1334,1,0,1.334
1335,1,0,1.335
1336,1,0,1.336
1337,1,0,1.337
1338,1,0,1.338
1339,1,0,1.339
1340,1,0,1.34
1341,1,0,1.341
1342,1,0,1.342
1343,1,0,1.343
1344,1,0,1.344
1345,1,0,1.345
1346,1,0,1.346
1347,1,0,1.347
1348,1,0,1.348
1349,1,0,1.349
1350,1,0,1.35
1351,1,0,1.351
1352,1,0,1.352
1353,1,0,1.353
1354,1,0,1.354
1355,1,0,1.355
1356,1,0,1.356
1357,1,0,1.357
1358,1,0,1.358
1359,1,0,1.359
1360,1,0,1.36
1361,1,0,1.361
1362,1,0,1.362
1363,1,0,1.363
1364,1,0,1.364
1365,1,0,1.365
1366,1,0,1.366
1367,1,0,1.367
1368,1,0,1.368
1369,1,0,1.369
1370,1,0,1.37
1371,1,0,1.371
1372,1,0,1.372
1373,1,0,1.373
1374,1,0,1.374
1375,1,0,1.375
1376,1,0,1.376
1377,1,0,1.377
1378,1,0,1.378
1379,1,0,1.379
1380,1,0,1.38
1381,1,0,1.381
1382,1,0,1.382
1383,1,0,1.383
1384,1,0,1.384
1385,1,0,1.385
1386,1,0,1.386
1387,1,0,1.387
1388,1,0,1.388
1389,1,0,1.389
1390,1,0,1.39
1391,1,0,1.391
1392,1,0,1.392
1393,1,0,1.393
1394,1,0,1.394
1395,1,0,1.395
1396,1,0,1.396
1397,1,0,1.397
1398,1,0,1.398
1399,1,0,1.399
1400,1,0,1.4
1401,1,0,1.401
1402,1,0,1.402
1403,1,0,1.403
1404,1,0,1.404
1405,1,0,1.405
1406,1,0,1.406
1407,1,0,1.407
1408,1,0,1.408
1409,1,0,1.409
1410,1,0,1.41
1411,1,0,1.411
1412,1,0,1.412
1413,1,0,1.413
1414,1,0,1.414
1415,1,0,1.415
1416,1,0,1.416
1417,1,0,1.417
1418,1,0,1.418
1419,1,0,1.419
1420,1,0,1.42
1421,1,0,1.421
1422,1,0,1.422
1423,1,0,1.423
1424,1,0,1.424
1425,1,0,1.425
1426,1,0,1.426
1427,1,0,1.427
1428,1,0,1.428
1429,1,0,1.429
1430,1,0,1.43
1431,1,0,1.431
1432,1,0,1.432
1433,1,0,1.433
1434,1,0,1.434
1435,1,0,1.435
1436,1,0,1.436
1437,1,0,1.437
1438,1,0,1.438
1439,1,0,1.439
1440,1,0,1.44
1441,1,0,1.441
1442,1,0,1.442
1443,1,0,1.443
1444,1,0,1.444
1445,1,0,1.445
1446,1,0,1.446
1447,1,0,1.447
1448,1,0,1.448
1449,1,0,1.449
1450,1,0,1.45
1451,1,0,1.451
1452,1,0,1.452
1453,1,0,1.453
1454,1,0,1.454
1455,1,0,1.455
1456,1,0,1.456
1457,1,0,1.457
1458,1,0,1.458
1459,1,0,1.459
1460,1,0,1.46
1461,1,0,1.461
1462,1,0,1.462
1463,1,0,1.463
1464,1,0,1.464
1465,1,0,1.465
1466,1,0,1.466
1467,1,0,1.467
1468,1,0,1.468
1469,1,0,1.469
1470,1,0,1.47
1471,1,0,1.471
1472,1,0,1.472
1473,1,0,1.473
1474,1,0,1.474
1475,1,0,1.475
1476,1,0,1.476
1477,1,0,1.477
1478,1,0,1.478
1479,1,0,1.479
1480,1,0,1.48
1481,1,0,1.481
1482,1,0,1.482
1483,1,0,1.483
1484,1,0,1.484
1485,1,0,1.485
1486,1,0,1.486
1487,1,0,1.487
1488,1,0,1.488
1489,1,0,1.489
1490,1,0,1.49
1491,1,0,1.491
1492,1,0,1.492
1493,1,0,1.493
1494,1,0,1.494
1495,1,0,1.495
1496,1,0,1.496
1497,1,0,1.497
1498,1,0,1.498
1499,1,0,1.499
1500,1,0,1.5
1501,1,0,1.501
1502,1,0,1.502
1503,1,0,1.503
1504,1,0,1.504
1505,1,0,1.505
1506,1,0,1.506
1507,1,0,1.507
1508,1,0,1.508
1509,1,0,1.509
1510,1,0,1.51
1511,1,0,1.511
1512,1,0,1.512
1513,1,0,1.513
1514,1,0,1.514
1515,1,0,1.515
1516,1,0,1.516
1517,1,0,1.517
1518,1,0,1.518
1519,1,0,1.519
1520,1,0,1.52
1521,1,0,1.521
1522,1,0,1.522
1523,1,0,1.523
1524,1,0,1.524
1525,1,0,1.525
1526,1,0,1.526
1527,1,0,1.527
1528,1,0,1.528
1529,1,0,1.529
1530,1,0,1.53
1531,1,0,1.531
1532,1,0,1.532
1533,1,0,1.533
1534,1,0,1.534
1535,1,0,1.535
1536,1,0,1.536
1537,1,0,1.537
1538,1,0,1.538
1539,1,0,1.539
1540,1,0,1.54
1541,1,0,1.541
1542,1,0,1.542
1543,1,0,1.543
1544,1,0,1.544
1545,1,0,1.545
1546,1,0,1.546
1547,1,0,1.547
1548,1,0,1.548
1549,1,0,1.549
1550,1,0,1.55
1551,1,0,1.551
1552,1,0,1.552
1553,1,0,1.553
1554,1,0,1.554
1555,1,0,1.555
1556,1,0,1.556
1557,1,0,1.557
1558,1,0,1.558
1559,1,0,1.559
1560,1,0,1.56
1561,1,0,1.561
1562,1,0,1.562
1563,1,0,1.563
1564,1,0,1.564
1565,1,0,1.565
1566,1,0,1.566
1567,1,0,1.567
1568,1,0,1.568
1569,1,0,1.569
1570,1,0,1.57
1571,1,0,1.571
1572,1,0,1.572
1573,1,0,1.573
1574,1,0,1.574
1575,1,0,1.575
1576,1,0,1.576
1577,1,0,1.577
1578,1,0,1.578
1579,1,0,1.579
1580,1,0,1.58
1581,1,0,1.581
1582,1,0,1.582
1583,1,0,1.583
1584,1,0,1.584
1585,1,0,1.585
1586,1,0,1.586
1587,1,0,1.587
1588,1,0,1.588
1589,1,0,1.589
1590,1,0,1.59
1591,1,0,1.591
1592,1,0,1.592
1593,1,0,1.593
1594,1,0,1.594
1595,1,0,1.595
1596,1,0,1.596
1597,1,0,1.597
1598,1,0,1.598
1599,1,0,1.599
1600,1,0,1.6
1601,1,0,1.601
1602,1,0,1.602
1603,1,0,1.603
1604,1,0,1.604
1605,1,0,1.605
1606,1,0,1.606
1607,1,0,1.607
1608,1,0,1.608
1609,1,0,1.609
1610,1,0,1.61
1611,1,0,1.611
1612,1,0,1.612
1613,1,0,1.613
1614,1,0,1.614
1615,1,0,1.615
1616,1,0,1.616
1617,1,0,1.617
1618,1,0,1.618
1619,1,0,1.619
1620,1,0,1.62
1621,1,0,1.621
1622,1,0,1.622
1623,1,0,1.623
1624,1,0,1.624
1625,1,0,1.625
1626,1,0,1.626
1627,1,0,1.627
1628,1,0,1.628
1629,1,0,1.629
1630,1,0,1.63
1631,1,0,1.631
1632,1,0,1.632
1633,1,0,1.633
1634,1,0,1.634
1635,1,0,1.635
1636,1,0,1.636
1637,1,0,1.637
1638,1,0,1.638
1639,1,0,1.639
1640,1,0,1.64
1641,1,0,1.641
1642,1,0,1.642
1643,1,0,1.643
1644,1,0,1.644
1645,1,0,1.645
1646,1,0,1.646
1647,1,0,1.647
1648,1,0,1.648
1649,1,0,1.649
1650,1,0,1.65
1651,1,0,1.651
1652,1,0,1.652
1653,1,0,1.653
1654,1,0,1.654
1655,1,0,1.655
1656,1,0,1.656
1657,1,0,1.657
1658,1,0,1.658
1659,1,0,1.659
1660,1,0,1.66
1661,1,0,1.661
1662,1,0,1.662
1663,1,0,1.663
1664,1,0,1.664
1665,1,0,1.665
1666,1,0,1.666
1667,1,0,1.667
1668,1,0,1.668
1669,1,0,1.669
1670,1,0,1.67
1671,1,0,1.671
1672,1,0,1.672
1673,1,0,1.673
1674,1,0,1.674
1675,1,0,1.675
1676,1,0,1.676
1677,1,0,1.677
1678,1,0,1.678
1679,1,0,1.679
1680,1,0,1.68
1681,1,0,1.681
1682,1,0,1.682
1683,1,0,1.683
1684,1,0,1.684
1685,1,0,1.685
1686,1,0,1.686
1687,1,0,1.687
1688,1,0,1.688
1689,1,0,1.689
1690,1,0,1.69
1691,1,0,1.691
1692,1,0,1.692
1693,1,0,1.693
1694,1,0,1.694
1695,1,0,1.695
1696,1,0,1.696
1697,1,0,1.697
1698,1,0,1.698
1699,1,0,1.699
1700,1,0,1.7
