wl,n
0.40,1.61027
0.41,1.60595
0.42,1.60212
0.43,1.59847
0.44,1.59528
0.45,1.59247
0.46,1.58988
0.47,1.58716
0.48,1.58496
0.49,1.58304
0.50,1.58111
0.51,1.57927
0.52,1.57769
0.53,1.57630
0.54,1.57470
0.55,1.57333
0.56,1.57194
0.57,1.57086
0.58,1.56993
0.59,1.56904
0.60,1.56811
0.61,1.56696
0.62,1.56627
0.63,1.56527
0.64,1.56478
0.65,1.56368
0.66,1.56317
0.67,1.56225
0.68,1.56199
0.69,1.56131
0.70,1.56052
0.71,1.56013
0.72,1.55933
0.73,1.55868
0.74,1.55854
0.75,1.55817
0.76,1.55795
0.77,1.55723
0.78,1.55583
0.79,1.55630
0.80,1.55533
0.81,1.55526
0.82,1.55541
0.83,1.55505
0.84,1.55462
0.85,1.55439
0.86,1.55405
0.87,1.55374
0.88,1.55330
0.89,1.55313
0.90,1.55288
0.91,1.55265
0.92,1.55233
0.93,1.55218
0.94,1.55185
0.95,1.55163
0.96,1.55154
0.97,1.55126
0.98,1.55096
0.99,1.55074
1.00,1.55073
1.01,1.55055
1.02,1.55051
1.03,1.54909
1.04,1.54870
1.05,1.54866
1.06,1.54817
1.07,1.54801
1.08,1.54785
1.09,1.54786
1.10,1.54759
1.11,1.54701
1.12,1.54718
1.13,1.54732
1.14,1.54683
1.15,1.54682
1.16,1.54667
1.17,1.54670
1.18,1.54643
1.19,1.54625
1.20,1.54635
1.21,1.54546
1.22,1.54564
1.23,1.54575
1.24,1.54566
1.25,1.54493
1.26,1.54539
1.27,1.54541
1.28,1.54486
1.29,1.54418
1.30,1.54486
1.31,1.54437
1.32,1.54434
1.33,1.54438
1.34,1.54445
1.35,1.54489
1.36,1.54397
1.37,1.54399
1.38,1.54403
1.39,1.54421
1.40,1.54335
1.41,1.54360
1.42,1.54367
1.43,1.54349
1.44,1.54380
1.45,1.54297
1.46,1.54245
1.47,1.54268
1.48,1.54327
1.49,1.54355
1.50,1.54294
1.51,1.54210
1.52,1.54268
1.53,1.54223
1.54,1.54211
1.55,1.54261
1.56,1.54214
1.57,1.54238
1.58,1.54202
1.59,1.54144
1.60,1.54167
1.61,1.54219
1.62,1.54238
1.63,1.54210
1.64,1.54127
1.65,1.54081
1.66,1.54155
1.67,1.54127
1.68,1.54210
1.69,1.54258
1.70,1.54123
1.71,1.54143
1.72,1.54138
1.73,1.54115
1.74,1.54141
1.75,1.54083
1.76,1.54126
1.77,1.54061
1.78,1.53999
1.79,1.54181
1.80,1.54077
1.81,1.54049
1.82,1.54054
1.83,1.53862
1.84,1.54038
1.85,1.54067
1.86,1.54099
1.87,1.54014
1.88,1.54026
1.89,1.54093
1.90,1.54183
1.91,1.53869
1.92,1.54006
1.93,1.54081
1.94,1.53976
1.95,1.54076
1.96,1.53965
1.97,1.54023
1.98,1.53927
1.99,1.54049
2.00,1.53997
2.0097,1.65443
2.0190,1.64802
2.0285,1.63699
2.0381,1.62743
2.0478,1.61773
2.0575,1.60303
2.0673,1.58379
2.0773,1.56728
2.0873,1.56196
2.0975,1.55855
2.1077,1.54842
2.1180,1.53989
2.1285,1.53806
2.1390,1.53917
2.1496,1.53925
2.1568,1.53894
2.1676,1.53840
2.1785,1.53891
2.1896,1.54079
2.1970,1.54276
2.2082,1.54352
2.2196,1.54059
2.2272,1.53845
2.2387,1.53663
2.2465,1.53643
2.2582,1.53694
2.2661,1.53773
2.2781,1.53796
2.2861,1.53668
2.2983,1.53520
2.3065,1.53534
2.3188,1.53621
2.3272,1.53635
2.3398,1.53593
2.3482,1.53596
2.3568,1.53637
2.3697,1.53614
2.3784,1.53542
2.3872,1.53454
2.3960,1.53434
2.4093,1.53575
2.4183,1.53681
2.4274,1.53720
2.4365,1.53685
2.4457,1.53625
2.4596,1.53576
2.4690,1.53571
2.4784,1.53500
2.4880,1.53425
2.4975,1.53416
2.5072,1.53478
2.5169,1.53569
2.5268,1.53638
2.5366,1.53644
2.5466,1.53569
2.5567,1.53475
2.5668,1.53441
2.5770,1.53488
2.5873,1.53559
2.5976,1.53532
2.6081,1.53478
2.6186,1.53502
2.6293,1.53507
2.6400,1.53435
2.6454,1.53402
2.6562,1.53311
2.6671,1.53237
2.6782,1.53208
2.6893,1.53221
2.6949,1.53255
2.7061,1.53328
2.7175,1.53404
2.7289,1.53389
2.7347,1.53390
2.7462,1.53456
2.7579,1.53437
2.7697,1.53384
2.7756,1.53364
2.7876,1.53338
2.7996,1.53312
2.8057,1.53317
2.8179,1.53334
2.8240,1.53352
2.8364,1.53372
2.8489,1.53293
2.8551,1.53208
2.8678,1.53038
2.8741,1.53001
2.8869,1.53113
2.8998,1.53121
2.9063,1.53115
2.9194,1.53249
2.9260,1.53291
2.9393,1.53218
2.9460,1.53184
2.9594,1.53170
2.9662,1.53175
2.9798,1.53164
2.9867,1.53148
2.9936,1.53164
3.0075,1.53209
3.0145,1.53188
3.0286,1.53105
3.0357,1.53085
3.0499,1.53084
3.0571,1.53114
3.0644,1.53136
3.0789,1.53100
3.0863,1.53090
3.0936,1.53110
3.1085,1.53072
3.1159,1.53033
3.1234,1.53030
3.1386,1.52998
3.1462,1.52963
3.1538,1.52944
3.1693,1.52859
3.1770,1.52841
3.1848,1.52850
3.1927,1.52851
3.2085,1.52784
3.2164,1.52743
3.2244,1.52720
3.2325,1.52714
3.2487,1.52774
