wl,n
0.40,1.56135
0.41,1.55983
0.42,1.55812
0.43,1.55625
0.44,1.55491
0.45,1.55388
0.46,1.55236
0.47,1.55145
0.48,1.55010
0.49,1.54940
0.50,1.54850
0.51,1.54761
0.52,1.54692
0.53,1.54626
0.54,1.54533
0.55,1.54493
0.56,1.54389
0.57,1.54325
0.58,1.54275
0.59,1.54238
0.60,1.54137
0.61,1.54114
0.62,1.54073
0.63,1.54004
0.64,1.53987
0.65,1.53987
0.66,1.53946
0.67,1.53880
0.68,1.53812
0.69,1.53791
0.70,1.53754
0.71,1.53727
0.72,1.53732
0.73,1.53674
0.74,1.53593
0.75,1.53544
0.76,1.53569
0.77,1.53528
0.78,1.53526
0.79,1.53468
0.80,1.53569
0.81,1.53552
0.82,1.53471
0.83,1.53519
0.84,1.53362
0.85,1.53490
0.86,1.53466
0.87,1.53446
0.88,1.53413
0.89,1.53407
0.90,1.53383
0.91,1.53361
0.92,1.53341
0.93,1.53331
0.94,1.53305
0.95,1.53287
0.96,1.53283
0.97,1.53264
0.98,1.53235
0.99,1.53245
1.00,1.53235
1.01,1.53230
1.02,1.53238
1.03,1.53013
1.04,1.53015
1.05,1.53012
1.06,1.52952
1.07,1.52961
1.08,1.53008
1.09,1.53006
1.10,1.52963
1.11,1.53011
1.12,1.52983
1.13,1.52927
1.14,1.52895
1.15,1.52836
1.16,1.52910
1.17,1.52931
1.18,1.52946
1.19,1.52887
1.20,1.52875
1.21,1.52869
1.22,1.52812
1.23,1.52856
1.24,1.52859
1.25,1.52839
1.26,1.52852
1.27,1.52884
1.28,1.52839
1.29,1.52815
1.30,1.52768
1.31,1.52771
1.32,1.52747
1.33,1.52731
1.34,1.52706
1.35,1.52728
1.36,1.52762
1.37,1.52788
1.38,1.52732
1.39,1.52688
1.40,1.52748
1.41,1.52715
1.42,1.52708
1.43,1.52738
1.44,1.52688
1.45,1.52639
1.46,1.52657
1.47,1.52672
1.48,1.52733
1.49,1.52660
1.50,1.52642
1.51,1.52694
1.52,1.52618
1.53,1.52499
1.54,1.52599
1.55,1.52688
1.56,1.52669
1.57,1.52624
1.58,1.52656
1.59,1.52523
1.60,1.52653
1.61,1.52582
1.62,1.52614
1.63,1.52553
1.64,1.52614
1.65,1.52679
1.66,1.52566
1.67,1.52602
1.68,1.52498
1.69,1.52714
1.70,1.52666
1.71,1.52660
1.72,1.52844
1.73,1.52769
1.74,1.52651
1.75,1.52744
1.76,1.52591
1.77,1.52499
1.78,1.52617
1.79,1.52766
1.80,1.52719
1.81,1.52642
1.82,1.52770
1.83,1.52657
1.84,1.52520
1.85,1.52739
1.86,1.52662
1.87,1.52800
1.88,1.52753
1.89,1.52658
1.90,1.52628
1.91,1.52623
1.92,1.52441
1.93,1.52594
1.94,1.52659
1.95,1.52716
1.96,1.52698
1.97,1.52855
1.98,1.52828
1.99,1.52599
2.00,1.52604
2.0097,1.52336
2.0190,1.52418
2.0285,1.52426
2.0381,1.52308
2.0478,1.52121
2.0575,1.52058
2.0673,1.52115
2.0773,1.52145
2.0873,1.52268
2.0975,1.52474
2.1077,1.52548
2.1180,1.52618
2.1285,1.52517
2.1390,1.52390
2.1496,1.52528
2.1568,1.52611
2.1676,1.52584
2.1785,1.52529
2.1896,1.52568
2.1970,1.52606
2.2082,1.52622
2.2196,1.52563
2.2272,1.52565
2.2387,1.52525
2.2465,1.52461
2.2582,1.52440
2.2661,1.52470
2.2781,1.52484
2.2861,1.52438
2.2983,1.52525
2.3065,1.52630
2.3188,1.52594
2.3272,1.52499
2.3398,1.52531
2.3482,1.52526
2.3568,1.52485
2.3697,1.52517
2.3784,1.52617
2.3872,1.52689
2.3960,1.52643
2.4093,1.52602
2.4183,1.52635
2.4274,1.52578
2.4365,1.52471
2.4457,1.52452
2.4596,1.52546
2.4690,1.52599
2.4784,1.52627
2.4880,1.52682
2.4975,1.52702
2.5072,1.52719
2.5169,1.52674
2.5268,1.52573
2.5366,1.52486
2.5466,1.52510
2.5567,1.52610
2.5668,1.52693
2.5770,1.52649
2.5873,1.52591
2.5976,1.52561
2.6081,1.52494
2.6186,1.52403
2.6293,1.52353
2.6400,1.52412
2.6454,1.52478
