PMMA,wavelength,n,k,,MS,wavelength,n,k,,PE,wavelength,n,k,,PETG,wavelength,n,k,,PBT,wavelength,n,k,,POM,wavelength,n,k,,PFA,wavelength,n,k,,ABS,wavelength,n,k,,SAN,wavelength,n,k,, cauchy fitted,,PMMA,MS,PE,PETG,PBT,POM,PFA,ABS,SAN,
,0.21,1.64698,0.02129,,,0.21,1.87056,0.23293,,,0.21,1.63962,0.05641,,,0.21,1.78271,0.18535,,,0.21,1.63914,0.32998,,,0.21,1.53556,0.10348,,,0.21,1.46423,0.0272,,,0.21,1.73826,0.42504,,,0.21,2.0968,0.4858,,,wavelength,n,n,n,n,n,n,n,n,n,
,0.211,1.64335,0.02082,,,0.211,1.87454,0.22394,,,0.211,1.63767,0.05593,,,0.211,1.76472,0.17199,,,0.211,1.62421,0.31506,,,0.211,1.53437,0.1032,,,0.211,1.46349,0.02698,,,0.211,1.75305,0.41311,,,0.211,2.10471,0.46776,,,0.3,1.52981,1.618161,1.56197,1.712338,1.742818,1.49197,1.429169,1.640922,1.694471,
,0.212,1.63977,0.02035,,,0.212,1.87838,0.21502,,,0.212,1.63575,0.05546,,,0.212,1.74623,0.16086,,,0.212,1.60935,0.30027,,,0.212,1.53319,0.10291,,,0.212,1.46275,0.02676,,,0.212,1.76748,0.40141,,,0.212,2.11176,0.44883,,,0.301,1.529378,1.61734,1.56152,1.710435,1.7415,1.49183,1.428968,1.639867,1.693273,
,0.213,1.63625,0.01988,,,0.213,1.88192,0.20615,,,0.213,1.63385,0.05499,,,0.213,1.72746,0.15186,,,0.213,1.59453,0.28587,,,0.213,1.53203,0.10264,,,0.213,1.46202,0.02653,,,0.213,1.78132,0.38988,,,0.213,2.11783,0.42916,,,0.302,1.528951,1.616529,1.56107,1.708561,1.740204,1.4917,1.428769,1.638827,1.69209,
,0.214,1.63279,0.0194,,,0.214,1.88504,0.19729,,,0.214,1.63198,0.05453,,,0.214,1.70859,0.14491,,,0.214,1.57973,0.27211,,,0.214,1.53089,0.10236,,,0.214,1.4613,0.02632,,,0.214,1.79436,0.37843,,,0.214,2.12287,0.4089,,,0.303,1.528529,1.615729,1.56063,1.706715,1.738929,1.49157,1.428573,1.637804,1.690924,
,0.215,1.62943,0.01892,,,0.215,1.88761,0.1884,,,0.215,1.63014,0.05408,,,0.215,1.68978,0.13993,,,0.215,1.56493,0.25924,,,0.215,1.52976,0.10209,,,0.215,1.46058,0.0261,,,0.215,1.80643,0.367,,,0.215,2.12682,0.38818,,,0.304,1.528112,1.614938,1.56019,1.704897,1.737674,1.49144,1.42838,1.636796,1.689773,
,0.216,1.62616,0.01843,,,0.216,1.88951,0.17944,,,0.216,1.62835,0.05364,,,0.216,1.67116,0.13686,,,0.216,1.55007,0.24752,,,0.216,1.52866,0.10183,,,0.216,1.45987,0.02588,,,0.216,1.81735,0.35551,,,0.216,2.12965,0.36711,,,0.305,1.527699,1.614158,1.55976,1.703107,1.73644,1.49132,1.428188,1.635803,1.688637,
,0.217,1.623,0.01794,,,0.217,1.89064,0.17038,,,0.217,1.6266,0.05322,,,0.217,1.65286,0.13562,,,0.217,1.53513,0.23719,,,0.217,1.52758,0.10158,,,0.217,1.45917,0.02567,,,0.217,1.82697,0.34387,,,0.217,2.13134,0.34579,,,0.306,1.527292,1.613388,1.55933,1.701343,1.735226,1.49121,1.428,1.634825,1.687516,
,0.218,1.61998,0.01743,,,0.218,1.89088,0.16118,,,0.218,1.6249,0.0528,,,0.218,1.63501,0.13616,,,0.218,1.52005,0.22848,,,0.218,1.52653,0.10134,,,0.218,1.45848,0.02546,,,0.218,1.83515,0.33202,,,0.218,2.13187,0.32432,,,0.307,1.526889,1.612628,1.55892,1.699605,1.734032,1.4911,1.427813,1.633861,1.686411,
,0.219,1.61708,0.01691,,,0.219,1.89015,0.1518,,,0.219,1.62325,0.05241,,,0.219,1.6177,0.13841,,,0.219,1.5048,0.22163,,,0.219,1.52551,0.1011,,,0.219,1.4578,0.02525,,,0.219,1.84175,0.31988,,,0.219,2.13123,0.30277,,,0.308,1.52649,1.611877,1.5585,1.697894,1.732856,1.491,1.427629,1.632912,1.685319,
