wl,n
0.40,1.63389
0.41,1.62840
0.42,1.62320
0.43,1.62005
0.44,1.61707
0.45,1.61465
0.46,1.61201
0.47,1.60943
0.48,1.60687
0.49,1.60478
0.50,1.60251
0.51,1.60077
0.52,1.59934
0.53,1.59764
0.54,1.59623
0.55,1.59509
0.56,1.59344
0.57,1.59261
0.58,1.59082
0.59,1.59004
0.60,1.58873
0.61,1.58829
0.62,1.58727
0.63,1.58643
0.64,1.58577
0.65,1.58465
0.66,1.58430
0.67,1.58373
0.68,1.58261
0.69,1.58213
0.70,1.58210
0.71,1.58141
0.72,1.58121
0.73,1.58070
0.74,1.57989
0.75,1.57935
0.76,1.57908
0.77,1.57824
0.78,1.57701
0.79,1.57772
0.80,1.57645
0.81,1.57623
0.82,1.57659
0.83,1.57667
0.84,1.57567
0.85,1.57589
0.86,1.57555
0.87,1.57515
0.88,1.57494
0.89,1.57455
0.90,1.57426
0.91,1.57389
0.92,1.57364
0.93,1.57344
0.94,1.57314
0.95,1.57290
0.96,1.57268
0.97,1.57244
0.98,1.57214
0.99,1.57191
1.00,1.57178
1.01,1.57161
1.02,1.57148
1.03,1.56957
1.04,1.56916
1.05,1.56937
1.06,1.56886
1.07,1.56861
1.08,1.56899
1.09,1.56870
1.10,1.56865
1.11,1.56830
1.12,1.56795
1.13,1.56744
1.14,1.56749
1.15,1.56721
1.16,1.56693
1.17,1.56699
1.18,1.56718
1.19,1.56690
1.20,1.56685
1.21,1.56657
1.22,1.56695
1.23,1.56620
1.24,1.56629
1.25,1.56627
1.26,1.56630
1.27,1.56655
1.28,1.56617
1.29,1.56578
1.30,1.56585
1.31,1.56526
1.32,1.56493
1.33,1.56492
1.34,1.56505
1.35,1.56392
1.36,1.56431
1.37,1.56490
1.38,1.56461
1.39,1.56421
1.40,1.56445
1.41,1.56412
1.42,1.56444
1.43,1.56402
1.44,1.56424
1.45,1.56437
1.46,1.56390
1.47,1.56424
1.48,1.56429
1.49,1.56369
1.50,1.56382
1.51,1.56323
1.52,1.56322
1.53,1.56359
1.54,1.56327
1.55,1.56330
1.56,1.56296
1.57,1.56293
1.58,1.56268
1.59,1.56185
1.60,1.56301
1.61,1.56208
1.62,1.56231
1.63,1.56294
1.64,1.56223
1.65,1.56066
1.66,1.56120
