nm,n,k,wl
900,1.57426,4.58e-07,0.9
901,1.5742265928405523,4.664e-07,0.901
902,1.5741910945683466,4.748e-07,0.902
903,1.5741539899472885,4.832e-07,0.903
904,1.5741157637412824,4.916e-07,0.904
905,1.5740769007142332,5e-07,0.905
906,1.5740378856300448,5.084e-07,0.906
907,1.5739992032526229,5.168e-07,0.907
908,1.5739613383458713,5.252e-07,0.908
909,1.5739247756736958,5.336e-07,0.909
910,1.57389,5.42e-07,0.91
911,1.5738573889124505,5.414999999999999e-07,0.911
912,1.5738268912937594,5.41e-07,0.912
913,1.573798348850401,5.405e-07,0.913
914,1.5737716032888487,5.4e-07,0.914
915,1.5737464963155765,5.395e-07,0.915
916,1.5737228696370582,5.389999999999999e-07,0.916
917,1.5737005649597677,5.385e-07,0.917
918,1.5736794239901783,5.38e-07,0.918
919,1.573659288434765,5.375e-07,0.919
920,1.5736399999999997,5.37e-07,0.92
921,1.5736213815096458,5.227e-07,0.921
922,1.5736031802566146,5.084e-07,0.922
923,1.5735851246511061,4.941e-07,0.923
924,1.5735669431033212,4.798e-07,0.924
925,1.573548364023459,4.6550000000000003e-07,0.925
926,1.5735291158217206,4.512e-07,0.926
927,1.5735089269083051,4.369e-07,0.927
928,1.5734875256934135,4.226e-07,0.928
929,1.5734646405872448,4.0829999999999997e-07,0.929
930,1.5734399999999997,3.94e-07,0.93
931,1.5734134350489661,4.0050000000000007e-07,0.931
932,1.5733851876797822,4.0700000000000014e-07,0.932
933,1.5733556025451731,4.1350000000000025e-07,0.933
934,1.573325024297866,4.200000000000003e-07,0.934
935,1.5732937975905859,4.265000000000004e-07,0.935
936,1.5732622670760588,4.3300000000000045e-07,0.936
937,1.5732307774070107,4.395000000000005e-07,0.937
938,1.5731996732361675,4.459999999999999e-07,0.938
939,1.5731692992162551,4.5249999999999996e-07,0.939
940,1.5731399999999998,4.59e-07,0.94
941,1.5731120382944885,4.6150000000000005e-07,0.941
942,1.5730853490242565,4.64e-07,0.942
943,1.5730597851681993,4.665e-07,0.943
944,1.573035199705214,4.6900000000000003e-07,0.944
