nm,n,k,wl
900,1.5190000000000001,0.01603,0.9
901,1.519,0.01602,0.901
902,1.5190000000000001,0.01601,0.902
903,1.51899,0.016,0.903
904,1.51899,0.01599,0.904
905,1.51899,0.01597,0.905
906,1.51899,0.01596,0.906
907,1.5189800000000002,0.01595,0.907
908,1.51898,0.01594,0.908
909,1.51898,0.01592,0.909
910,1.51897,0.01591,0.91
911,1.5189700000000002,0.0159,0.911
912,1.5189700000000002,0.01589,0.912
913,1.5189600000000003,0.01588,0.913
914,1.5189600000000003,0.01586,0.914
915,1.5189600000000003,0.01585,0.915
916,1.51895,0.01584,0.916
917,1.5189500000000005,0.01583,0.917
918,1.5189500000000002,0.01582,0.918
919,1.5189500000000002,0.0158,0.919
920,1.5189400000000002,0.01579,0.92
921,1.5189400000000002,0.01578,0.921
922,1.5189400000000002,0.01577,0.922
923,1.5189300000000001,0.01576,0.923
924,1.5189300000000001,0.01574,0.924
925,1.5189300000000001,0.01573,0.925
926,1.51892,0.01572,0.926
927,1.5189200000000003,0.01571,0.927
928,1.5189200000000003,0.0157,0.928
929,1.51891,0.01568,0.929
930,1.51891,0.01567,0.93
931,1.5189100000000002,0.01566,0.931
932,1.5189,0.01565,0.932
933,1.5189,0.01564,0.933
934,1.5189,0.01562,0.934
935,1.51889,0.01561,0.935
936,1.5188899999999999,0.0156,0.936
937,1.51889,0.01559,0.937
938,1.5188799999999998,0.01558,0.938
939,1.51888,0.01556,0.939
940,1.5188799999999998,0.01555,0.94
941,1.51887,0.01554,0.941
942,1.51887,0.01553,0.942
943,1.5188699999999997,0.01552,0.943
944,1.51886,0.01551,0.944
945,1.51886,0.01549,0.945
946,1.51886,0.01548,0.946
947,1.51885,0.01547,0.947
948,1.5188500000000003,0.01546,0.948
949,1.5188500000000003,0.01545,0.949
950,1.51884,0.01543,0.95
951,1.51884,0.01542,0.951
952,1.51884,0.01541,0.952
953,1.51883,0.0154,0.953
954,1.51883,0.01539,0.954
955,1.51883,0.01538,0.955
956,1.51882,0.01536,0.956
957,1.5188200000000003,0.01535,0.957
958,1.5188200000000003,0.01534,0.958
959,1.5188100000000002,0.01533,0.959
960,1.51881,0.01532,0.96
961,1.51881,0.01531,0.961
962,1.5188000000000001,0.01529,0.962
963,1.5188000000000001,0.01528,0.963
964,1.5187900000000003,0.01527,0.964
965,1.51879,0.01526,0.965
966,1.5187900000000003,0.01525,0.966
967,1.51878,0.01524,0.967
968,1.51878,0.01522,0.968
969,1.5187800000000002,0.01521,0.969
970,1.51877,0.0152,0.97
971,1.51877,0.01519,0.971
972,1.5187700000000004,0.01518,0.972
973,1.51876,0.01517,0.973
974,1.5187600000000003,0.01515,0.974
975,1.51876,0.01514,0.975
976,1.5187500000000003,0.01513,0.976
977,1.5187500000000003,0.01512,0.977
978,1.51875,0.01511,0.978
979,1.5187399999999998,0.0151,0.979
980,1.51874,0.01508,0.98
981,1.51873,0.01507,0.981
982,1.51873,0.01506,0.982
983,1.5187299999999997,0.01505,0.983
984,1.51872,0.01504,0.984
985,1.5187200000000003,0.01503,0.985
986,1.5187200000000003,0.01502,0.986
987,1.5187100000000002,0.015,0.987
988,1.5187100000000002,0.01499,0.988
989,1.51871,0.01498,0.989
990,1.5187,0.01497,0.99
991,1.5187,0.01496,0.991
992,1.5187000000000002,0.01495,0.992
993,1.5186899999999999,0.01494,0.993
994,1.5186900000000003,0.01493,0.994
995,1.51869,0.01491,0.995
996,1.5186800000000003,0.0149,0.996
997,1.5186800000000003,0.01489,0.997
998,1.51867,0.01488,0.998
999,1.51867,0.01487,0.999
1000,1.51867,0.01486,1.0
1001,1.518666917975565,0.014848,1.001
1002,1.5186623593165651,0.014835999999999998,1.002
1003,1.5186578001573814,0.014824,1.003
1004,1.5186537996571972,0.014811999999999999,1.004
1005,1.51865,0.0148,1.005
1006,1.5186460822378953,0.014787999999999999,1.006
1007,1.5186420423694083,0.014776000000000003,1.007
1008,1.5186379556298535,0.014766,1.008
1009,1.5186339087587852,0.014758,1.009
1010,1.51863,0.01475,1.01
1011,1.5186262333549718,0.014738000000000001,1.011
1012,1.5186222338551558,0.014726,1.012
1013,1.5186175786605705,0.014714000000000001,1.013
1014,1.5186129229658007,0.014702,1.014
1015,1.51861,0.01469,1.015
1016,1.518609824731713,0.014677999999999998,1.016
1017,1.5186103516027813,0.014666000000000002,1.017
1018,1.5186088656181382,0.014656,1.018
1019,1.5186048527624267,0.014648000000000001,1.019
1020,1.5186,0.01464,1.02
1021,1.5185957128890164,0.014628,1.021
1022,1.5185918885837864,0.014615999999999999,1.022
1023,1.5185880599933677,0.014604,1.023
1024,1.5185840557081791,0.014591999999999999,1.024
1025,1.51858,0.01458,1.025
1026,1.51857599571452,0.014568,1.026
1027,1.5185720085702314,0.014556000000000001,1.027
1028,1.5185679742890137,0.014546,1.028
1029,1.5185639271520848,0.014538,1.029
1030,1.51856,0.01453,1.03
1031,1.5185562271142667,0.014518000000000001,1.031
1032,1.5185522313994553,0.014506,1.032
1033,1.518547580052829,0.014494000000000002,1.033
1034,1.5185429244210142,0.014482,1.034
1035,1.51854,0.01447,1.035
1036,1.5185398238852157,0.014462,1.036
1037,1.5185403510221447,0.014454,1.037
1038,1.5185388664505957,0.014444,1.038
1039,1.5185348547421178,0.014432000000000002,1.039
1040,1.51853,0.01442,1.04
1041,1.5185257072787601,0.014408,1.041
1042,1.5185218829105744,0.014395999999999999,1.042
1043,1.5185180702555132,0.014386000000000001,1.043
1044,1.5185140819686376,0.014378,1.044
1045,1.51851,0.01437,1.045
1046,1.518505918017423,0.014358,1.046
1047,1.5185019297259008,0.014346000000000003,1.047
1048,1.518498117126595,0.014336,1.048
1049,1.5184942928188112,0.014328,1.049
1050,1.5184900000000001,0.01432,1.05
1051,1.5184851449651675,0.014308000000000001,1.051
1052,1.5184811332520436,0.014296,1.052
1053,1.5184796495168207,0.014284000000000002,1.053
1054,1.5184801774947223,0.014272,1.054
1055,1.5184799999999998,0.01426,1.055
1056,1.5184770714949243,0.014251999999999999,1.056
1057,1.518472415802708,0.014244,1.057
1058,1.5184677761088974,0.014234,1.058
1059,1.5184637921073025,0.014222000000000002,1.059
1060,1.51846,0.01421,1.06
1061,1.5184560159637763,0.014202000000000001,1.061
1062,1.518451967985875,0.014194,1.062
1063,1.518448096007746,0.014184,1.063
1064,1.5184442720075184,0.014171999999999999,1.064
1065,1.5184400000000005,0.01416,1.065
1066,1.5184351519979489,0.014147999999999999,1.066
1067,1.5184311359995435,0.014136,1.067
1068,1.5184296479995452,0.014126,1.068
1069,1.5184301759979524,0.014118,1.069
1070,1.5184299999999997,0.01411,1.07
1071,1.5184270720075075,0.014098000000000001,1.071
1072,1.5184224160077353,0.014086,1.072
1073,1.5184177759858937,0.014076,1.073
1074,1.5184137919638245,0.014067999999999999,1.074
1075,1.51841,0.01406,1.075
1076,1.5184060161071617,0.014047999999999998,1.076
1077,1.5184019681087544,0.014036,1.077
1078,1.5183980958029675,0.014026,1.078
1079,1.518394271495588,0.014018000000000001,1.079
1080,1.5183899999999997,0.01401,1.08
1081,1.5183851534927582,0.013998,1.081
1082,1.5183811375148277,0.013985999999999998,1.082
1083,1.518379645255654,0.013976,1.083
1084,1.5183801689744112,0.013968,1.084
1085,1.5183800000000003,0.01396,1.085
1086,1.5183770927914566,0.013947999999999999,1.086
1087,1.518372437098836,0.013935999999999999,1.087
1088,1.5183677377761917,0.013926,1.088
1089,1.5183636941461678,0.013918,1.089
1090,1.5183599999999997,0.01391,1.09
1091,1.5183563055876317,0.013902000000000001,1.091
1092,1.518352261868875,0.013894,1.092
1093,1.5183475636110297,0.013884,1.093
1094,1.5183429090719418,0.013871999999999999,1.094
1095,1.5183400000000002,0.01386,1.095
1096,1.5183398254353935,0.013852,1.096
1097,1.5183403490654173,0.013844,1.097
1098,1.5183388727782297,0.013833999999999997,1.098
1099,1.518334872861019,0.013822000000000001,1.099
1100,1.51833,0.01381,1.1
1101,1.5183256505078775,0.013802,1.101
1102,1.5183218250469652,0.013793999999999999,1.102
1103,1.5183181752841908,0.013784000000000001,1.103
1104,1.5183143509823283,0.013772,1.104
1105,1.51831,0.01376,1.105
1106,1.5183051216748922,0.013751999999999999,1.106
1107,1.518301121592103,0.013744,1.107
1108,1.5182996612004453,0.013736,1.108
1109,1.5183002008915771,0.013728,1.109
1110,1.5182999999999998,0.01372,1.11
1111,1.5182970129406144,0.013708000000000001,1.111
1112,1.518292357242477,0.013696,1.112
1113,1.5182878815220502,0.013686,1.113
1114,1.518284061499761,0.013678,1.114
1115,1.51828,0.01367,1.115
1116,1.518275219493712,0.013661999999999999,1.116
1117,1.5182711598025798,0.013654,1.117
1118,1.5182696401082614,0.013643999999999998,1.118
1119,1.518270180105075,0.013632000000000002,1.119
1120,1.5182699999999998,0.01362,1.12
1121,1.518267019971352,0.013612,1.121
1122,1.5182623599936413,0.013604,1.122
1123,1.518257879993613,0.013596,1.123
1124,1.5182540599712957,0.013588,1.124
1125,1.5182500000000003,0.01358,1.125
1126,1.5182452201052172,0.013568,1.126
1127,1.5182411601084032,0.013555999999999999,1.127
1128,1.5182396398023243,0.013546,1.128
1129,1.5182401794930598,0.013538,1.129
1130,1.5182399999999998,0.01353,1.13
1131,1.5182370215016874,0.013522,1.131
1132,1.5182323615240052,0.013514,1.132
1133,1.5182278772389355,0.013506,1.133
1134,1.5182240529315478,0.013498000000000001,1.134
1135,1.5182199999999997,0.01349,1.135
1136,1.5182152409184086,0.013478,1.136
1137,1.5182111812276733,0.013465999999999999,1.137
1138,1.5182096015427757,0.013456000000000001,1.138
1139,1.5182100815486135,0.013448,1.139
1140,1.51821,0.01344,1.14
1141,1.518207311356036,0.013432,1.141
1142,1.5182026556634238,0.013424,1.142
1143,1.5181973443599264,0.013416,1.143
1144,1.5181926887490413,0.013408000000000002,1.144
1145,1.51819,0.0134,1.145
1146,1.5181899180660998,0.013388,1.146
1147,1.518190398060262,0.013375999999999999,1.147
1148,1.5181888194961977,0.013366000000000001,1.148
1149,1.5181847609379708,0.013358,1.149
1150,1.51818,0.01335,1.15
1151,1.5181759415693643,0.013342,1.151
1152,1.5181721171802494,0.013334,1.152
1153,1.5181676485868427,0.013326000000000001,1.153
1154,1.5181630043825516,0.013318000000000002,1.154
1155,1.5181600000000002,0.01331,1.155
1156,1.518159743905003,0.013302000000000001,1.156
1157,1.5181602824632299,0.013294,1.157
1158,1.5181589807196043,0.013284,1.158
1159,1.5181551404177522,0.013271999999999999,1.159
1160,1.51815,0.01326,1.16
1161,1.5181448731006788,0.013252,1.161
1162,1.5181410373049702,0.013244,1.162
1163,1.5181396814876194,0.013236000000000001,1.163
1164,1.5181401614659773,0.013228000000000002,1.164
1165,1.51814,0.01322,1.165
1166,1.5181372795045065,0.013212000000000002,1.166
1167,1.5181326398063588,0.013204,1.167
1168,1.5181273601070713,0.013196000000000001,1.168
1169,1.518122720105932,0.013188,1.169
1170,1.51812,0.01318,1.17
1171,1.518119839962413,0.013172,1.171
1172,1.5181203199840554,0.013164,1.172
1173,1.5181189600113858,0.013156000000000001,1.173
1174,1.5181151200170737,0.013148000000000002,1.174
