nm,n,k,wl
900,1.55288,7.73e-06,0.9
901,1.5528566411231817,7.732e-06,0.901
902,1.55283461153712,7.734e-06,0.902
903,1.5528134426641842,7.736e-06,0.903
904,1.5527926659267406,7.738000000000001e-06,0.904
905,1.552771812747157,7.74e-06,0.905
906,1.5527504145478008,7.742e-06,0.906
907,1.5527280027510395,7.744e-06,0.907
908,1.5527041087792406,7.746e-06,0.908
909,1.5526782640547718,7.748000000000001e-06,0.909
910,1.5526499999999999,7.75e-06,0.91
911,1.5526190468280865,7.72e-06,0.911
912,1.5525859299153664,7.690000000000001e-06,0.912
913,1.552551373428968,7.66e-06,0.913
914,1.5525161015360205,7.63e-06,0.914
915,1.5524808384036521,7.6e-06,0.915
916,1.5524463081989917,7.57e-06,0.916
917,1.5524132350891675,7.54e-06,0.917
918,1.5523823432413086,7.51e-06,0.918
919,1.5523543568225433,7.4799999999999995e-06,0.919
920,1.55233,7.45e-06,0.92
921,1.552309731564473,7.4799999999999995e-06,0.921
922,1.5522929488014139,7.51e-06,0.922
923,1.552278783619942,7.54e-06,0.923
924,1.5522663679291757,7.57e-06,0.924
925,1.5522548336382327,7.6e-06,0.925
926,1.5522433126562307,7.63e-06,0.926
927,1.5522309368922886,7.66e-06,0.927
928,1.5522168382555241,7.690000000000001e-06,0.928
929,1.552200148655055,7.72e-06,0.929
930,1.5521799999999994,7.75e-06,0.93
931,1.5521557769140235,7.754e-06,0.931
932,1.552127874878978,7.758000000000001e-06,0.932
933,1.5520969420912623,7.762e-06,0.933
934,1.5520636267472754,7.766e-06,0.934
935,1.5520285770434166,7.77e-06,0.935
936,1.551992441176084,7.774e-06,0.936
937,1.5519558673416773,7.778e-06,0.937
938,1.551919503736595,7.782e-06,0.938
939,1.5518839985572361,7.786e-06,0.939
940,1.5518499999999997,7.79e-06,0.94
941,1.5518180507794328,7.796e-06,0.941
942,1.5517882716826734,7.802e-06,0.942
943,1.551760678015007,7.808e-06,0.943
944,1.5517352850817208,7.814e-06,0.944
945,1.5517121081881005,7.82e-06,0.945
946,1.551691162639432,7.826e-06,0.946
947,1.5516724637410015,7.831999999999999e-06,0.947
948,1.5516560267980954,7.838e-06,0.948
949,1.5516418671159997,7.844e-06,0.949
950,1.55163,7.85e-06,0.95
951,1.5516203399682449,7.178999999999999e-06,0.951
952,1.5516123983903278,6.507999999999999e-06,0.952
953,1.5516055858487074,5.837e-06,0.953
954,1.5515993129258396,5.165999999999999e-06,0.954
955,1.5515929902041805,4.495e-06,0.955
956,1.5515860282661866,3.824e-06,0.956
957,1.5515778376943152,3.153e-06,0.957
958,1.5515678290710224,2.482e-06,0.958
959,1.5515554129787656,1.8110000000000001e-06,0.959
960,1.5515400000000001,1.14e-06,0.96
961,1.5515211693475885,1.426e-06,0.961
962,1.5514991747560123,1.712e-06,0.962
963,1.5514744385901602,1.998e-06,0.963
964,1.5514473832149192,2.284e-06,0.964
965,1.5514184309951764,2.57e-06,0.965
966,1.5513880042958195,2.8560000000000003e-06,0.966
967,1.5513565254817359,3.142e-06,0.967
968,1.5513244169178129,3.428e-06,0.968
969,1.5512921009689389,3.714e-06,0.969
970,1.55126,4e-06,0.97
971,1.551228452641402,4.012e-06,0.971
972,1.5511974625856204,4.024e-06,0.972
973,1.5511669497906493,4.036e-06,0.973
974,1.5511368342144822,4.048e-06,0.974
975,1.5511070358151124,4.06e-06,0.975
976,1.5510774745505336,4.072e-06,0.976
977,1.5510480703787393,4.084e-06,0.977
978,1.5510187432577232,4.096e-06,0.978
979,1.5509894131454791,4.108e-06,0.979
980,1.55096,4.12e-06,0.98
981,1.5509305200868038,4.219000000000001e-06,0.981
982,1.5509013749015041,4.318e-06,0.982
983,1.5508730622472402,4.417e-06,0.983
984,1.5508460799271502,4.5160000000000005e-06,0.984
985,1.5508209257443721,4.615000000000001e-06,0.985
986,1.550798097502044,4.714e-06,0.986
987,1.5507780930033044,4.813e-06,0.987
988,1.5507614100512919,4.9120000000000006e-06,0.988
989,1.5507485464491446,5.011e-06,0.989
990,1.5507400000000002,5.11e-06,0.99
991,1.5507359970113834,5.51e-06,0.991
992,1.550735677808361,5.91e-06,0.992
993,1.5507379112203874,6.31e-06,0.993
994,1.5507415660769153,6.71e-06,0.994
995,1.5507455112073982,7.11e-06,0.995
996,1.5507486154412886,7.509999999999999e-06,0.996
997,1.550749747608041,7.909999999999999e-06,0.997
998,1.550747776537108,8.31e-06,0.998
999,1.5507415710579437,8.71e-06,0.999
1000,1.5507300000000002,9.11e-06,1.0
1001,1.5507124118676636,8.301000000000089e-06,1.001
1002,1.5506900738650502,7.492e-06,1.002
1003,1.5506647328712087,6.683000000000089e-06,1.003
1004,1.5506381357651873,5.874e-06,1.004
1005,1.5506120294260348,5.0650000000000896e-06,1.005
1006,1.5505881607327994,4.2559999999999996e-06,1.006
1007,1.55056827656453,3.44700000000009e-06,1.007
1008,1.550554123800274,2.638e-06,1.008
1009,1.5505474493190814,1.8290000000000896e-06,1.009
1010,1.55055,1.02e-06,1.01
1011,1.5505625655179622,1.0259999999999994e-06,1.011
1012,1.5505821067314365,1.032e-06,1.012
1013,1.5506046272947764,1.0379999999999994e-06,1.013
1014,1.550626130862334,1.044e-06,1.014
1015,1.5506426210884618,1.0499999999999993e-06,1.015
1016,1.5506501016275127,1.056e-06,1.016
