nm,n,k,wl
900,1.53383,8.17e-07,0.9
901,1.5338043827499181,8.373e-07,0.901
902,1.533780229282732,8.576e-07,0.902
903,1.533757292117363,8.779e-07,0.903
904,1.5337353237727316,8.981999999999999e-07,0.904
905,1.5337140767677588,9.185e-07,0.905
906,1.533693303621365,9.388e-07,0.906
907,1.5336727568524715,9.591e-07,0.907
908,1.5336521889799986,9.793999999999999e-07,0.908
909,1.5336313525228682,9.997e-07,0.909
910,1.53361,1.02e-06,0.91
911,1.5335879802849968,1.0097e-06,0.911
912,1.5335655276701874,9.994e-07,0.912
913,1.5335429728025836,9.891e-07,0.913
914,1.533520646329195,9.788e-07,0.914
915,1.5334988788970334,9.685e-07,0.915
916,1.5334780011531088,9.582e-07,0.916
917,1.5334583437444327,9.479e-07,0.917
918,1.533440237318015,9.375999999999999e-07,0.918
919,1.5334240125208676,9.273e-07,0.919
920,1.5334100000000002,9.17e-07,0.92
921,1.533398376110095,8.705e-07,0.921
922,1.5333887000365167,8.24e-07,0.922
923,1.5333803766723018,7.775e-07,0.923
924,1.5333728109104867,7.31e-07,0.924
925,1.5333654076441066,6.845e-07,0.925
926,1.5333575717661982,6.380000000000001e-07,0.926
927,1.5333487081697974,5.915e-07,0.927
928,1.5333382217479399,5.450000000000001e-07,0.928
929,1.533325517393662,4.985e-07,0.929
930,1.5333099999999997,4.52e-07,0.93
931,1.533291255274624,4.4309999999999994e-07,0.931
932,1.5332695921837456,4.341999999999998e-07,0.932
933,1.5332455005082082,4.252999999999997e-07,0.933
934,1.5332194700288577,4.163999999999996e-07,0.934
935,1.5331919905265394,4.0749999999999954e-07,0.935
936,1.5331635517820974,3.985999999999994e-07,0.936
937,1.5331346435763777,3.896999999999993e-07,0.937
938,1.5331057556902252,3.8080000000000023e-07,0.938
939,1.533077377904484,3.719000000000001e-07,0.939
940,1.5330499999999998,3.63e-07,0.94
941,1.533024042791408,3.4010000000000003e-07,0.941
942,1.5329996512285016,3.172e-07,0.942
943,1.5329769012948646,2.943e-07,0.943
944,1.5329558689740812,2.714e-07,0.944
945,1.5329366302497356,2.4850000000000003e-07,0.945
946,1.5329192611054108,2.256e-07,0.946
947,1.532903837524691,2.027e-07,0.947
948,1.53289043549116,1.798e-07,0.948
949,1.532879130988402,1.569e-07,0.949
950,1.5328700000000002,1.34e-07,0.95
951,1.5328630335597448,1.826e-07,0.951
952,1.5328578829022488,2.312e-07,0.952
953,1.532854114312333,2.798e-07,0.953
954,1.5328512940748165,3.284e-07,0.954
955,1.532848988474519,3.77e-07,0.955
956,1.5328467637962595,4.256e-07,0.956
957,1.532844186324858,4.742e-07,0.957
958,1.5328408223451349,5.228e-07,0.958
959,1.532836238141909,5.713999999999999e-07,0.959
960,1.53283,6.2e-07,0.96
961,1.532821732969614,6.138e-07,0.961
962,1.5328112971625019,6.076e-07,0.962
963,1.532798611455802,6.014e-07,0.963
964,1.5327835947266517,5.952e-07,0.964
965,1.5327661658521892,5.89e-07,0.965
966,1.5327462437095507,5.828e-07,0.966
967,1.532723747175875,5.766e-07,0.967
968,1.5326985951282994,5.704e-07,0.968
969,1.5326707064439624,5.642e-07,0.969
970,1.53264,5.58e-07,0.97
971,1.5326065845617998,5.468e-07,0.971
972,1.5325713284477418,5.356e-07,0.972
973,1.5325352898644569,5.244e-07,0.973
974,1.5324995270185746,5.132e-07,0.974
975,1.5324650981167245,5.02e-07,0.975
976,1.5324330613655361,4.908e-07,0.976
977,1.53240447497164,4.796e-07,0.977
978,1.5323803971416652,4.684e-07,0.978
979,1.532361886082242,4.572e-07,0.979
980,1.53235,4.46e-07,0.98
981,1.5323454187831878,4.346e-07,0.981
982,1.5323473090465294,4.232e-07,0.982
983,1.5323544590863687,4.118e-07,0.983
984,1.5323656571990485,4.004e-07,0.984
985,1.532379691680912,3.89e-07,0.985
986,1.5323953508283028,3.776e-07,0.986
987,1.5324114229375636,3.662e-07,0.987
988,1.5324266963050381,3.548e-07,0.988
989,1.5324399592270694,3.434e-07,0.989
990,1.53245,3.32e-07,0.99
991,1.5324558503054497,3.22e-07,0.991
992,1.5324575153661395,3.12e-07,0.992
993,1.5324552437900671,3.0200000000000003e-07,0.993
994,1.5324492841852304,2.92e-07,0.994
995,1.532439885159626,2.82e-07,0.995
996,1.5324272953212514,2.72e-07,0.996
997,1.532411763278104,2.62e-07,0.997
998,1.5323935376381814,2.52e-07,0.998
999,1.5323728670094816,2.42e-07,0.999
1000,1.53235,2.32e-07,1.0
1001,1.5323254299950138,2.763999999999951e-07,1.001
1002,1.5323006294889117,3.208e-07,1.002
1003,1.5322773157533611,3.6519999999999504e-07,1.003
1004,1.532257206060029,4.0959999999999996e-07,1.004
1005,1.5322420176805833,4.5399999999999504e-07,1.005
1006,1.5322334678866905,4.984e-07,1.006
1007,1.5322332739500186,5.42799999999995e-07,1.007
1008,1.5322431531422347,5.872e-07,1.008
1009,1.532264822735006,6.31599999999995e-07,1.009
1010,1.5323,6.76e-07,1.01
1011,1.5323490097144945,7.001999999999973e-07,1.011
1012,1.5324066066782125,7.244e-07,1.012
1013,1.5324661531964874,7.485999999999973e-07,1.013
1014,1.532521011574652,7.728e-07,1.014
1015,1.5325645441180402,7.969999999999973e-07,1.015
1016,1.532590113131985,8.212e-07,1.016
1017,1.5325910809218204,8.453999999999973e-07,1.017
1018,1.5325608097928787,8.696e-07,1.018
1019,1.5324926620504942,8.937999999999974e-07,1.019
1020,1.53238,9.18e-07,1.02
1021,1.5322189711470073,9.188999999999999e-07,1.021
1022,1.5320168637982368,9.198000000000001e-07,1.022
1023,1.5317837514606887,9.206999999999999e-07,1.023
1024,1.5315297076413616,9.216e-07,1.024
1025,1.531264805847255,9.225e-07,1.025
1026,1.530999119585368,9.234e-07,1.026
1027,1.5307427223627001,9.242999999999999e-07,1.027
1028,1.5305056876862495,9.251999999999999e-07,1.028
1029,1.5302980890630167,9.260999999999999e-07,1.029
1030,1.5301300000000002,9.27e-07,1.03
1031,1.5300088056974774,9.217000000000005e-07,1.031
1032,1.5299311381288399,9.164e-07,1.032
1033,1.5298909409607577,9.111000000000006e-07,1.033
1034,1.529882157859901,9.058e-07,1.034
1035,1.529898732492939,9.005000000000006e-07,1.035
1036,1.529934608526542,8.952e-07,1.036
1037,1.52998372962738,8.899000000000006e-07,1.037
1038,1.5300400394621216,8.846e-07,1.038
1039,1.5300974816974384,8.793000000000006e-07,1.039
1040,1.53015,8.74e-07,1.04
1041,1.5301925860630838,8.660000000000009e-07,1.041
1042,1.530224423686403,8.58e-07,1.042
1043,1.5302457446962798,8.500000000000009e-07,1.043
1044,1.5302567809190342,8.42e-07,1.044
1045,1.5302577641809887,8.340000000000009e-07,1.045
1046,1.5302489263084638,8.26e-07,1.046
1047,1.5302304991277815,8.180000000000009e-07,1.047
1048,1.5302027144652617,8.100000000000001e-07,1.048
1049,1.5301658041472277,8.02000000000001e-07,1.049
1050,1.53012,7.94e-07,1.05
1051,1.5300658300501868,7.923000000000002e-07,1.051
1052,1.5300050071255453,7.906e-07,1.052
1053,1.529939540254122,7.889000000000002e-07,1.053
1054,1.52987143846396,7.872000000000001e-07,1.054
1055,1.5298027107831054,7.855000000000003e-07,1.055
1056,1.5297353662396016,7.838e-07,1.056
1057,1.5296714138614949,7.821000000000002e-07,1.057
1058,1.5296128626768288,7.804000000000001e-07,1.058
1059,1.5295617217136488,7.787000000000003e-07,1.059
1060,1.52952,7.77e-07,1.06
1061,1.5294892537361686,7.695000000000008e-07,1.061
1062,1.5294692278114121,7.620000000000001e-07,1.062
1063,1.5294592142872308,7.545000000000009e-07,1.063
1064,1.5294585052251228,7.47e-07,1.064
1065,1.5294663926865888,7.395000000000008e-07,1.065
1066,1.529482168733127,7.32e-07,1.066
1067,1.5295051254262384,7.245000000000009e-07,1.067
1068,1.5295345548274208,7.17e-07,1.068
1069,1.529569748998175,7.095000000000008e-07,1.069
1070,1.5296100000000001,7.02e-07,1.07
1071,1.529654545005138,6.971000000000006e-07,1.071
1072,1.529702401628803,6.922e-07,1.072
1073,1.5297525325969537,6.873000000000006e-07,1.073
1074,1.5298039006355462,6.824e-07,1.074
1075,1.5298554684705383,6.775000000000006e-07,1.075
1076,1.5299061988278873,6.726e-07,1.076
1077,1.529955054433551,6.677000000000006e-07,1.077
1078,1.5300009980134857,6.628e-07,1.078
1079,1.5300429922936496,6.579000000000006e-07,1.079
1080,1.5300800000000003,6.53e-07,1.08
1081,1.5301110962432796,6.534e-07,1.081
1082,1.5301358056733736,6.538e-07,1.082
1083,1.530153765324954,6.542e-07,1.083
1084,1.530164612232691,6.546e-07,1.084
1085,1.530167983431257,6.55e-07,1.085
1086,1.530163515955322,6.554e-07,1.086
1087,1.5301508468395577,6.557999999999999e-07,1.087
1088,1.5301296131186348,6.562000000000001e-07,1.088
1089,1.5300994518272253,6.566e-07,1.089
1090,1.53006,6.57e-07,1.09
1091,1.530011450021744,6.508000000000007e-07,1.091
1092,1.5299562156777013,6.446e-07,1.092
1093,1.5298972661032302,6.384000000000007e-07,1.093
1094,1.5298375704336882,6.322000000000001e-07,1.094
1095,1.5297800978044336,6.260000000000007e-07,1.095
1096,1.529727817350824,6.198e-07,1.096
1097,1.5296836982082185,6.136000000000007e-07,1.097
1098,1.5296507095119731,6.074e-07,1.098
1099,1.5296318203974477,6.012000000000007e-07,1.099
1100,1.52963,5.95e-07,1.1
1101,1.5296471236697433,5.980999999999997e-07,1.101
1102,1.529680691615819,6.012000000000001e-07,1.102
1103,1.529727110262124,6.042999999999997e-07,1.103
1104,1.5297827860325546,6.074e-07,1.104
1105,1.5298441253510076,6.104999999999997e-07,1.105
1106,1.52990753464138,6.136e-07,1.106
1107,1.5299694203275687,6.166999999999996e-07,1.107
1108,1.5300261888334705,6.198e-07,1.108
1109,1.5300742465829817,6.228999999999997e-07,1.109
1110,1.5301099999999999,6.26e-07,1.11
1111,1.530130685299281,6.359999999999989e-07,1.111
1112,1.5301368578590204,6.46e-07,1.112
1113,1.5301299028482727,6.559999999999989e-07,1.113
1114,1.5301112054360924,6.660000000000001e-07,1.114
1115,1.5300821507915352,6.759999999999989e-07,1.115
1116,1.5300441240836544,6.86e-07,1.116
1117,1.529998510481506,6.959999999999989e-07,1.117
1118,1.5299466951541443,7.06e-07,1.118
1119,1.5298900632706243,7.159999999999989e-07,1.119
1120,1.52983,7.26e-07,1.12
1121,1.5297678151331322,7.37499999999999e-07,1.121
1122,1.5297045169480994,7.490000000000005e-07,1.122
1123,1.5296410383447858,7.604999999999995e-07,1.123
1124,1.529578312223076,7.72000000000001e-07,1.124
1125,1.5295172714828533,7.835e-07,1.125
1126,1.5294588490240026,7.94999999999999e-07,1.126
1127,1.5294039777464075,8.065000000000005e-07,1.127
1128,1.5293535905499531,8.179999999999994e-07,1.128
1129,1.529308620334522,8.29500000000001e-07,1.129
1130,1.5292700000000001,8.41e-07,1.13
1131,1.529238174168191,8.889000000000053e-07,1.131
1132,1.529211634348583,9.368e-07,1.132
1133,1.529188383772585,9.847000000000054e-07,1.133
1134,1.5291664256716055,1.0326e-06,1.134
1135,1.5291437632770533,1.0805000000000054e-06,1.135
1136,1.5291183998203361,1.1284e-06,1.136
1137,1.5290883385328642,1.1763000000000054e-06,1.137
1138,1.529051582646045,1.2242e-06,1.138
1139,1.5290061353912872,1.2721000000000054e-06,1.139
1140,1.52895,1.32e-06,1.14
1141,1.5288821781941038,1.374000000000006e-06,1.141
1142,1.5288056656575681,1.4280000000000001e-06,1.142
1143,1.5287244565648739,1.482000000000006e-06,1.143
1144,1.5286425450905021,1.536e-06,1.144
1145,1.5285639254089345,1.590000000000006e-06,1.145
1146,1.528492591694652,1.644e-06,1.146
1147,1.5284325381221362,1.698000000000006e-06,1.147
1148,1.5283877588658679,1.752e-06,1.148
1149,1.528362248100329,1.806000000000006e-06,1.149
1150,1.52836,1.86e-06,1.15
1151,1.528383613055393,2.0370000000000196e-06,1.151
1152,1.528430103021144,2.214e-06,1.152
1153,1.52849508996792,2.3910000000000195e-06,1.153
1154,1.5285741939663855,2.568e-06,1.154
1155,1.5286630350872086,2.7450000000000195e-06,1.155
1156,1.5287572334010542,2.922e-06,1.156
1157,1.5288524089785904,3.09900000000002e-06,1.157
1158,1.5289441818904823,3.2759999999999996e-06,1.158
1159,1.5290281722073968,3.4530000000000193e-06,1.159
1160,1.5291000000000001,3.63e-06,1.16
1161,1.5291564095843224,3.913000000000031e-06,1.161
1162,1.5291986422578534,4.196e-06,1.162
1163,1.5292290635634467,4.479000000000031e-06,1.163
1164,1.5292500390439543,4.7619999999999995e-06,1.164
1165,1.5292639342422305,5.045000000000031e-06,1.165
1166,1.5292731147011283,5.328e-06,1.166
1167,1.5292799459635007,5.6110000000000315e-06,1.167
1168,1.5292867935722012,5.894e-06,1.168
1169,1.5292960230700834,6.177000000000031e-06,1.169
1170,1.5293100000000002,6.46e-06,1.17
1171,1.5293303186073153,6.471000000000001e-06,1.171
1172,1.5293554879474394,6.482e-06,1.172
1173,1.5293832457782925,6.493000000000001e-06,1.173
1174,1.529411329857795,6.504e-06,1.174
1175,1.5294374779438678,6.515000000000001e-06,1.175
1176,1.529459427794431,6.526e-06,1.176
1177,1.5294749171674051,6.537000000000001e-06,1.177
1178,1.5294816838207108,6.548e-06,1.178
1179,1.5294774655122692,6.559000000000001e-06,1.179
1180,1.5294600000000003,6.57e-06,1.18
1181,1.5294278359864144,6.677000000000012e-06,1.181
1182,1.5293827659523866,6.784e-06,1.182
1183,1.5293273933233822,6.891000000000012e-06,1.183
1184,1.5292643215248638,6.998e-06,1.184
1185,1.5291961539822971,7.105000000000012e-06,1.185
1186,1.529125494121147,7.212e-06,1.186
1187,1.5290549453668774,7.319000000000012e-06,1.187
1188,1.5289871111449531,7.426e-06,1.188
1189,1.5289245948808394,7.5330000000000116e-06,1.189
1190,1.52887,7.64e-06,1.19
1191,1.5288253474470255,7.652e-06,1.191
1192,1.5287903282430113,7.664e-06,1.192
1193,1.5287640509281792,7.676e-06,1.193
1194,1.5287456240427486,7.688e-06,1.194
1195,1.5287341561269423,7.7e-06,1.195
1196,1.52872875572098,7.712e-06,1.196
1197,1.528728531365084,7.724000000000001e-06,1.197
1198,1.5287325915994743,7.736e-06,1.198
1199,1.5287400449643727,7.748000000000001e-06,1.199
1200,1.52875,7.76e-06,1.2
1201,1.528761464225482,7.497999999999971e-06,1.201
1202,1.5287730410755653,7.236e-06,1.202
1203,1.5287832329639013,6.973999999999971e-06,1.203
1204,1.5287905423041397,6.712e-06,1.204
1205,1.5287934715099327,6.4499999999999704e-06,1.205
1206,1.528790522994931,6.188e-06,1.206
1207,1.5287801991727858,5.925999999999971e-06,1.207
1208,1.528761002457148,5.664e-06,1.208
1209,1.5287314352616694,5.401999999999971e-06,1.209
1210,1.52869,5.14e-06,1.21
1211,1.5286360256510454,4.933999999999977e-06,1.211
1212,1.5285721474547258,4.728e-06,1.212
1213,1.528501827216217,4.521999999999977e-06,1.213
1214,1.5284285267406919,4.316e-06,1.214
1215,1.5283557078333265,4.109999999999978e-06,1.215
1216,1.5282868322992949,3.904e-06,1.216
1217,1.5282253619437718,3.697999999999977e-06,1.217
1218,1.5281747585719319,3.4919999999999998e-06,1.218
1219,1.5281384839889498,3.285999999999977e-06,1.219
1220,1.5281200000000001,3.08e-06,1.22
1221,1.5281216531703359,2.9789999999999888e-06,1.221
1222,1.5281413291055297,2.8780000000000002e-06,1.222
1223,1.5281757981712316,2.776999999999989e-06,1.223
1224,1.5282218307330913,2.6760000000000003e-06,1.224
1225,1.5282761971567602,2.574999999999989e-06,1.225
1226,1.5283356678078877,2.474e-06,1.226
1227,1.5283970130521252,2.372999999999989e-06,1.227
1228,1.5284570032551226,2.272e-06,1.228
1229,1.5285124087825308,2.170999999999989e-06,1.229
1230,1.5285600000000001,2.07e-06,1.23
1231,1.5285972416676088,2.022999999999995e-06,1.231
1232,1.5286243761231528,1.9760000000000002e-06,1.232
1233,1.528642340098856,1.928999999999995e-06,1.233
1234,1.5286520703269408,1.882e-06,1.234
1235,1.5286545035396317,1.8349999999999947e-06,1.235
1236,1.5286505764691518,1.788e-06,1.236
1237,1.5286412258477253,1.7409999999999949e-06,1.237
1238,1.5286273884075752,1.694e-06,1.238
1239,1.5286100008809258,1.6469999999999948e-06,1.239
1240,1.52859,1.6e-06,1.24
1241,1.5285682601592265,1.5749999999999972e-06,1.241
1242,1.528545406401856,1.55e-06,1.242
1243,1.5285220014333436,1.5249999999999973e-06,1.243
1244,1.5284986079591434,1.5e-06,1.244
1245,1.5284757886847116,1.474999999999997e-06,1.245
1246,1.5284541063155022,1.4499999999999999e-06,1.246
1247,1.5284341235569718,1.4249999999999972e-06,1.247
1248,1.5284164031145742,1.4e-06,1.248
1249,1.5284015076937654,1.3749999999999972e-06,1.249
1250,1.52839,1.35e-06,1.25
1251,1.528382377695483,1.3380000000000014e-06,1.251
1252,1.5283788782694208,1.326e-06,1.252
1253,1.5283796741677693,1.3140000000000013e-06,1.253
1254,1.528384937836484,1.302e-06,1.254
1255,1.5283948417215214,1.2900000000000014e-06,1.255
1256,1.5284095582688368,1.278e-06,1.256
1257,1.528429259924387,1.2660000000000013e-06,1.257
1258,1.528454119134126,1.254e-06,1.258
1259,1.528484308344012,1.2420000000000014e-06,1.259
1260,1.52852,1.23e-06,1.26
1261,1.52856098905884,1.1970000000000037e-06,1.261
1262,1.5286055605204587,1.164e-06,1.262
1263,1.5286516218955783,1.1310000000000037e-06,1.263
1264,1.5286970806949192,1.0980000000000001e-06,1.264
1265,1.5287398444292024,1.0650000000000038e-06,1.265
1266,1.5287778206091496,1.032e-06,1.266
1267,1.528808916745482,9.990000000000037e-07,1.267
1268,1.52883104034892,9.66e-07,1.268
1269,1.5288420989301859,9.330000000000036e-07,1.269
1270,1.5288400000000002,9e-07,1.27
1271,1.528823406069157,9.149999999999983e-07,1.271
1272,1.5287939996487425,9.3e-07,1.272
1273,1.5287542182499168,9.449999999999983e-07,1.273
1274,1.5287064993838388,9.6e-07,1.274
1275,1.528653280561668,9.749999999999983e-07,1.275
1276,1.5285969992945638,9.899999999999998e-07,1.276
1277,1.5285400930936859,1.0049999999999982e-06,1.277
1278,1.5284849994701923,1.02e-06,1.278
1279,1.528434155935244,1.0349999999999981e-06,1.279
1280,1.5283900000000001,1.05e-06,1.28
1281,1.5283542666645324,1.0417000000000008e-06,1.281
1282,1.5283258808845697,1.0334e-06,1.282
1283,1.5283030651047536,1.0251000000000008e-06,1.283
1284,1.5282840417697243,1.0168e-06,1.284
1285,1.5282670333241242,1.0085000000000008e-06,1.285
1286,1.5282502622125937,1.0002e-06,1.286
1287,1.5282319508797753,9.919000000000008e-07,1.287
1288,1.5282103217703085,9.836e-07,1.288
1289,1.5281835973288362,9.753000000000009e-07,1.289
1290,1.5281500000000001,9.67e-07,1.29
1291,1.5281083872727121,9.634000000000004e-07,1.291
1292,1.5280601568129761,9.598000000000001e-07,1.292
1293,1.5280073413310682,9.562000000000005e-07,1.293
1294,1.5279519735372622,9.526e-07,1.294
1295,1.5278960861418347,9.490000000000004e-07,1.295
1296,1.5278417118550598,9.454e-07,1.296
1297,1.527790883387214,9.418000000000003e-07,1.297
1298,1.5277456334485713,9.382e-07,1.298
1299,1.5277079947494083,9.346000000000003e-07,1.299
1300,1.5276800000000001,9.31e-07,1.3
1301,1.5276630142446181,9.262000000000004e-07,1.301
1302,1.527655731863523,9.214e-07,1.302
1303,1.5276561795709733,9.166000000000005e-07,1.303
1304,1.5276623840812251,9.118e-07,1.304
