nm,n,k,wl
900,0.074793597,6.469203512,0.9
901,0.07497123882743938,6.4770428803,0.901
902,0.07520296821391906,6.4848822486,0.902
903,0.07547747557251233,6.4927216169,0.903
904,0.07578345131629248,6.5005609852,0.904
905,0.07610958585833276,6.5084003535,0.905
906,0.07644456961170638,6.5162397218,0.906
907,0.07677709298948666,6.5240790901,0.907
908,0.07709584640474684,6.5319184584,0.908
909,0.07738952027056022,6.5397578267,0.909
910,0.077646805,6.547597195,0.91
911,0.07785944044546951,6.5556361344,0.911
912,0.07803136421669211,6.5636750738,0.912
913,0.07816956336272135,6.571714013199999,0.913
914,0.07828102493261063,6.5797529526,0.914
915,0.07837273597541336,6.587791892,0.915
916,0.07845168354018302,6.5958308314,0.916
917,0.07852485467597307,6.603869770799999,0.917
918,0.07859923643183694,6.6119087102,0.918
919,0.07868181585682812,6.6199476496,0.919
920,0.07877958000000002,6.627986589,0.92
921,0.07889749287168266,6.6357952448,0.921
922,0.0790324263273124,6.6436039006,0.922
923,0.0791792291836022,6.6514125563999995,0.923
924,0.07933275025726502,6.659221212199999,0.924
925,0.07948783836501382,6.667029868,0.925
926,0.07963934232356147,6.6748385238,0.926
927,0.07978211094962098,6.6826471796,0.927
928,0.07991099305990527,6.6904558354,0.928
929,0.08002083747112729,6.6982644912,0.929
930,0.08010649299999999,6.706073147,0.93
931,0.08016434881579992,6.7138787328,0.931
932,0.08019695549805829,6.7216843185999995,0.932
933,0.0802084039788698,6.7294899044,0.933
934,0.08020278519032924,6.7372954902,0.934
935,0.0801841900645314,6.745101076,0.935
936,0.08015670953357104,6.7529066618,0.936
937,0.08012443452954296,6.7607122476,0.937
938,0.08009145598454193,6.7685178334,0.938
939,0.08006186483066267,6.7763234192,0.939
940,0.080039752,6.784129005,0.94
941,0.08002917710611757,6.7922259514,0.941
942,0.08003407448845445,6.8003228978,0.942
943,0.0800583471679186,6.8084198441999995,0.943
944,0.080105898165418,6.8165167906,0.944
945,0.08018063050186058,6.824613737,0.945
946,0.08028644719815431,6.8327106834,0.946
947,0.08042725127520717,6.8408076298000005,0.947
948,0.0806069457539271,6.8489045762,0.948
949,0.08082943365522206,6.8570015226,0.949
950,0.081098618,6.865098469,0.95
951,0.08141514832372981,6.8728151697,0.951
952,0.08176666022012395,6.8805318704000005,0.952
953,0.08213753579745584,6.8882485711,0.953
954,0.08251215716399883,6.895965271800001,0.954
955,0.08287490642802632,6.9036819725,0.955
956,0.08321016569781173,6.9113986732,0.956
957,0.08350231708162839,6.9191153739,0.957
958,0.08373574268774973,6.9268320746,0.958
959,0.08389482462444915,6.934548775300001,0.959
960,0.08396394499999998,6.942265476,0.96
961,0.0839335422609632,6.9504759565,0.961
962,0.08381828020704969,6.958686437,0.962
963,0.08363887897625802,6.966896917500001,0.963
964,0.08341605870658665,6.9751073980000005,0.964
965,0.08317053953603407,6.9833178785,0.965
966,0.08292304160259874,6.991528359,0.966
967,0.08269428504427918,6.9997388395,0.967
968,0.08250498999907387,7.007949320000001,0.968
969,0.08237587660498133,7.0161598005000005,0.969
970,0.082327665,7.024370281,0.97
971,0.08237554460441741,7.031942266900001,0.971
972,0.08251258196767718,7.0395142528,0.972
973,0.08272631292151199,7.0470862387,0.973
974,0.08300427329765449,7.0546582246,0.974
975,0.08333399892783735,7.0622302105,0.975
976,0.08370302564379323,7.0698021964,0.976
977,0.08409888927725476,7.0773741823,0.977
978,0.08450912565995464,7.0849461682,0.978
979,0.0849212706236255,7.0925181540999995,0.979
980,0.08532286,7.10009014,0.98
981,0.08570319277836719,7.1077907135,0.981
982,0.08605862057824151,7.115491287,0.982
983,0.08638725817669393,7.1231918604999995,0.983
984,0.08668722035079528,7.130892434,0.984
985,0.08695662187761645,7.1385930075,0.985
986,0.08719357753422828,7.146293581,0.986
987,0.08739620209770169,7.1539941545,0.987
988,0.0875626103451075,7.161694728,0.988
989,0.08769091705351668,7.1693953015,0.989
990,0.08777923700000001,7.177095875,0.99
991,0.0878276619741139,7.1848016752,0.991
992,0.08784419181535669,7.1925074754,0.992
993,0.0878388033757122,7.2002132756,0.993
994,0.08782147350716432,7.2079190758000005,0.994
995,0.08780217906169685,7.215624876,0.995
