nm,n,k,wl
900,1.64,7.316,0.9
901,1.6316510076132347,7.3248999999999995,0.901
902,1.62337207099999,7.3338,0.902
903,1.615166001944093,7.3427,0.903
904,1.6070356122293712,7.3516,0.904
905,1.59898371363965,7.3605,0.905
906,1.591013117958757,7.3694,0.906
907,1.5831266369705186,7.3783,0.907
908,1.5753270824587617,7.3872,0.908
909,1.5676172662073138,7.396100000000001,0.909
910,1.56,7.405,0.91
911,1.552477559437852,7.4147,0.911
912,1.545050075390715,7.4244,0.912
913,1.5377171425456397,7.4341,0.913
914,1.5304783555896753,7.4438,0.914
915,1.5233333092098715,7.4535,0.915
916,1.5162815980932778,7.4632,0.916
917,1.509322816926944,7.4729,0.917
918,1.50245656039792,7.4826,0.918
919,1.495682423193256,7.4923,0.919
920,1.489,7.502,0.92
921,1.4824087546353577,7.5125,0.921
922,1.475907627437148,7.523,0.922
923,1.469495427873346,7.5335,0.923
924,1.4631709654119267,7.544,0.924
925,1.4569330495208634,7.5545,0.925
926,1.4507804896681311,7.565,0.926
927,1.4447120953217043,7.5755,0.927
928,1.4387266759495574,7.586,0.928
929,1.4328230410196643,7.5965,0.929
930,1.4270000000000003,7.607,0.93
931,1.4212564220207184,7.6178,0.931
932,1.415591414860693,7.6286000000000005,0.932
933,1.4100041459609753,7.6394,0.933
934,1.4044937827626185,7.650200000000001,0.934
935,1.399059492706675,7.6610000000000005,0.935
936,1.3937004432341977,7.671800000000001,0.936
937,1.388415801786239,7.682600000000001,0.937
938,1.3832047358038517,7.6934,0.938
939,1.3780664127280877,7.7042,0.939
940,1.373,7.715,0.94
941,1.3680045572817685,7.7261,0.941
942,1.363078713120081,7.7372,0.942
943,1.3582209882827527,7.7482999999999995,0.943
944,1.353429903537599,7.759399999999999,0.944
945,1.3487039796524354,7.770499999999999,0.945
946,1.344041737395077,7.7816,0.946
947,1.339441697533339,7.7927,0.947
948,1.3349023808350369,7.8038,0.948
949,1.3304223080679856,7.8149,0.949
950,1.326,7.826,0.95
951,1.3216343488522082,7.8373,0.951
952,1.3173257326589838,7.848599999999999,0.952
953,1.313074900908014,7.8599,0.953
954,1.3088826030869847,7.8712,0.954
955,1.3047495886835827,7.8825,0.955
956,1.3006766071854936,7.8938,0.956
957,1.2966644080804046,7.9051,0.957
958,1.2927137408560014,7.9164,0.958
959,1.2888253549999715,7.9277,0.959
960,1.285,7.939,0.96
961,1.2812380473093994,7.9502,0.961
962,1.277538356243983,7.9614,0.962
963,1.2738994080851904,7.9726,0.963
964,1.270319684114461,7.9838000000000005,0.964
965,1.2667976656132338,7.995,0.965
966,1.2633318338629476,8.0062,0.966
967,1.2599206701450418,8.0174,0.967
968,1.256562655740956,8.0286,0.968
969,1.2532562719321292,8.0398,0.969
970,1.2500000000000002,8.051,0.97
971,1.2467924619101947,8.0624,0.971
972,1.243632842365083,8.0738,0.972
973,1.2405204667512226,8.0852,0.973
974,1.23745466045517,8.0966,0.974
975,1.234434748863482,8.108,0.975
976,1.2314600573627152,8.119399999999999,0.976
977,1.2285299113394268,8.130799999999999,0.977
978,1.2256436361801735,8.142199999999999,0.978
979,1.2228005572715124,8.153599999999999,0.979
980,1.22,8.165,0.98
981,1.2172411050498224,8.1762,0.981
982,1.2145222742956838,8.187399999999998,0.982
983,1.2118417249099178,8.198599999999999,0.983
984,1.2091976740648582,8.2098,0.984
985,1.206588338932838,8.220999999999998,0.985
986,1.2040119366861903,8.232199999999999,0.986
987,1.2014666844972495,8.2434,0.987
988,1.1989507995383484,8.2546,0.988
989,1.1964624989818209,8.265799999999999,0.989
990,1.194,8.277,0.99
991,1.1915621178905156,8.2882,0.991
992,1.1891500604521803,8.299399999999999,0.992
993,1.1867656336091041,8.310599999999999,0.993
994,1.1844106432853962,8.3218,0.994
995,1.1820868954051658,8.332999999999998,0.995
996,1.1797961958925218,8.344199999999999,0.996
997,1.177540350671574,8.3554,0.997
998,1.1753211656664315,8.3666,0.998
999,1.173140446801204,8.377799999999999,0.999
1000,1.171,8.389,1.0
1001,1.168900423388116,8.400099999999998,1.001
1002,1.1668374838955942,8.4112,1.002
1003,1.164805740653665,8.422299999999998,1.003
1004,1.162799752793556,8.433399999999999,1.004
1005,1.160814079446499,8.444499999999998,1.005
1006,1.1588432797437211,8.4556,1.006
1007,1.1568819128164536,8.4667,1.007
