nm,n,k,wl
900,0.11682846500000002,6.081993825,0.9
901,0.11682117932178421,6.090176534699999,0.901
902,0.1168011385973716,6.0983592444,0.902
903,0.11677513951727068,6.1065419541,0.903
904,0.11674997877198987,6.1147246638,0.904
905,0.11673245305203762,6.1229073735,0.905
906,0.11672935904792232,6.1310900832,0.906
907,0.1167474934501525,6.1392727929,0.907
908,0.11679365294923653,6.1474555026,0.908
909,0.11687463423568291,6.1556382123,0.909
910,0.11699723400000002,6.163820922,0.91
911,0.11716569842285837,6.1715964219,0.911
912,0.11737407164557688,6.1793719218000005,0.912
913,0.11761384729963642,6.1871474217,0.913
914,0.11787651901651792,6.1949229216,0.914
915,0.11815358042770235,6.2026984215,0.915
916,0.11843652516467054,6.2104739214,0.916
917,0.11871684685890349,6.2182494213,0.917
918,0.11898603914188212,6.2260249212,0.918
919,0.11923559564508733,6.2338004211,0.919
920,0.11945701000000002,6.241575921,0.92
921,0.11964415974078231,6.2502733913,0.921
922,0.11980045801232087,6.2589708616,0.922
923,0.11993170186218358,6.2676683319,0.923
924,0.12004368833793834,6.2763658022,0.924
925,0.12014221448715298,6.2850632725,0.925
926,0.1202330773573954,6.2937607428,0.926
927,0.12032207399623343,6.3024582131,0.927
928,0.12041500145123497,6.3111556834,0.928
929,0.12051765676996787,6.3198531537000004,0.929
930,0.12063583699999998,6.328550624,0.93
931,0.1207739512930125,6.3367339434000005,0.931
932,0.1209308572171397,6.3449172628,0.932
933,0.12110402444462923,6.353100582200001,0.933
934,0.12129092264772867,6.3612839016,0.934
935,0.12148902149868568,6.369467221000001,0.935
936,0.12169579066974782,6.3776505404,0.936
937,0.12190869983316271,6.385833859800001,0.937
938,0.12212521866117794,6.3940171792,0.938
939,0.12234281682604119,6.402200498599999,0.939
940,0.122558964,6.410383818,0.94
941,0.12277104861716771,6.4185247386999995,0.941
942,0.12297613415912031,6.426665659399999,0.942
943,0.12317120286929947,6.4348065801,0.943
944,0.12335323699114695,6.4429475008,0.944
945,0.12351921876810434,6.4510884215,0.945
946,0.12366613044361341,6.4592293422,0.946
