nm,n,k,wl
900,4.252846071204557,0.29261764705882354,0.9
901,4.2516935533333635,0.29216176470588234,0.901
902,4.250549998355988,0.29170588235294115,0.902
903,4.249415267746099,0.29125,0.903
904,4.248289222977359,0.2907941176470588,0.904
905,4.247171725523431,0.2903382352941176,0.905
906,4.246062636857985,0.2898823529411765,0.906
907,4.244961818454683,0.2894264705882353,0.907
908,4.24386913178719,0.2889705882352941,0.908
909,4.24278443832917,0.2885147058823529,0.909
910,4.241707599554289,0.28805882352941176,0.91
911,4.240638476936212,0.28760294117647056,0.911
912,4.239576931948602,0.28714705882352937,0.912
913,4.238522826065128,0.2866911764705882,0.913
914,4.237476020759452,0.28623529411764703,0.914
915,4.236436377505239,0.28577941176470584,0.915
916,4.235403757776153,0.2853235294117647,0.916
917,4.234378023045861,0.2848676470588235,0.917
918,4.233359034788026,0.2844117647058823,0.918
919,4.232346654476314,0.28395588235294117,0.919
920,4.23134074358439,0.2835,0.92
921,4.230341163585919,0.2830441176470588,0.921
922,4.229347775954565,0.28258823529411764,0.922
923,4.228360442163995,0.28213235294117645,0.923
924,4.22737902368787,0.28167647058823525,0.924
925,4.226403381999859,0.2812205882352941,0.925
926,4.225433378573624,0.2807647058823529,0.926
927,4.224468874882831,0.2803088235294117,0.927
928,4.223509732401145,0.2798529411764706,0.928
929,4.22255581260223,0.2793970588235294,0.929
930,4.2216069769597535,0.2789411764705882,0.93
931,4.2206630869473765,0.27848529411764705,0.931
932,4.219724004038768,0.27802941176470586,0.932
933,4.21878958970759,0.27757352941176466,0.933
934,4.217859705427507,0.2771176470588235,0.934
935,4.216934212672187,0.27666176470588233,0.935
936,4.2160129729152915,0.27620588235294113,0.936
937,4.2150958476304865,0.27575,0.937
938,4.214182698291439,0.27529411764705886,0.938
939,4.213273386371811,0.27483823529411766,0.939
940,4.212367773345269,0.27438235294117647,0.94
941,4.211465720685478,0.2739264705882353,0.941
942,4.210567089866101,0.27347058823529413,0.942
943,4.209671742360804,0.27301470588235294,0.943
944,4.208779539643254,0.2725588235294118,0.944
945,4.207890343187112,0.2721029411764706,0.945
946,4.2070040144660465,0.2716470588235294,0.946
947,4.206120414953721,0.27119117647058827,0.947
948,4.205239406123798,0.2707352941176471,0.948
949,4.204360849449946,0.2702794117647059,0.949
950,4.20348460640583,0.26982352941176474,0.95
951,4.202610538465111,0.26936764705882354,0.951
952,4.201738507101457,0.26891176470588235,0.952
953,4.2008683737885315,0.2684558823529412,0.953
954,4.200000000000001,0.268,0.954
955,4.199133277350144,0.2674556962025317,0.955
956,4.198268218015707,0.2669113924050633,0.956
957,4.19740486431405,0.26636708860759495,0.957
958,4.196543258562533,0.2658227848101266,0.958
959,4.195683443078516,0.2652784810126582,0.959
960,4.1948254601793575,0.2647341772151899,0.96
961,4.19396935218242,0.26418987341772154,0.961
962,4.193115161405064,0.26364556962025315,0.962
963,4.19226293016465,0.2631012658227848,0.963
964,4.1914127007785345,0.2625569620253165,0.964
965,4.190564515564082,0.2620126582278481,0.965
966,4.1897184168386525,0.26146835443037975,0.966
967,4.188874446919605,0.2609240506329114,0.967
968,4.188032648124297,0.260379746835443,0.968
969,4.187193062770094,0.2598354430379747,0.969
970,4.186355733174353,0.25929113924050634,0.97
971,4.185520701654435,0.25874683544303795,0.971
972,4.184688010527701,0.2582025316455696,0.972
973,4.183857702111509,0.2576582278481013,0.973
974,4.183029818723224,0.25711392405063294,0.974
975,4.182204402680201,0.25656962025316454,0.975
976,4.181381496299803,0.2560253164556962,0.976
977,4.18056114189939,0.25548101265822787,0.977
978,4.179743381796321,0.2549367088607595,0.978
979,4.178928258307957,0.25439240506329114,0.979
980,4.178115813751659,0.2538481012658228,0.98
981,4.177306090444787,0.2533037974683544,0.981
982,4.176499130704701,0.25275949367088607,0.982
983,4.175694976848762,0.25221518987341773,0.983
984,4.174893671194327,0.25167088607594934,0.984
985,4.17409525605876,0.251126582278481,0.985
986,4.173299773759421,0.25058227848101267,0.986
987,4.172507266613668,0.2500379746835443,0.987
988,4.171717776938863,0.24949367088607594,0.988
989,4.170931347052366,0.24894936708860757,0.989
990,4.1701480192715366,0.24840506329113923,0.99
991,4.169367835913737,0.24786075949367087,0.991
992,4.168590839296324,0.2473164556962025,0.992
993,4.167817071736661,0.24677215189873417,0.993
994,4.167046575552107,0.2462278481012658,0.994
995,4.166279393060024,0.24568354430379744,0.995
996,4.165515566577768,0.2451392405063291,0.996
997,4.164755138422703,0.24459493670886073,0.997
998,4.163998150912189,0.24405063291139237,0.998
999,4.163244646363583,0.24350632911392403,0.999
1000,4.16249466709425,0.24296202531645567,1.0
1001,4.161748255421547,0.24241772151898738,1.001
1002,4.161005453662836,0.24187341772151896,1.002
1003,4.160266304135474,0.24132911392405065,1.003
1004,4.159530849156826,0.24078481012658226,1.004
1005,4.158799131044249,0.24024050632911395,1.005
1006,4.158071192115106,0.23969620253164553,1.006
1007,4.157347074686753,0.23915189873417725,1.007
1008,4.1566268210765545,0.23860759493670883,1.008
1009,4.155910473601868,0.23806329113924052,1.009
1010,4.155198074580056,0.23751898734177213,1.01
1011,4.154489666328478,0.23697468354430382,1.011
1012,4.153785291164493,0.2364303797468354,1.012
1013,4.153084991405461,0.2358860759493671,1.013
1014,4.152388809368745,0.2353417721518987,1.014
1015,4.1516967873717014,0.23479746835443038,1.015
1016,4.151008967731695,0.234253164556962,1.016
1017,4.150325392766082,0.23370886075949368,1.017
1018,4.149646104792226,0.23316455696202526,1.018
1019,4.148971146127485,0.23262025316455698,1.019
1020,4.148300559089219,0.23207594936708856,1.02
1021,4.147634385994791,0.23153164556962028,1.021
1022,4.146972669161558,0.23098734177215186,1.022
1023,4.146315450906883,0.23044303797468355,1.023
1024,4.145662773548124,0.22989873417721512,1.024
1025,4.1450146794026415,0.22935443037974684,1.025
1026,4.1443712107877975,0.22881012658227842,1.026
1027,4.143732410020951,0.22826582278481014,1.027
1028,4.143098319419462,0.22772151898734172,1.028
1029,4.142468981300693,0.22717721518987344,1.029
1030,4.141844437982001,0.22663291139240502,1.03
1031,4.141224731780747,0.2260886075949367,1.031
1032,4.140609905014295,0.2255443037974683,1.032
1033,4.14,0.225,1.033
1034,4.139395041367843,0.2247446808510638,1.034
1035,4.138794982998275,0.22448936170212766,1.035
1036,4.138199761084361,0.22423404255319146,1.036
1037,4.1376093118191735,0.22397872340425531,1.037
1038,4.137023571395778,0.2237234042553191,1.038
1039,4.136442476007244,0.223468085106383,1.039
1040,4.135865961846639,0.2232127659574468,1.04
1041,4.135293965107032,0.22295744680851065,1.041
1042,4.134726421981492,0.22270212765957445,1.042
1043,4.134163268663087,0.2224468085106383,1.043
1044,4.133604441344884,0.2221914893617021,1.044
1045,4.1330498762199515,0.22193617021276596,1.045
1046,4.132499509481359,0.22168085106382976,1.046
1047,4.131953277322175,0.22142553191489361,1.047
1048,4.131411115935466,0.2211702127659574,1.048
1049,4.130872961514302,0.2209148936170213,1.049
1050,4.1303387502517515,0.2206595744680851,1.05
1051,4.129808418340882,0.22040425531914895,1.051
1052,4.129281901974761,0.22014893617021275,1.052
1053,4.128759137346459,0.2198936170212766,1.053
1054,4.128240060649044,0.2196382978723404,1.054
1055,4.127724608075582,0.21938297872340426,1.055
1056,4.127212715819142,0.21912765957446806,1.056
1057,4.126704320072794,0.2188723404255319,1.057
1058,4.1261993570296065,0.2186170212765957,1.058
1059,4.125697762882645,0.2183617021276596,1.059
1060,4.12519947382498,0.2181063829787234,1.06
1061,4.12470442604968,0.21785106382978725,1.061
1062,4.124212555749813,0.21759574468085105,1.062
1063,4.123723799118446,0.2173404255319149,1.063
1064,4.1232380923486485,0.2170851063829787,1.064
1065,4.122755371633491,0.21682978723404256,1.065
1066,4.122275573166037,0.21657446808510636,1.066
1067,4.12179863313936,0.2163191489361702,1.067
1068,4.121324487746524,0.216063829787234,1.068
1069,4.120853073180599,0.21580851063829787,1.069
1070,4.120384325634653,0.2155531914893617,1.07
1071,4.119918181301756,0.21529787234042555,1.071
1072,4.119454576374974,0.21504255319148935,1.072
