nm,n,k,wl
900,1.4187213104541765,0.00037892592592592595,0.9
901,1.4187162504261954,0.0003784185692541857,0.901
902,1.4187110855424974,0.00037791159383682757,0.902
903,1.4187057871787236,0.000377406415761556,0.903
904,1.4187004290952603,0.0003769012376862844,0.904
905,1.418695100053984,0.0003763960596110129,0.905
906,1.4186898885163328,0.0003758913480885312,0.906
907,1.418684830541612,0.00037538832997987924,0.907
908,1.4186798503841256,0.00037488531187122734,0.908
909,1.4186748579319168,0.00037438229376257544,0.909
910,1.4186697634677214,0.00037393990986479716,0.91
911,1.4186645301322331,0.00037368953430145217,0.911
912,1.4186592265883637,0.00037343915873810717,0.912
913,1.4186539340323936,0.0003731887831747622,0.913
914,1.4186487333420552,0.00037287733732236354,0.914
915,1.4186436652765848,0.0003723787085514834,0.915
916,1.4186386918177638,0.00037188007978060334,0.916
917,1.4186337657749613,0.0003713814510097232,0.917
918,1.4186288400915679,0.0003708833457433606,0.918
919,1.4186238866271141,0.0003703869446512782,0.919
920,1.4186189155288362,0.0003698905435591958,0.92
921,1.418613941567276,0.0003693941424671134,0.921
922,1.4186089794736294,0.00036889819619471216,0.922
923,1.4186040362415715,0.0003684040029651594,0.923
924,1.4185991018889175,0.0003679098097356066,0.924
925,1.418594164180455,0.00036741561650605384,0.925
926,1.418589210911615,0.00036696087598425193,0.926
927,1.4185842416242678,0.00036671481299212596,0.927
928,1.4185792852905144,0.00036646875,0.928
929,1.418574375417197,0.000366222687007874,0.929
930,1.4185695455017235,0.0003659767270945615,0.93
931,1.4185648146318421,0.0003657317491425771,0.931
932,1.4185601584471978,0.0003654867711905928,0.932
933,1.4185555444311404,0.0003652417932386085,0.933
934,1.4185509400670337,0.0003649936585365853,0.934
935,1.4185463198286261,0.00036450585365853654,0.935
936,1.4185416850819077,0.00036401804878048776,0.936
937,1.4185370436587526,0.000363530243902439,0.937
938,1.4185324033910334,0.00036304243902439024,0.938
939,1.4185277712280586,0.00036255658086449733,0.939
940,1.4185231495308295,0.00036207090820786794,0.94
941,1.4185185391739616,0.0003615852355512385,0.941
942,1.4185139410313066,0.0003610995628946091,0.942
943,1.4185093549904835,0.0003608078317621465,0.943
944,1.4185047735320702,0.0003605661107082427,0.944
945,1.4185001857699768,0.00036032438965433893,0.945
946,1.418495580801204,0.0003600826686004351,0.946
947,1.4184909502163756,0.0003596831969186327,0.947
948,1.4184863155255514,0.0003592017332691382,0.948
949,1.4184817179931544,0.00035872026961964376,0.949
950,1.4184771992337386,0.00035823880597014927,0.95
951,1.4184727984518768,0.00035775844716031633,0.951
952,1.418468500449909,0.00035727917565300744,0.952
953,1.418464236192675,0.00035679990414569856,0.953
954,1.418459934347978,0.0003563206326383896,0.954
955,1.418455524483256,0.0003559210023866348,0.955
956,1.4184509910620056,0.00035568233890214795,0.956
957,1.4184464041687412,0.0003554436754176611,0.957
958,1.4184418413157713,0.0003552050119331742,0.958
959,1.418437379944349,0.00035493301662707844,0.959
960,1.4184330601270327,0.0003544579572446556,0.96
961,1.4184288233553264,0.0003539828978622328,0.961
962,1.4184245950542376,0.00035350783847980997,0.962
963,1.418420300648773,0.00035303277909738717,0.963
964,1.4184158835193064,0.00035255949846226643,0.964
965,1.4184113754356389,0.00035208634965696716,0.965
966,1.418406835320142,0.0003516132008516679,0.966
967,1.4184023221024968,0.00035114005204636863,0.967
968,1.4183978911802104,0.000351,0.968
969,1.4183935619916017,0.000351,0.969
970,1.4183893329888464,0.000351,0.97
971,1.4183852023615795,0.000351,0.971
972,1.4183811674893132,0.0003507856975381009,0.972
973,1.4183772027389625,0.0003503167643610786,0.973
974,1.4183732567315375,0.00034984783118405634,0.974
975,1.4183692767291056,0.00034937889800703404,0.975
976,1.4183652101243047,0.0003489103641456583,0.976
977,1.4183610350318738,0.0003484435107376284,0.977
978,1.4183567996688862,0.0003479766573295985,0.978
979,1.4183525619838593,0.0003475098039215686,0.979
980,1.4183483799253103,0.00034704295051353874,0.98
981,1.4183443008468561,0.00034678893537889354,0.981
982,1.4183403161769774,0.0003465564853556485,0.982
983,1.4183363989590043,0.0003463240353324035,0.983
984,1.418332522225246,0.00034609158530915854,0.984
985,1.418328659075316,0.0003457195093728304,0.985
986,1.4183247835923485,0.00034525665355241846,0.986
987,1.4183208706047299,0.0003447937977320065,0.987
988,1.4183168949593428,0.00034433094191159457,0.988
989,1.4183128318061156,0.0003439343469246718,0.989
990,1.4183086828595892,0.00034370398525685326,0.99
991,1.4183044967275316,0.0003434736235890348,0.991
992,1.4183003268028083,0.0003432432619212163,0.992
993,1.4182962264782848,0.00034301290025339783,0.993
994,1.4182922357370127,0.0003425668731360404,0.994
995,1.4182883310908703,0.0003421080523055747,0.995
996,1.4182844702914552,0.00034164923147510896,0.996
997,1.4182806110875628,0.00034119041064464324,0.997
998,1.4182767140453874,0.0003407325714285714,0.998
999,1.4182727844976997,0.0003402754285714285,0.999
1000,1.4182688636242862,0.0003398182857142857,1.0
1001,1.418264993610766,0.0003393611428571429,1.001
1002,1.4182612164960688,0.00033895227272727273,1.002
1003,1.418257546845526,0.000338725,1.003
1004,1.4182539396181417,0.0003384977272727273,1.004
1005,1.4182503419635122,0.00033827045454545455,1.005
1006,1.4182467010312307,0.0003380431818181818,1.006
1007,1.4182429710428002,0.000337633484162896,1.007
1008,1.4182391568394002,0.0003371809954751131,1.008
1009,1.4182352853215985,0.00033672850678733037,1.009
1010,1.4182313834812361,0.0003362760180995475,1.01
1011,1.4182274781848057,0.000336,1.011
1012,1.41822359112517,0.000336,1.012
1013,1.4182197370951168,0.000336,1.013
1014,1.4182159304077977,0.000336,1.014
1015,1.418212185376363,0.000336,1.015
1016,1.4182085116486864,0.00033557303370786515,1.016
1017,1.4182048971868242,0.000335123595505618,1.017
1018,1.4182013236565105,0.00033467415730337077,1.018
1019,1.4181977727227997,0.00033422471910112364,1.019
1020,1.4181942263422216,0.0003338883928571429,1.02
1021,1.4181906731752314,0.0003336651785714286,1.021
1022,1.418187108586211,0.0003334419642857143,1.022
1023,1.4181835282310185,0.0003332187500000001,1.023
1024,1.4181799277655576,0.00033299109131403124,1.024
1025,1.418176309020508,0.00033254565701559027,1.025
1026,1.4181726970879485,0.00033210022271714924,1.026
1027,1.4181691225365691,0.0003316547884187083,1.027
1028,1.4181656159350626,0.0003312093541202673,1.028
1029,1.418162205920781,0.0003307654867256638,1.029
1030,1.4181588823936873,0.0003303230088495575,1.03
1031,1.4181555994331094,0.00032988053097345136,1.031
1032,1.4181523097715096,0.00032943805309734514,1.032
1033,1.418148966141363,0.00032899779249448126,1.033
1034,1.418145533487678,0.00032877704194260487,1.034
1035,1.4181420241620335,0.00032855629139072847,1.035
1036,1.418138462017361,0.0003283355408388521,1.036
1037,1.4181348709065915,0.00032811479028697574,1.037
1038,1.4181312746242496,0.0003277894736842105,1.038
1039,1.4181276954863753,0.0003273508771929825,1.039
1040,1.4181241542513292,0.0003269122807017544,1.04
1041,1.4181206716032135,0.0003264736842105263,1.041
1042,1.4181172682261283,0.0003260350877192982,1.042
1043,1.418113955942803,0.00032579868708971555,1.043
1044,1.4181107014759784,0.00032557986870897156,1.044
1045,1.418107457236337,0.00032536105032822757,1.045
1046,1.418104175628735,0.00032514223194748357,1.046
1047,1.4181008097420802,0.00032484782608695656,1.047
1048,1.4180973491832578,0.0003244130434782609,1.048
1049,1.418093837702922,0.00032397826086956526,1.049
1050,1.418090323433246,0.0003235434782608696,1.05
1051,1.4180868545064036,0.00032310869565217395,1.051
1052,1.4180834738508599,0.00032283731019522777,1.052
1053,1.4180801791035431,0.00032262039045553143,1.053
1054,1.4180769445810577,0.0003224034707158351,1.054
