nm,n,k,wl
900,2.267586,0.0,0.9
901,2.2674760293307297,0.0,0.901
902,2.2673664639873645,0.0,0.902
903,2.2672572839786347,0.0,0.903
904,2.2671484693132693,0.0,0.904
905,2.26704,0.0,0.905
906,2.26693186297539,0.0,0.906
907,2.2668240728873457,0.0,0.907
908,2.2667166513116057,0.0,0.908
909,2.2666096198239103,0.0,0.909
910,2.266503,0.0,0.91
911,2.266396806767709,0.0,0.911
912,2.2662910284632525,0.0,0.912
913,2.2661856467749417,0.0,0.913
914,2.266080643391087,0.0,0.914
915,2.265976,0.0,0.915
916,2.2658717019537744,0.0,0.916
917,2.2657677492596435,0.0,0.917
918,2.2656641455886257,0.0,0.918
919,2.2655608946117387,0.0,0.919
920,2.265458,0.0,0.92
921,2.2653554654171932,0.0,0.921
922,2.265253294498172,0.0,0.922
923,2.265151490870553,0.0,0.923
924,2.265050058161956,0.0,0.924
925,2.2649490000000005,0.0,0.925
926,2.2648483163774507,0.0,0.926
927,2.2647479927476684,0.0,0.927
928,2.26464801092916,0.0,0.928
929,2.264548352740435,0.0,0.929
930,2.264449,0.0,0.93
931,2.2643499410730032,0.0,0.931
932,2.2642511905111546,0.0,0.932
933,2.264152769412805,0.0,0.933
934,2.264054698876303,0.0,0.934
935,2.2639569999999996,0.0,0.935
936,2.263859687330536,0.0,0.936
937,2.263762749207712,0.0,0.937
938,2.2636661674196206,0.0,0.938
939,2.2635699237543525,0.0,0.939
940,2.263474,0.0,0.94
941,2.263378381604853,0.0,0.941
942,2.263283068657997,0.0,0.942
943,2.263188064908714,0.0,0.943
944,2.2630933741062877,0.0,0.944
945,2.262999,0.0,0.945
946,2.2629049462500506,0.0,0.946
947,2.2628112161602996,0.0,0.947
948,2.262717812945523,0.0,0.948
949,2.2626247398204975,0.0,0.949
950,2.262532,0.0,0.95
951,2.262439593394944,0.0,0.951
952,2.262347506700804,0.0,0.952
953,2.2622557233091922,0.0,0.953
954,2.26216422661172,0.0,0.954
955,2.2620729999999996,0.0,0.955
956,2.2619820321701707,0.0,0.956
957,2.2618913330364814,0.0,0.957
958,2.2618009178177063,0.0,0.958
959,2.2617108017326206,0.0,0.959
960,2.261621,0.0,0.96
961,2.261531525924369,0.0,0.961
962,2.2614423851532663,0.0,0.962
963,2.261353581419979,0.0,0.963
964,2.2612651184577937,0.0,0.964
965,2.261177,0.0,0.965
966,2.2610892241323475,0.0,0.966
967,2.2610017663504482,0.0,0.967
968,2.2609145965023747,0.0,0.968
969,2.2608276844362005,0.0,0.969
970,2.260741,0.0,0.97
971,2.2606545215462366,0.0,0.971
972,2.260568261444938,0.0,0.972
973,2.260482240570521,0.0,0.973
974,2.2603964797974028,0.0,0.974
975,2.260311,0.0,0.975
976,2.2602258176827035,0.0,0.976
977,2.2601409318697976,0.0,0.977
978,2.2600563372155404,0.0,0.978
979,2.2599720283741886,0.0,0.979
980,2.2598880000000006,0.0,0.98
981,2.2598042477229474,0.0,0.981
982,2.259720771075869,0.0,0.982
983,2.2596375705673166,0.0,0.983
984,2.2595546467058427,0.0,0.984
985,2.2594720000000006,0.0,0.985
986,2.259389631425504,0.0,0.986
987,2.2593075438267243,0.0,0.987
988,2.2592257405151925,0.0,0.988
989,2.25914422480244,0.0,0.989
990,2.2590630000000003,0.0,0.99
991,2.258982066575034,0.0,0.991
992,2.258901413617232,0.0,0.992
993,2.258821027371913,0.0,0.993
994,2.2587408940843954,0.0,0.994
995,2.258661,0.0,0.995
996,2.2585813342743584,0.0,0.996
997,2.2585018977043467,0.0,0.997
998,2.258422693997157,0.0,0.998
999,2.258343726859978,0.0,0.999
1000,2.2582649999999997,0.0,1.0
1001,2.2581865163275343,0.0,1.001
1002,2.25810827556538,0.0,1.002
1003,2.2580302766394587,0.0,1.003
1004,2.257952518475692,0.0,1.004
1005,2.2578749999999994,0.0,1.005
1006,2.257797720415505,0.0,1.006
1007,2.257720680034132,0.0,1.007
1008,2.2576438794450064,0.0,1.008
1009,2.2575673192372534,0.0,1.009
1010,2.257491,0.0,1.01
1011,2.2574149220104456,0.0,1.011
1012,2.2573390842980925,0.0,1.012
1013,2.257263485580516,0.0,1.013
1014,2.257188124575293,0.0,1.014
1015,2.257113,0.0,1.015
1016,2.257038111542711,0.0,1.016
1017,2.256963462773499,0.0,1.017
1018,2.25688905823293,0.0,1.018
1019,2.2568149024615742,0.0,1.019
1020,2.2567410000000003,0.0,1.02
1021,2.2566673518187073,0.0,1.021
1022,2.256593944607913,0.0,1.022
1023,2.256520761487765,0.0,1.023
1024,2.2564477855784113,0.0,1.024
1025,2.256375,0.0,1.025
1026,2.2563023931824597,0.0,1.026
1027,2.2562299747948504,0.0,1.027
1028,2.2561577598160105,0.0,1.028
1029,2.25608576322478,0.0,1.029
1030,2.2560140000000004,0.0,1.03
1031,2.2559424834514523,0.0,1.031
1032,2.255871220212687,0.0,1.032
1033,2.255800215248195,0.0,1.033
1034,2.255729473522469,0.0,1.034
1035,2.255659,0.0,1.035
1036,2.255588793011731,0.0,1.036
1037,2.2555188243544038,0.0,1.037
1038,2.2554490591912115,0.0,1.038
1039,2.255379462685345,0.0,1.039
1040,2.2553100000000006,0.0,1.04
1041,2.2552406485016254,0.0,1.041
1042,2.2551714343697005,0.0,1.042
1043,2.2551023959869636,0.0,1.043
1044,2.2550335717361505,0.0,1.044
1045,2.254965,0.0,1.045
1046,2.254896708981768,0.0,1.046
1047,2.2548286861667948,0.0,1.047
1048,2.2547609088609364,0.0,1.048
1049,2.254693354370052,0.0,1.049
1050,2.254626,0.0,1.05
1051,2.2545588275713,0.0,1.051
1052,2.254491836963121,0.0,1.052
1053,2.2544250325692907,0.0,1.053
1054,2.2543584187836405,0.0,1.054
1055,2.2542919999999995,0.0,1.055
1056,2.2542257807330293,0.0,1.056
1057,2.254159765980722,0.0,1.057
1058,2.254093960861899,0.0,1.058
1059,2.2540283704953836,0.0,1.059
1060,2.253963,0.0,1.06
1061,2.25389784949658,0.0,1.061
1062,2.2538328991139926,0.0,1.062
1063,2.2537681239831144,0.0,1.063
1064,2.253703499234824,0.0,1.064
1065,2.2536389999999997,0.0,1.065
1066,2.2535746132806507,0.0,1.066
1067,2.253510373563311,0.0,1.067
1068,2.253446327205645,0.0,1.068
1069,2.2533825205653195,0.0,1.069
1070,2.253319,0.0,1.07
1071,2.253255793380817,0.0,1.071
1072,2.2531928546327658,0.0,1.072
1073,2.2531301191943056,0.0,1.073
1074,2.2530675225038967,0.0,1.074
1075,2.2530049999999995,0.0,1.075
1076,2.2529425091960795,0.0,1.076
1077,2.252880095905626,0.0,1.077
1078,2.252817828017132,0.0,1.078
1079,2.252755773419091,0.0,1.079
1080,2.252694,0.0,1.08
1081,2.2526325538348635,0.0,1.081
1082,2.252571393744732,0.0,1.082
1083,2.2525104567371694,0.0,1.083
1084,2.2524496798197373,0.0,1.084
1085,2.252389,0.0,1.085
1086,2.2523283714644675,0.0,1.086
1087,2.252267817115447,0.0,1.087
1088,2.252207377034192,0.0,1.088
1089,2.252147091301958,0.0,1.089
1090,2.2520870000000004,0.0,1.09
1091,2.252027136307267,0.0,1.091
1092,2.2519675057934823,0.0,1.092
1093,2.251908107126064,0.0,1.093
1094,2.2518489389724303,0.0,1.094
1095,2.25179,0.0,1.095
1096,2.251731283306466,0.0,1.096
1097,2.251672759710626,0.0,1.097
1098,2.2516143944615536,0.0,1.098
1099,2.2515561528083206,0.0,1.099
