nm,n,k,wl
900,1.468184,0.0,0.9
901,1.4681754872610735,0.0,0.901
902,1.4681670324703815,0.0,0.902
903,1.468158634049153,0.0,0.903
904,1.4681502904186159,0.0,0.904
905,1.4681420000000003,0.0,0.905
906,1.4681337588879033,0.0,0.906
907,1.468125553870406,0.0,0.907
908,1.4681173694089567,0.0,0.908
909,1.4681091899650047,0.0,0.909
910,1.468101,0.0,0.91
911,1.4680927891873115,0.0,0.911
912,1.4680845680479933,0.0,0.912
913,1.468076352315019,0.0,0.913
914,1.4680681577213632,0.0,0.914
915,1.46806,0.0,0.915
916,1.468051892362849,0.0,0.916
917,1.4680438379376195,0.0,0.917
918,1.468035837330965,0.0,0.918
919,1.4680278911495401,0.0,0.919
920,1.46802,0.0,0.92
921,1.4680121613612904,0.0,0.921
922,1.4680043602015278,0.0,0.922
923,1.4679965783611195,0.0,0.923
924,1.4679887976804742,0.0,0.924
925,1.467981,0.0,0.925
926,1.467973174191988,0.0,0.926
927,1.4679653372562687,0.0,0.927
928,1.4679575132245553,0.0,0.928
929,1.467949726128561,0.0,0.929
930,1.467942,0.0,0.93
931,1.4679343498707567,0.0,0.931
932,1.4679267547733974,0.0,0.932
933,1.4679191847406599,0.0,0.933
934,1.4679116098052813,0.0,0.934
935,1.4679039999999999,0.0,0.935
936,1.4678963383249861,0.0,0.936
937,1.4678886596501428,0.0,0.937
938,1.4678810118128067,0.0,0.938
939,1.4678734426503135,0.0,0.939
940,1.467866,0.0,0.94
941,1.4678587128292988,0.0,0.941
942,1.4678515346260317,0.0,0.942
943,1.4678444000081141,0.0,0.943
944,1.4678372435934646,0.0,0.944
945,1.4678299999999997,0.0,0.945
946,1.4678226263578165,0.0,0.946
947,1.4678151698457307,0.0,0.947
948,1.4678077001547356,0.0,0.948
949,1.4678002869758273,0.0,0.949
950,1.4677930000000001,0.0,0.95
951,1.467785885739433,0.0,0.951
952,1.4677788979910458,0.0,0.952
953,1.4677719673729417,0.0,0.953
954,1.467765024503225,0.0,0.954
955,1.467758,0.0,0.955
956,1.4677508466844502,0.0,0.956
957,1.467743606190086,0.0,0.957
958,1.4677363423534964,0.0,0.958
959,1.467729119011271,0.0,0.959
960,1.4677220000000002,0.0,0.96
961,1.4677150315227638,0.0,0.961
962,1.467708189248609,0.0,0.962
963,1.4677014312130718,0.0,0.963
964,1.46769471545169,0.0,0.964
965,1.4676880000000003,0.0,0.965
966,1.467681251224493,0.0,0.966
967,1.4676744688154777,0.0,0.967
968,1.4676676607942156,0.0,0.968
