nm,n,k,wl
900,2.083597,0.0,0.9
901,2.083503,0.0,0.901
902,2.0834090000000005,0.0,0.902
903,2.0833160000000004,0.0,0.903
904,2.0832230000000003,0.0,0.904
905,2.0831310000000003,0.0,0.905
906,2.0830380000000006,0.0,0.906
907,2.082947,0.0,0.907
908,2.0828550000000003,0.0,0.908
909,2.0827640000000005,0.0,0.909
910,2.082673,0.0,0.91
911,2.082582,0.0,0.911
912,2.0824919999999993,0.0,0.912
913,2.082402,0.0,0.913
914,2.0823130000000005,0.0,0.914
915,2.0822230000000004,0.0,0.915
916,2.0821340000000004,0.0,0.916
917,2.082046,0.0,0.917
918,2.081957,0.0,0.918
919,2.0818690000000006,0.0,0.919
920,2.081782,0.0,0.92
921,2.0816940000000006,0.0,0.921
922,2.081607,0.0,0.922
923,2.08152,0.0,0.923
924,2.081434,0.0,0.924
925,2.081348,0.0,0.925
926,2.0812620000000006,0.0,0.926
927,2.081176,0.0,0.927
928,2.0810910000000002,0.0,0.928
929,2.081006,0.0,0.929
930,2.080921,0.0,0.93
931,2.0808370000000003,0.0,0.931
932,2.080753,0.0,0.932
933,2.080669,0.0,0.933
934,2.080585,0.0,0.934
935,2.080502,0.0,0.935
936,2.08042,0.0,0.936
937,2.080337,0.0,0.937
938,2.0802549999999997,0.0,0.938
939,2.080172,0.0,0.939
940,2.0800910000000004,0.0,0.94
941,2.0800090000000004,0.0,0.941
942,2.0799280000000007,0.0,0.942
943,2.0798470000000004,0.0,0.943
944,2.079766,0.0,0.944
945,2.0796860000000006,0.0,0.945
946,2.0796060000000005,0.0,0.946
947,2.0795260000000004,0.0,0.947
948,2.079447,0.0,0.948
949,2.079367,0.0,0.949
950,2.079288,0.0,0.95
951,2.0792100000000002,0.0,0.951
952,2.0791310000000003,0.0,0.952
953,2.079053,0.0,0.953
954,2.0789750000000002,0.0,0.954
955,2.078897,0.0,0.955
956,2.07882,0.0,0.956
957,2.078743,0.0,0.957
958,2.0786660000000006,0.0,0.958
959,2.078589,0.0,0.959
960,2.078513,0.0,0.96
961,2.078437,0.0,0.961
962,2.0783610000000006,0.0,0.962
963,2.078285,0.0,0.963
964,2.0782100000000003,0.0,0.964
965,2.078135,0.0,0.965
966,2.0780600000000002,0.0,0.966
967,2.0779850000000004,0.0,0.967
968,2.0779110000000003,0.0,0.968
969,2.077837,0.0,0.969
970,2.077763,0.0,0.97
971,2.0776890000000003,0.0,0.971
972,2.077616,0.0,0.972
973,2.077543,0.0,0.973
974,2.07747,0.0,0.974
975,2.077397,0.0,0.975
976,2.077325,0.0,0.976
977,2.0772530000000002,0.0,0.977
978,2.0771810000000004,0.0,0.978
979,2.077109,0.0,0.979
980,2.077038,0.0,0.98
981,2.076967,0.0,0.981
982,2.0768950000000004,0.0,0.982
983,2.0768250000000004,0.0,0.983
984,2.076754,0.0,0.984
985,2.0766840000000006,0.0,0.985
986,2.076614,0.0,0.986
987,2.076544,0.0,0.987
988,2.076474,0.0,0.988
989,2.0764050000000003,0.0,0.989
990,2.0763360000000004,0.0,0.99
991,2.076267,0.0,0.991
992,2.076198,0.0,0.992
993,2.0761300000000005,0.0,0.993
994,2.076061,0.0,0.994
995,2.075994,0.0,0.995
996,2.075926,0.0,0.996
997,2.075858,0.0,0.997
998,2.0757910000000006,0.0,0.998
999,2.075724,0.0,0.999
1000,2.075657,0.0,1.0
1001,2.0755900374477796,0.0,1.001
1002,2.075523258345751,0.0,1.002
1003,2.07545685425927,0.0,1.003
1004,2.075390829274818,0.0,1.004
1005,2.075325,0.0,1.005
1006,2.0752592372247705,0.0,1.006
1007,2.0751936610735147,0.0,1.007
1008,2.075128446988676,0.0,1.008
1009,2.075063609055094,0.0,1.009
1010,2.0749990000000005,0.0,1.01
1011,2.0749344996990104,0.0,1.011
1012,2.074870124683462,0.0,1.012
1013,2.0748059235822063,0.0,1.013
1014,2.074741897496499,0.0,1.014
1015,2.074678,0.0,1.015
1016,2.074614214561372,0.0,1.016
1017,2.074550652494955,0.0,1.017
1018,2.0744874511622142,0.0,1.018
1019,2.074424611895891,0.0,1.019
1020,2.074362,0.0,1.02
1021,2.074299504160202,0.0,1.021
1022,2.0742371302459097,0.0,1.022
1023,2.074174912688796,0.0,1.023
1024,2.0741128690459747,0.0,1.024
1025,2.074051,0.0,1.025
1026,2.073989299681459,0.0,1.026
1027,2.073927738947782,0.0,1.027
1028,2.0738662864809334,0.0,1.028
1029,2.073804994747761,0.0,1.029
1030,2.0737439999999996,0.0,1.03
1031,2.073683395380218,0.0,1.031
1032,2.073623087023039,0.0,1.032
1033,2.073562938044271,0.0,1.033
1034,2.073502897422683,0.0,1.034
1035,2.073443,0.0,1.035
1036,2.0733832756415995,0.0,1.036
1037,2.0733237193747716,0.0,1.037
1038,2.0732643181388726,0.0,1.038
1039,2.0732050731698015,0.0,1.039
1040,2.0731460000000004,0.0,1.04
1041,2.073087103602179,0.0,1.041
1042,2.0730283442237676,0.0,1.042
1043,2.0729696758999463,0.0,1.043
1044,2.072911166954536,0.0,1.044
1045,2.0728529999999994,0.0,1.045
1046,2.072795278788907,0.0,1.046
1047,2.0727377717579785,0.0,1.047
1048,2.072680176460381,0.0,1.048
1049,2.072622488193712,0.0,1.049
1050,2.0725650000000004,0.0,1.05
1051,2.0725079434425244,0.0,1.051
1052,2.072451252387934,0.0,1.052
1053,2.07239478654539,0.0,1.053
1054,2.0723384117574364,0.0,1.054
1055,2.072282,0.0,1.055
1056,2.0722254894064314,0.0,1.056
1057,2.0721690816731,0.0,1.057
1058,2.0721130351750836,0.0,1.058
1059,2.072057396410398,0.0,1.059
1060,2.072002,0.0,1.06
1061,2.07194670824752,0.0,1.061
1062,2.0718915310354733,0.0,1.062
1063,2.0718365139057844,0.0,1.063
1064,2.071781673988141,0.0,1.064
1065,2.071727,0.0,1.065
1066,2.0716724820588457,0.0,1.066
1067,2.071618120823531,0.0,1.067
1068,2.0715639195058957,0.0,1.068
1069,2.071509879423575,0.0,1.069
1070,2.071456,0.0,1.07
1071,2.071402280576317,0.0,1.071
1072,2.0713487204939596,0.0,1.072
1073,2.0712953191767562,0.0,1.073
1074,2.0712420779419087,0.0,1.074
1075,2.071189,0.0,1.075
1076,2.0711360860095946,0.0,1.076
1077,2.0710833260919155,0.0,1.077
1078,2.071030708968695,0.0,1.078
1079,2.0709782517631536,0.0,1.079
1080,2.0709260000000005,0.0,1.08
1081,2.0708739635580113,0.0,1.081
1082,2.0708220047928583,0.0,1.082
1083,2.070769958384976,0.0,1.083
1084,2.070717870742247,0.0,1.084
1085,2.070666,0.0,1.085
1086,2.0706145478025655,0.0,1.086
1087,2.070563453008107,0.0,1.087
1088,2.070512588420974,0.0,1.088
1089,2.0704618186283,0.0,1.089
1090,2.070411,0.0,1.09
1091,2.0703600656779098,0.0,1.091
1092,2.070309257320639,0.0,1.092
1093,2.070258879508665,0.0,1.093
1094,2.070208910053961,0.0,1.094
1095,2.0701590000000003,0.0,1.095
1096,2.0701089076881725,0.0,1.096
1097,2.0700588774808466,0.0,1.097
