nm,n,k,wl
900,2.4494350279871173,0.028145896140125557,0.9
901,2.449264206192571,0.028126078705289936,0.901
902,2.4490944735807667,0.028105812444624026,0.902
903,2.4489258867963652,0.028084641050116006,0.903
904,2.4487585985513984,0.02806310577588724,0.904
905,2.4485925626019207,0.028041571210058923,0.905
906,2.4484271700741176,0.028018979041728405,0.906
907,2.4482627711368496,0.027995540744945088,0.907
908,2.448100228913449,0.027971483610306255,0.908
909,2.4479387188479285,0.027947158775057948,0.909
910,2.4477778556727374,0.027922451633870575,0.91
911,2.4476182958976884,0.02789618553372655,0.911
912,2.447459806099395,0.027869270428838987,0.912
913,2.447301997031903,0.027841392473458917,0.913
914,2.4471449758262103,0.027813093662779016,0.914
915,2.446988779288043,0.027784419650155302,0.915
916,2.4468333741398176,0.02775400498420338,0.916
917,2.446678770546891,0.02772294700721897,0.917
918,2.446524955140769,0.02769126261419055,0.918
919,2.4463719091972025,0.027658397801228352,0.919
920,2.446219739779876,0.02762477588783364,0.92
921,2.446068343002059,0.027589920360824412,0.921
922,2.445917303684842,0.02755408213548457,0.922
923,2.445766669948704,0.02751758386115965,0.923
924,2.4456164733522283,0.027479553745110755,0.924
925,2.4454662197717076,0.027440348873029725,0.925
926,2.445316052296041,0.027400340098665314,0.926
927,2.4451664000878126,0.02735850052679824,0.927
928,2.445016862288278,0.027316074910631247,0.928
929,2.4448672375173355,0.02727296744562278,0.929
930,2.444717676251824,0.027228174277831172,0.93
931,2.444567910749451,0.027182771185656228,0.931
932,2.444417644788016,0.027136488684879567,0.932
933,2.444266841006113,0.027088814697913764,0.933
934,2.4441159265000247,0.027040528877139623,0.934
935,2.44396512262859,0.026991702795641916,0.935
936,2.443813567753667,0.02694214514136639,0.936
937,2.4436611491275904,0.02689204894398484,0.937
938,2.443508391801152,0.026840681724813447,0.938
939,2.443355345283885,0.026789044675801732,0.939
940,2.4432018048547044,0.02673704002328794,0.94
941,2.443047445987922,0.026684495773343652,0.941
942,2.4428921907779686,0.02663168239696574,0.942
943,2.4427361577490654,0.026578405216089708,0.943
944,2.4425796363914656,0.026524684752140374,0.944
945,2.442422871807426,0.02647076657859429,0.945
946,2.4422657635248664,0.026416844714547166,0.946
947,2.442107399302659,0.026362578489347702,0.947
948,2.441947905440602,0.026308018027791577,0.948
949,2.4417881913896036,0.02625345959954171,0.949
950,2.44162790230656,0.026198897982932016,0.95
951,2.441466639670354,0.026144331186193335,0.951
952,2.4413044780950366,0.026089762677277573,0.952
953,2.4411418025022265,0.02603519376848443,0.953
954,2.440978794083586,0.025980624859691284,0.954
955,2.4408150069573358,0.025926469756727518,0.955
956,2.440650318825132,0.025872528729110663,0.956
957,2.440484838018873,0.025818583902609916,0.957
958,2.440318566011673,0.02576495885846375,0.958
959,2.4401514559146165,0.025711644515191735,0.959
960,2.4399834913474883,0.025658921510546714,0.96
961,2.439814933061933,0.02560646644966895,0.961
962,2.4396460650011926,0.02555441746522716,0.962
963,2.439476977555706,0.025503354913515703,0.963
964,2.4393069515737644,0.025452569946874185,0.964
965,2.4391355554706924,0.02540178651725335,0.965
966,2.4389637391888064,0.025351798177608277,0.966
967,2.438791503881991,0.025302346391426617,0.967
968,2.438618316883184,0.025254092821456083,0.968
969,2.4384445657395535,0.02520644698359886,0.969
970,2.4382705332404626,0.025159459574954444,0.97
971,2.4380961435155903,0.025113046866765302,0.971
972,2.4379211136053747,0.025067321713817238,0.972
973,2.4377451741071186,0.02502286899975678,0.973
974,2.4375682536133234,0.024978894770634162,0.974
975,2.4373909464608916,0.024935419358485485,0.975
976,2.4372137843757042,0.024893501928201795,0.976
977,2.437036377028481,0.024852352754887255,0.977
978,2.4368583018335808,0.024811763128390837,0.978
979,2.436679343503131,0.024773015231734655,0.979
980,2.4364997631633747,0.024735138790727338,0.98
981,2.4363199565222726,0.024698295124121868,0.981
982,2.436140238283363,0.024662572603258378,0.982
983,2.435960295665951,0.024627586613647973,0.983
984,2.435779846638219,0.024593915210960868,0.984
985,2.435599006157864,0.024561643276979097,0.985
986,2.4354177185321073,0.024530182243979435,0.986
987,2.435235984669369,0.02450031691121291,0.987
988,2.4350542035197607,0.02447157168002135,0.988
989,2.4348724818712544,0.02444363901111331,0.989
990,2.4346907129464763,0.024417584237624617,0.99
991,2.4345090380043115,0.024392647343440366,0.991
992,2.4343272539888328,0.024369131779314695,0.992
993,2.4341448806376706,0.024347820560843884,0.993
994,2.4339626040200786,0.024327219970608466,0.994
995,2.433780868176075,0.024307515436913077,0.995
996,2.433599034070623,0.02429009854429414,0.996
997,2.433417332707451,0.024273851162657647,0.997
998,2.433236169385339,0.024259230536132017,0.998
999,2.4330550150503116,0.0242460685226119,0.999
1000,2.43287384542047,0.024233999204321694,1.0
1001,2.432693099093514,0.02423306749670428,1.001
1002,2.432512901403557,0.02423213578908686,1.002
1003,2.432333295506606,0.024231204081469445,1.003
1004,2.4321543245586685,0.02423027237385203,1.004
1005,2.431976031715752,0.02422934066623461,1.005
1006,2.431798460133862,0.024228408958617196,1.006
1007,2.4316216529690076,0.02422747725099978,1.007
1008,2.431445653377195,0.024226545543382366,1.008
1009,2.4312705045144325,0.024225613835764947,1.009
1010,2.4310962495367257,0.02422468212814753,1.01
1011,2.430922931600083,0.024223750420530116,1.011
1012,2.4307505938605116,0.024222818712912698,1.012
1013,2.4305792794709347,0.02422322303631068,1.013
1014,2.4304090291594282,0.024233307688063924,1.014
1015,2.430239876882105,0.02424339233981717,1.015
1016,2.430071855422059,0.02425347699157042,1.016
1017,2.4299049953610163,0.024266228237893928,1.017
1018,2.4297393081089473,0.024279869216818024,1.018
1019,2.4295747951994446,0.024293510195742118,1.019
1020,2.4294114576997394,0.02430849366532419,1.02
1021,2.429249279542717,0.024325689733709986,1.021
1022,2.4290882210505083,0.024342885802095787,1.022
1023,2.4289282408235002,0.024360097381791082,1.023
1024,2.4287693314922643,0.024380551444190202,1.024
1025,2.428611619877789,0.02440100550658932,1.025
1026,2.428455265872902,0.024421459568988436,1.026
1027,2.4283004174972316,0.024443407212468002,1.027
1028,2.4281470654295827,0.024466226976636116,1.028
1029,2.427995088844324,0.024489046740804227,1.029
1030,2.4278443649302646,0.024512551252890584,1.03
1031,2.4276948135870273,0.02453803457672199,1.031
1032,2.427546436069743,0.024563517900553403,1.032
1033,2.427399242761913,0.024589001224384812,1.033
1034,2.427253253020002,0.024616047152366538,1.034
1035,2.4271085374320096,0.02464330148565741,1.035
1036,2.4269651847397165,0.024670555818948284,1.036
1037,2.426823280414722,0.02469885877221018,1.037
1038,2.4266828365591824,0.02472818255685038,1.038
1039,2.4265437931796896,0.024757506341490577,1.039
1040,2.4264060872747586,0.02478702254932183,1.04
1041,2.426269674272205,0.024817819542943,1.041
1042,2.4261345596951736,0.02484861653656418,1.042
1043,2.4260007574979747,0.024879413530185347,1.043
1044,2.4258682805028733,0.0249108766077631,1.044
1045,2.425737131798596,0.02494255739804189,1.045
1046,2.4256073095123196,0.024974238188320688,1.046
1047,2.425478811725651,0.025006361865019384,1.047
1048,2.4253516362488297,0.025039219852796217,1.048
1049,2.42522578051676,0.02507207784057304,1.049
1050,2.425101241936828,0.025104935828349873,1.05
1051,2.424978020124058,0.02513837746329729,1.051
1052,2.4248561235759087,0.025171820240338146,1.052
1053,2.4247355630235,0.025205263017378996,1.053
1054,2.424616347118958,0.02523888450097777,1.054
1055,2.42449845564791,0.02527261591430327,1.055
1056,2.4243818472678105,0.02530634732762878,1.056
1057,2.424266480237532,0.02534014843051755,1.057
1058,2.424152324304895,0.02537417082080052,1.058
1059,2.424039372185026,0.025408193211083487,1.059
1060,2.4239276193254793,0.025442215601366457,1.06
1061,2.42381706833078,0.025475977472884846,1.061
1062,2.4237077656681776,0.02550969671405995,1.062
1063,2.4235997744138538,0.025543415955235044,1.063
1064,2.423493154805602,0.025576990192784938,1.064
1065,2.423387893909098,0.025610406406213402,1.065
1066,2.4232839013992837,0.025643822619641873,1.066
1067,2.4231810832512664,0.025677209476088036,1.067
1068,2.4230793663567134,0.0257103228029012,1.068
1069,2.4229787403203775,0.025743436129714362,1.069
1070,2.422879206450997,0.025776549456527527,1.07
1071,2.422780771078647,0.025809025629853027,1.071
1072,2.4226834898096423,0.025841247334097397,1.072
1073,2.4225874461951578,0.02587346903834176,1.073
1074,2.4224927225045567,0.025905296193784927,1.074
1075,2.422399303826891,0.025936328735098838,1.075
1076,2.422307023998176,0.02596736127641276,1.076
1077,2.4222157037702585,0.02599839381772667,1.077
1078,2.422125213119297,0.026028579423020042,1.078
1079,2.4220356520484114,0.026058718799909106,1.079
1080,2.421947187697806,0.02608885817679818,1.08
1081,2.421859976761681,0.026118161422475427,1.081
1082,2.4217739948003247,0.02614681820521093,1.082
1083,2.421689064108125,0.026175474987946423,1.083
1084,2.4216050024177562,0.02620386619407967,1.084
1085,2.421521703415799,0.02623103994659767,1.085
1086,2.4214392405365435,0.026258213699115674,1.086
1087,2.421357713213478,0.026285387451633672,1.087
1088,2.421277207344097,0.02631115140790791,1.088
1089,2.4211977066576766,0.026336548383305326,1.089
1090,2.421119148244939,0.02636194535870275,1.09
1091,2.4210414696595812,0.026386618693797364,1.091
1092,2.4209646346056513,0.026410238674293166,1.092
1093,2.4208886401179255,0.026433858654788964,1.093
1094,2.4208134853954215,0.02645744265778401,1.094
1095,2.420739153780303,0.026479287199039782,1.095
1096,2.4206655689265784,0.02650113174029556,1.096
1097,2.4205926404465448,0.026522976281551338,1.097
1098,2.4205202840591027,0.026543510747999367,1.098
1099,2.4204484959960615,0.02656328464674815,1.099
1100,2.4203773293447974,0.02658305854549694,1.1
1101,2.420306838317447,0.02660239889480884,1.101
1102,2.4202370681490755,0.026620398750809994,1.102
1103,2.4201680463686897,0.026638398606811144,1.103
1104,2.420099798432607,0.026656398462812297,1.104
1105,2.42003233091756,0.02667262835090005,1.105
1106,2.4199655332811583,0.026688559203917574,1.106
1107,2.4198992501323007,0.0267044900569351,1.107
1108,2.419833330838232,0.026719595179481918,1.108
1109,2.419767756472258,0.026733753393989482,1.109
1110,2.4197026521011518,0.026747911608497054,1.11
1111,2.4196381500904667,0.026761935892505792,1.111
1112,2.4195743418451023,0.026774321648650307,1.112
1113,2.4195111879935127,0.026786707404794823,1.113
1114,2.4194486231208105,0.026799093160939338,1.114
1115,2.4193865839001423,0.026809862652770772,1.115
1116,2.419325029766177,0.0268198874168866,1.116
1117,2.4192639341510227,0.026829912181002422,1.117
1118,2.4192032708758138,0.026839504500146508,1.118
1119,2.4191430289045788,0.02684805318668504,1.119
1120,2.4190832233617234,0.02685660187322357,1.12
1121,2.4190238719685486,0.0268651505597621,1.121
1122,2.4189649846756653,0.02687157431228623,1.122
1123,2.4189065294851053,0.026877763625699796,1.123
1124,2.418848460307495,0.026883952939113366,1.124
1125,2.4187907323479823,0.026889243982631223,1.125
1126,2.4187333297691054,0.026893663968510843,1.126
1127,2.4186762651156513,0.02689808395439046,1.127
1128,2.4186195521163953,0.02690226871976353,1.128
1129,2.4185631989922673,0.026904625621227668,1.129
1130,2.4185071982541912,0.026906982522691806,1.13
1131,2.418451539630454,0.02690933942415594,1.131
1132,2.4183962152291056,0.02691042398984395,1.132
1133,2.418341240103671,0.02691101308799359,1.133
1134,2.4182866421404148,0.026911602186143233,1.134
1135,2.4182324486173035,0.026911521875174857,1.135
1136,2.418178638960399,0.026910049394368644,1.136
1137,2.418125116694403,0.02690857691356243,1.137
1138,2.4180717786082946,0.02690710443275622,1.138
1139,2.418018545851247,0.02690371739231566,1.139
1140,2.4179654601908145,0.026900184200035215,1.14
1141,2.4179126006590703,0.026896651007754766,1.141
1142,2.4178600427694525,0.02689202041052431,1.142
1143,2.41780779208943,0.02688642719562387,1.143
1144,2.4177557899640023,0.02688083398072343,1.144
1145,2.4177039753867886,0.026875001222884273,1.145
1146,2.4176523052565146,0.026867643315120062,1.146
1147,2.417600784427411,0.026860285407355848,1.147
1148,2.4175494256977963,0.026852927499591638,1.148
1149,2.41749824158982,0.026844050325234712,1.149
1150,2.4174472421235302,0.026834633893856222,1.15
1151,2.4173964359877274,0.026825217462477728,1.151
1152,2.4173458314969185,0.026815102097410805,1.152
1153,2.4172954162151674,0.02680362829651126,1.153
1154,2.4172451460870676,0.026792154495611717,1.154
1155,2.4171949743998233,0.02678068069471217,1.155
1156,2.4171448642917506,0.026767548650481907,1.156
1157,2.4170948259986123,0.026754312024915447,1.157
1158,2.4170448838150733,0.026741075399348994,1.158
1159,2.4169950600628263,0.02672672629224335,1.159
1160,2.4169453393137372,0.026711433384535167,1.16
1161,2.4168956722221826,0.02669614047682698,1.161
1162,2.416846008272401,0.026680558432023774,1.162
1163,2.416796316012879,0.02666321122052922,1.163
1164,2.4167466143214553,0.026645864009034664,1.164
1165,2.416696930284964,0.026628516797540105,1.165
1166,2.4166472850786955,0.026609649392596624,1.166
1167,2.416597646605001,0.02659024682128556,1.167
1168,2.4165479545450053,0.026570844249974496,1.168
1169,2.416498149134052,0.026550847265483325,1.169
1170,2.416448217732874,0.0265296861429328,1.17
1171,2.4163982198398215,0.026508525020382274,1.171
1172,2.4163482210538496,0.02648736389783175,1.172
1173,2.4162982710187624,0.02646428193875188,1.173
1174,2.4162483419076977,0.026441067646740774,1.174
1175,2.4161983824138074,0.026417853354729664,1.175
1176,2.4161483422009384,0.026393546205335572,1.176
1177,2.4160981902940666,0.026368279487214895,1.177
1178,2.416047913506357,0.026343012769094225,1.178
1179,2.41599749929836,0.02631751977973334,1.179
1180,2.4159469262774453,0.026290496079066653,1.18
1181,2.415896148858173,0.026263472378399953,1.181
1182,2.4158451173603077,0.02623644867773326,1.182
1183,2.4157937889525596,0.02620793934677208,1.183
1184,2.4157421858007977,0.02617886470452968,1.184
1185,2.415690365966523,0.02614979006228728,1.185
1186,2.415638387398347,0.02612006071810291,1.186
1187,2.415586275432701,0.026088935878131565,1.187
1188,2.415534002927623,0.02605781103816023,1.188
1189,2.4154815379935815,0.026026686198188882,1.189
1190,2.415428842554233,0.025993959156833977,1.19
1191,2.4153758464370094,0.02596108077806683,1.191
1192,2.4153224690930113,0.02592820239929969,1.192
1193,2.4152686327613244,0.025894284309691096,1.193
1194,2.4152143218030933,0.025859356035928573,1.194
1195,2.415159581545257,0.025824427762166043,1.195
1196,2.41510445985061,0.025789323914553425,1.196
1197,2.4150489701960045,0.025752643756435527,1.197
1198,2.414993023950896,0.02571596359831764,1.198
1199,2.41493651361933,0.025679283440199745,1.199
1200,2.4148793419318157,0.02564138900296821,1.2
1201,2.4148215200551286,0.025602955076901586,1.201
1202,2.4147631244542045,0.025564521150834966,1.202
1203,2.414704232005271,0.025525672737160814,1.203
1204,2.4146448766313227,0.025485779018720126,1.204
1205,2.4145850162129654,0.025445885300279428,1.205
1206,2.41452460084278,0.025405991581838736,1.206
1207,2.4144635831180112,0.025365335621255265,1.207
1208,2.414401930267792,0.02532457064745923,1.208
1209,2.4143396148192395,0.025283805673663187,1.209
1210,2.414276609900367,0.025242498602950213,1.21
1211,2.414212904819707,0.025200568049915533,1.211
1212,2.414148506609716,0.025158637496880864,1.212
1213,2.414083423205616,0.025116691403322993,1.213
1214,2.4140176605214143,0.02507447667812327,1.214
1215,2.413951217606046,0.02503226195292354,1.215
1216,2.4138840920522826,0.024990047227723817,1.216
1217,2.4138162816130513,0.024947460109099654,1.217
1218,2.413747786068415,0.024904666733396977,1.218
1219,2.41367860658928,0.024861873357694287,1.219
1220,2.413608744370434,0.024819014182077763,1.22
1221,2.4135382001202306,0.024775936956040127,1.221
