nm,n,k,wl
900,3.748804229604262,0.031633137829912034,0.9
901,3.7473750264304524,0.031045161290322587,0.901
902,3.745951406862069,0.03045718475073314,0.902
903,3.744533377276274,0.0298692082111437,0.903
904,3.743120944050226,0.029281231671554254,0.904
905,3.7417141135610845,0.02869325513196481,0.905
906,3.7403128921860094,0.02810527859237537,0.906
907,3.7389172863021596,0.027517302052785922,0.907
908,3.7375273022866953,0.02692932551319648,0.908
909,3.7361429465167766,0.026341348973607036,0.909
910,3.7347642253695623,0.02575337243401759,0.91
911,3.7333911452222104,0.02516539589442815,0.911
912,3.732023712451884,0.024577419354838703,0.912
913,3.7306619334357385,0.02398944281524926,0.913
914,3.7293058145509366,0.023401466275659814,0.914
915,3.7279553621746384,0.02281348973607037,0.915
916,3.7266105826839997,0.022225513196480928,0.916
917,3.7252714824561837,0.021637536656891485,0.917
918,3.723938067868348,0.021049560117302038,0.918
919,3.7226103452976522,0.020461583577712595,0.919
920,3.721288321121257,0.019873607038123152,0.92
921,3.7199720017163216,0.01928563049853371,0.921
922,3.718661393460005,0.018697653958944262,0.922
923,3.7173565027294675,0.01810967741935482,0.923
924,3.716057335901866,0.017521700879765376,0.924
925,3.7147638993543644,0.016933724340175933,0.925
926,3.713476199464119,0.016345747800586487,0.926
927,3.7121942426082915,0.015757771260997044,0.927
928,3.7109180351640383,0.0151697947214076,0.928
929,3.7096475835085223,0.014581818181818158,0.929
930,3.7083828940189028,0.013993841642228711,0.93
931,3.707123973072337,0.013405865102639268,0.931
932,3.7058708270459855,0.012817888563049825,0.932
933,3.7046234623170093,0.012229912023460382,0.933
934,3.703381885262565,0.011641935483870935,0.934
935,3.702146102259815,0.011053958944281492,0.935
936,3.700916119685917,0.01046598240469205,0.936
937,3.699691943918032,0.009878005865102606,0.937
938,3.6984735813333187,0.009290029325513226,0.938
939,3.6972610383089366,0.00870205278592378,0.939
940,3.6960543212220465,0.00811407624633434,0.94
941,3.6948534364498054,0.007526099706744893,0.941
942,3.693658390369375,0.006938123167155454,0.942
943,3.692469189357914,0.006350146627566007,0.943
944,3.691285839792582,0.0057621700879765606,0.944
945,3.690108348050539,0.005174193548387121,0.945
946,3.688936720508945,0.0045862170087976745,0.946
947,3.687770963544957,0.003998240469208228,0.947
948,3.6866110835357375,0.0034102639296187884,0.948
949,3.685457086858445,0.002822287390029342,0.949
950,3.684308979890238,0.0022343108504399023,0.95
951,3.6831667690082783,0.0016463343108504558,0.951
952,3.682030460589723,0.0010583577712610093,0.952
953,3.680900061011734,0.0004703812316715697,0.953
954,3.679775576648611,0.0,0.954
955,3.67865701326869,0.0,0.955
956,3.6775443752883215,0.0,0.956
957,3.676437666940922,0.0,0.957
958,3.675336892459907,0.0,0.958
959,3.6742420560786937,0.0,0.959
960,3.673153162030699,0.0,0.96
961,3.672070214549339,0.0,0.961
962,3.670993217868032,0.0,0.962
963,3.66992217622019,0.0,0.963
964,3.6688570938392324,0.0,0.964
965,3.667797974958577,0.0,0.965
966,3.6667448238116385,0.0,0.966
967,3.665697644631834,0.0,0.967
968,3.664656441652579,0.0,0.968
969,3.663621219107291,0.0,0.969
