nm,n,k,wl
300.0,1.699838715,1.973157788,0.3
310.0,1.746948702,1.974499878,0.31
320.0,1.782941044,1.959795593,0.32
330.0,1.804652963,1.931950392,0.33
340.0,1.804621334,1.896796816,0.34
350.0,1.763712432,1.870684779,0.35
360.0,1.713434851,1.887670254,0.36
370.0,1.689202065,1.922090949,0.37
380.0,1.678059067,1.948381952,0.38
390.0,1.672504217,1.966512231,0.39
400.0,1.665616091,1.973924254,0.4
410.0,1.653911114,1.975227068,0.41
420.0,1.63743714,1.970304643,0.42
430.0,1.612343317,1.959477219,0.43
440.0,1.581523054,1.940313163,0.44
450.0,1.538326354,1.910745397,0.45
460.0,1.475285274,1.872315849,0.46
470.0,1.386263242,1.827683172,0.47
480.0,1.252905499,1.782097694,0.48
490.0,1.064360219,1.76786953,0.49
500.0,0.848474841,1.828280492,0.5
510.0,0.661635502,1.964525779,0.51
520.0,0.52912664,2.129735899,0.52
530.0,0.438041087,2.294990195,0.53
540.0,0.372502061,2.451664289,0.54
550.0,0.323930966,2.597158307,0.55
560.0,0.284960267,2.738978341,0.56
570.0,0.254069233,2.871855006,0.57
580.0,0.228936734,2.999518633,0.58
590.0,0.207122197,3.1213458,0.59
600.0,0.188789629,3.241703491,0.6
610.0,0.172726107,3.356759495,0.61
620.0,0.160071695,3.465634566,0.62
630.0,0.14636792,3.577628204,0.63
640.0,0.135417727,3.685964997,0.64
650.0,0.125499436,3.792327795,0.65
660.0,0.117832095,3.896137113,0.66
670.0,0.111117685,3.999543366,0.67
680.0,0.105744888,4.102704228,0.68
690.0,0.101509306,4.205033191,0.69
700.0,0.098607898,4.305081128,0.7
710.0,0.097790271,4.403812319,0.71
720.0,0.098623269,4.499191766,0.72
730.0,0.096903666,4.59580138,0.73
740.0,0.099463321,4.687205239,0.74
750.0,0.098537395,4.78107829,0.75
760.0,0.099206649,4.872354868,0.76
770.0,0.101706737,4.958865219,0.77
780.0,0.101315225,5.051560628,0.78
790.0,0.103067755,5.148069829,0.79
800.0,0.10422723,5.223682926,0.8
810.0,0.105937788,5.313023886,0.81
820.0,0.104338656,5.407391844,0.82
830.0,0.104534544,5.49244276,0.83
840.0,0.107001078,5.577046641,0.84
850.0,0.111012574,5.659268839,0.85
860.0,0.11076329,5.749197205,0.86
870.0,0.112038779,5.830570529,0.87
880.0,0.114173034,5.912954886,0.88
890.0,0.116004573,5.992867182,0.89
900.0,0.116828465,6.081993825,0.9
910.0,0.116997234,6.163820922,0.91
920.0,0.11945701,6.241575921,0.92
930.0,0.120635837,6.328550624,0.93
940.0,0.122558964,6.410383818,0.94
950.0,0.124002721,6.491793025,0.95
960.0,0.123935366,6.573991175,0.96
970.0,0.126244253,6.662877577,0.97
980.0,0.127974627,6.73805443,0.98
990.0,0.129942772,6.819155749,0.99
1000.0,0.132311724,6.904527963,1.0
1010.0,0.133907614,6.978318655,1.01
1020.0,0.135401137,7.061609835,1.02
1030.0,0.138148809,7.141574413,1.03
1040.0,0.137937636,7.222466808,1.04
1050.0,0.139246667,7.302149658,1.05
1060.0,0.134049061,7.406616579,1.06
1070.0,0.135717763,7.48280825,1.07
1080.0,0.140363062,7.556831465,1.08
1090.0,0.138686104,7.637030433,1.09
1100.0,0.138418628,7.719336741,1.1
1110.0,0.139442944,7.79996438,1.11
1120.0,0.141677831,7.874202982,1.12
1130.0,0.141308241,7.960965269,1.13
1140.0,0.140235564,8.050382973,1.14
1150.0,0.142817756,8.114887363,1.15
1160.0,0.146729336,8.201495565,1.16
1170.0,0.152747848,8.26754691,1.17
1180.0,0.149693183,8.350413645,1.18
1190.0,0.147906483,8.443510901,1.19
1200.0,0.149395088,8.515005513,1.2
1210.0,0.151984867,8.589999965,1.21
1220.0,0.153423422,8.666864413,1.22
1230.0,0.153670698,8.744347585,1.23
1240.0,0.157748208,8.81753279,1.24
1250.0,0.159662147,8.900982642,1.25
1260.0,0.165494236,8.987624177,1.26
1270.0,0.159382324,9.068759713,1.27
1280.0,0.163849184,9.146521008,1.28
1290.0,0.166211578,9.226192405,1.29
1300.0,0.166156462,9.303580384,1.3
1310.0,0.170115488,9.372456417,1.31
1320.0,0.169795214,9.445201449,1.32
1330.0,0.174809869,9.530926424,1.33
1340.0,0.176209118,9.61244244,1.34
1350.0,0.179585571,9.687582308,1.35
1360.0,0.177483381,9.769365402,1.36
1370.0,0.184295562,9.839357949,1.37
1380.0,0.186297714,9.916385775,1.38
1390.0,0.190837556,9.992267959,1.39
1400.0,0.191102283,10.07156989,1.4
1410.0,0.194361931,10.14138928,1.41
1420.0,0.205426553,10.22263176,1.42
1430.0,0.208361137,10.32150252,1.43
1440.0,0.206557078,10.37509835,1.44
1450.0,0.208044,10.46581494,1.45
1460.0,0.205758558,10.54050931,1.46
1470.0,0.212405614,10.6421387,1.47
1480.0,0.216697642,10.70593097,1.48
1490.0,0.219902453,10.78046182,1.49
1500.0,0.215398722,10.85893165,1.5
1510.0,0.21956893,10.91137986,1.51
1520.0,0.222004156,11.00587506,1.52
1530.0,0.230589098,11.08617027,1.53
1540.0,0.235210701,11.16849695,1.54
1550.0,0.238229889,11.26307034,1.55
1560.0,0.236761828,11.31706924,1.56
1570.0,0.235275342,11.38092063,1.57
1580.0,0.240819258,11.44281407,1.58
1590.0,0.246290147,11.53172402,1.59
1600.0,0.243652913,11.64299647,1.6
1610.0,0.25211538,11.70912303,1.61
1620.0,0.248830057,11.78354431,1.62
1630.0,0.264448459,11.86507198,1.63
1640.0,0.258451056,11.92798378,1.64
1650.0,0.265882655,12.01168987,1.65
1660.0,0.278561249,12.06969744,1.66
1670.0,0.278188678,12.1875916,1.67
1680.0,0.28090035,12.2404618,1.68
1690.0,0.290244511,12.34683125,1.69
1700.0,0.316481841,12.37053599,1.7
