nm,n,k,wl
250.0,1.517462,0.00026,0.25
255.0,1.515228,0.00024,0.255
260.0,1.513136,0.000222,0.26
265.0,1.511173,0.000206,0.265
270.0,1.509329,0.000191,0.27
275.0,1.507595,0.000179,0.275
280.0,1.505961,0.000167,0.28
285.0,1.504421,0.000157,0.285
290.0,1.502966,0.000148,0.29
295.0,1.50159,0.000139,0.295
300.0,1.500288,0.000132,0.3
305.0,1.499055,0.000125,0.305
310.0,1.497885,0.000118,0.31
315.0,1.496774,0.000112,0.315
320.0,1.495719,0.000107,0.32
325.0,1.494715,0.000102,0.325
330.0,1.493759,0.0,0.33
335.0,1.492849,0.0,0.335
340.0,1.491981,0.0,0.34
345.0,1.491152,0.0,0.345
350.0,1.490361,0.0,0.35
355.0,1.489605,0.0,0.355
360.0,1.488882,0.0,0.36
365.0,1.488189,0.0,0.365
370.0,1.487527,0.0,0.37
375.0,1.486891,0.0,0.375
380.0,1.486282,0.0,0.38
385.0,1.485698,0.0,0.385
390.0,1.485137,0.0,0.39
395.0,1.484598,0.0,0.395
400.0,1.48408,0.0,0.4
405.0,1.483582,0.0,0.405
410.0,1.483102,0.0,0.41
415.0,1.482641,0.0,0.415
420.0,1.482197,0.0,0.42
425.0,1.481768,0.0,0.425
430.0,1.481356,0.0,0.43
435.0,1.480958,0.0,0.435
440.0,1.480573,0.0,0.44
445.0,1.480203,0.0,0.445
450.0,1.479844,0.0,0.45
455.0,1.479498,0.0,0.455
460.0,1.479164,0.0,0.46
465.0,1.478841,0.0,0.465
470.0,1.478528,0.0,0.47
475.0,1.478225,0.0,0.475
480.0,1.477932,0.0,0.48
485.0,1.477649,0.0,0.485
490.0,1.477374,0.0,0.49
495.0,1.477107,0.0,0.495
500.0,1.476849,0.0,0.5
505.0,1.476599,0.0,0.505
510.0,1.476356,0.0,0.51
515.0,1.476121,0.0,0.515
520.0,1.475892,0.0,0.52
525.0,1.47567,0.0,0.525
530.0,1.475455,0.0,0.53
535.0,1.475245,0.0,0.535
540.0,1.475042,0.0,0.54
545.0,1.474844,0.0,0.545
550.0,1.474652,0.0,0.55
555.0,1.474464,0.0,0.555
560.0,1.474283,0.0,0.56
565.0,1.474106,0.0,0.565
570.0,1.473933,0.0,0.57
575.0,1.473766,0.0,0.575
580.0,1.473602,0.0,0.58
585.0,1.473443,0.0,0.585
590.0,1.473288,0.0,0.59
595.0,1.473137,0.0,0.595
600.0,1.47299,0.0,0.6
605.0,1.472847,0.0,0.605
610.0,1.472707,0.0,0.61
615.0,1.47257,0.0,0.615
620.0,1.472437,0.0,0.62
625.0,1.472307,0.0,0.625
630.0,1.472181,0.0,0.63
635.0,1.472057,0.0,0.635
640.0,1.471936,0.0,0.64
645.0,1.471818,0.0,0.645
650.0,1.471703,0.0,0.65
655.0,1.471591,0.0,0.655
660.0,1.471481,0.0,0.66
665.0,1.471373,0.0,0.665
670.0,1.471268,0.0,0.67
675.0,1.471166,0.0,0.675
680.0,1.471065,0.0,0.68
685.0,1.470967,0.0,0.685
690.0,1.470871,0.0,0.69
695.0,1.470778,0.0,0.695
700.0,1.470686,0.0,0.7
705.0,1.470596,0.0,0.705
710.0,1.470508,0.0,0.71
715.0,1.470422,0.0,0.715
720.0,1.470338,0.0,0.72
725.0,1.470255,0.0,0.725
730.0,1.470174,0.0,0.73
735.0,1.470095,0.0,0.735
740.0,1.470018,0.0,0.74
745.0,1.469942,0.0,0.745
750.0,1.469867,0.0,0.75
755.0,1.469794,0.0,0.755
760.0,1.469723,0.0,0.76
765.0,1.469653,0.0,0.765
770.0,1.469584,0.0,0.77
775.0,1.469517,0.0,0.775
780.0,1.469451,0.0,0.78
785.0,1.469386,0.0,0.785
790.0,1.469323,0.0,0.79
795.0,1.46926,0.0,0.795
800.0,1.469199,0.0,0.8
805.0,1.469139,0.0,0.805
810.0,1.46908,0.0,0.81
815.0,1.469023,0.0,0.815
820.0,1.468966,0.0,0.82
825.0,1.46891,0.0,0.825
830.0,1.468855,0.0,0.83
835.0,1.468802,0.0,0.835
840.0,1.468749,0.0,0.84
845.0,1.468697,0.0,0.845
850.0,1.468646,0.0,0.85
855.0,1.468597,0.0,0.855
860.0,1.468547,0.0,0.86
865.0,1.468499,0.0,0.865
870.0,1.468452,0.0,0.87
875.0,1.468405,0.0,0.875
880.0,1.46836,0.0,0.88
885.0,1.468315,0.0,0.885
890.0,1.46827,0.0,0.89
895.0,1.468227,0.0,0.895
900.0,1.468184,0.0,0.9
905.0,1.468142,0.0,0.905
910.0,1.468101,0.0,0.91
915.0,1.46806,0.0,0.915
920.0,1.46802,0.0,0.92
925.0,1.467981,0.0,0.925
930.0,1.467942,0.0,0.93
935.0,1.467904,0.0,0.935
940.0,1.467866,0.0,0.94
945.0,1.46783,0.0,0.945
950.0,1.467793,0.0,0.95
955.0,1.467758,0.0,0.955
960.0,1.467722,0.0,0.96
965.0,1.467688,0.0,0.965
970.0,1.467654,0.0,0.97
975.0,1.46762,0.0,0.975
980.0,1.467587,0.0,0.98
985.0,1.467555,0.0,0.985
990.0,1.467523,0.0,0.99
995.0,1.467491,0.0,0.995
1000.0,1.46746,0.0,1.0
1004.9999999999999,1.467429,0.0,1.005
1010.0,1.467399,0.0,1.01
1014.9999999999999,1.467369,0.0,1.015
