nm,n,k,wl
350.0,2.317048,0.000655,0.35
352.0,2.313395,0.000637,0.352
354.0,2.309832,0.000619,0.354
356.0,2.306355,0.000602,0.356
358.0,2.302962,0.000585,0.358
360.0,2.299649,0.000569,0.36
362.0,2.296414,0.000553,0.362
364.0,2.293255,0.000538,0.364
366.0,2.290169,0.000523,0.366
368.0,2.287153,0.000509,0.368
370.0,2.284205,0.000495,0.37
372.0,2.281324,0.000482,0.372
374.0,2.278507,0.000468,0.374
376.0,2.275751,0.000456,0.376
378.0,2.273056,0.000443,0.378
380.0,2.270419,0.000431,0.38
382.0,2.267838,0.000419,0.382
384.0,2.265313,0.000408,0.384
386.0,2.26284,0.000397,0.386
388.0,2.260419,0.000386,0.388
390.0,2.258048,0.000376,0.39
392.0,2.255726,0.000365,0.392
394.0,2.253451,0.000355,0.394
396.0,2.251222,0.000346,0.396
398.0,2.249037,0.000336,0.398
400.0,2.246896,0.000327,0.4
402.0,2.244797,0.000318,0.402
404.0,2.242739,0.000309,0.404
406.0,2.24072,0.000301,0.406
408.0,2.238741,0.000292,0.408
410.0,2.236799,0.000284,0.41
412.0,2.234894,0.000276,0.412
414.0,2.233025,0.000269,0.414
416.0,2.23119,0.000261,0.416
418.0,2.22939,0.000254,0.418
420.0,2.227622,0.000247,0.42
422.0,2.225887,0.00024,0.422
424.0,2.224183,0.000233,0.424
426.0,2.22251,0.000226,0.426
428.0,2.220867,0.00022,0.428
430.0,2.219252,0.000214,0.43
432.0,2.217666,0.000207,0.432
434.0,2.216108,0.000201,0.434
436.0,2.214577,0.000196,0.436
438.0,2.213072,0.00019,0.438
440.0,2.211593,0.000184,0.44
442.0,2.210139,0.000179,0.442
444.0,2.208709,0.000173,0.444
446.0,2.207304,0.000168,0.446
448.0,2.205921,0.000163,0.448
450.0,2.204562,0.000158,0.45
452.0,2.203225,0.000153,0.452
454.0,2.20191,0.000149,0.454
456.0,2.200616,0.000144,0.456
458.0,2.199343,0.00014,0.458
460.0,2.198091,0.000135,0.46
462.0,2.196858,0.000131,0.462
464.0,2.195645,0.000127,0.464
466.0,2.194451,0.000123,0.466
468.0,2.193275,0.000119,0.468
470.0,2.192118,0.000115,0.47
472.0,2.190979,0.000111,0.472
474.0,2.189857,0.000108,0.474
476.0,2.188752,0.000104,0.476
478.0,2.187664,0.0001,0.478
480.0,2.186592,0.0001,0.48
482.0,2.185537,9.4e-05,0.482
484.0,2.184497,9e-05,0.484
486.0,2.183473,8.7e-05,0.486
488.0,2.182463,8.4e-05,0.488
490.0,2.181469,8.1e-05,0.49
492.0,2.180489,7.8e-05,0.492
494.0,2.179523,7.5e-05,0.494
496.0,2.178571,7.3e-05,0.496
498.0,2.177633,7e-05,0.498
500.0,2.176708,6.7e-05,0.5
502.0,2.175796,6.5e-05,0.502
504.0,2.174897,6.2e-05,0.504
506.0,2.17401,6e-05,0.506
508.0,2.173136,5.7e-05,0.508
510.0,2.172274,5.5e-05,0.51
512.0,2.171424,5.3e-05,0.512
514.0,2.170586,5.1e-05,0.514
516.0,2.169759,4.8e-05,0.516
518.0,2.168943,4.6e-05,0.518
520.0,2.168138,4.4e-05,0.52
522.0,2.167345,4.2e-05,0.522
524.0,2.166561,4.1e-05,0.524
526.0,2.165788,3.9e-05,0.526
528.0,2.165026,3.7e-05,0.528
530.0,2.164273,3.5e-05,0.53
532.0,2.16353,3.3e-05,0.532
534.0,2.162797,3.2e-05,0.534
536.0,2.162074,3e-05,0.536
538.0,2.16136,2.9e-05,0.538
540.0,2.160655,2.7e-05,0.54
