nm,n,k,wl
300.0,2.809982,0.592784,0.3
301.0,2.813419,0.57775,0.301
302.0,2.816447,0.562667,0.302
303.0,2.819065,0.54755,0.303
304.0,2.821271,0.532415,0.304
305.0,2.823066,0.517277,0.305
306.0,2.82445,0.502151,0.306
307.0,2.825424,0.487053,0.307
308.0,2.82599,0.471999,0.308
309.0,2.826151,0.457002,0.309
310.0,2.825911,0.44208,0.31
311.0,2.825273,0.427245,0.311
312.0,2.824241,0.412513,0.312
313.0,2.822823,0.397898,0.313
314.0,2.821022,0.383415,0.314
315.0,2.818847,0.369075,0.315
316.0,2.816303,0.354894,0.316
317.0,2.8134,0.340882,0.317
318.0,2.810145,0.327054,0.318
319.0,2.806546,0.313421,0.319
320.0,2.802613,0.299994,0.32
321.0,2.798357,0.286784,0.321
322.0,2.793785,0.273802,0.322
323.0,2.788909,0.261057,0.323
324.0,2.78374,0.24856,0.324
325.0,2.778289,0.236318,0.325
326.0,2.772566,0.224341,0.326
327.0,2.766583,0.212636,0.327
328.0,2.760352,0.201211,0.328
329.0,2.753886,0.190071,0.329
330.0,2.747194,0.179225,0.33
331.0,2.740291,0.168676,0.331
332.0,2.733188,0.158431,0.332
333.0,2.725897,0.148493,0.333
334.0,2.718431,0.138869,0.334
335.0,2.710803,0.12956,0.335
336.0,2.703024,0.12057,0.336
337.0,2.695107,0.111903,0.337
338.0,2.687065,0.10356,0.338
339.0,2.67891,0.095544,0.339
340.0,2.670654,0.087855,0.34
341.0,2.66231,0.080496,0.341
342.0,2.65389,0.073466,0.342
343.0,2.645406,0.066767,0.343
344.0,2.636872,0.060398,0.344
345.0,2.628298,0.054359,0.345
346.0,2.619697,0.04865,0.346
347.0,2.611082,0.043269,0.347
348.0,2.602464,0.038216,0.348
349.0,2.593856,0.033488,0.349
350.0,2.585271,0.029085,0.35
351.0,2.57672,0.025004,0.351
352.0,2.568217,0.021243,0.352
353.0,2.559774,0.0178,0.353
354.0,2.551405,0.014672,0.354
355.0,2.543123,0.011855,0.355
356.0,2.534941,0.009348,0.356
357.0,2.526875,0.007147,0.357
358.0,2.518941,0.005249,0.358
359.0,2.511155,0.00365,0.359
360.0,2.503537,0.002345,0.36
361.0,2.496109,0.001333,0.361
362.0,2.488899,0.000607,0.362
363.0,2.481942,0.000165,0.363
364.0,2.475302,1e-06,0.364
365.0,2.469105,0.0,0.365
366.0,2.463245,0.0,0.366
367.0,2.457644,0.0,0.367
368.0,2.452265,0.0,0.368
369.0,2.447081,0.0,0.369
370.0,2.442075,0.0,0.37
371.0,2.43723,0.0,0.371
372.0,2.432534,0.0,0.372
373.0,2.427977,0.0,0.373
374.0,2.423549,0.0,0.374
375.0,2.419242,0.0,0.375
376.0,2.415049,0.0,0.376
377.0,2.410964,0.0,0.377
378.0,2.406981,0.0,0.378
379.0,2.403094,0.0,0.379
380.0,2.3993,0.0,0.38
381.0,2.395594,0.0,0.381
382.0,2.391972,0.0,0.382
383.0,2.38843,0.0,0.383
384.0,2.384965,0.0,0.384
385.0,2.381574,0.0,0.385
386.0,2.378253,0.0,0.386
387.0,2.375001,0.0,0.387
388.0,2.371814,0.0,0.388
389.0,2.36869,0.0,0.389
390.0,2.365628,0.0,0.39
391.0,2.362623,0.0,0.391
392.0,2.359676,0.0,0.392
393.0,2.356783,0.0,0.393
394.0,2.353943,0.0,0.394
395.0,2.351155,0.0,0.395
396.0,2.348416,0.0,0.396
397.0,2.345725,0.0,0.397
398.0,2.343081,0.0,0.398
399.0,2.340482,0.0,0.399
400.0,2.337928,0.0,0.4
401.0,2.335415,0.0,0.401
402.0,2.332945,0.0,0.402
403.0,2.330514,0.0,0.403
404.0,2.328123,0.0,0.404
405.0,2.32577,0.0,0.405
406.0,2.323454,0.0,0.406
407.0,2.321174,0.0,0.407
408.0,2.318929,0.0,0.408
409.0,2.316718,0.0,0.409
410.0,2.314541,0.0,0.41
411.0,2.312397,0.0,0.411
412.0,2.310284,0.0,0.412
413.0,2.308202,0.0,0.413
414.0,2.30615,0.0,0.414
415.0,2.304128,0.0,0.415
416.0,2.302135,0.0,0.416
417.0,2.30017,0.0,0.417
418.0,2.298232,0.0,0.418
419.0,2.296322,0.0,0.419
420.0,2.294437,0.0,0.42
421.0,2.292579,0.0,0.421
422.0,2.290745,0.0,0.422
423.0,2.288936,0.0,0.423
424.0,2.287151,0.0,0.424
425.0,2.28539,0.0,0.425
426.0,2.283652,0.0,0.426
427.0,2.281936,0.0,0.427
428.0,2.280242,0.0,0.428
429.0,2.27857,0.0,0.429
430.0,2.276919,0.0,0.43
431.0,2.27529,0.0,0.431
432.0,2.27368,0.0,0.432
433.0,2.27209,0.0,0.433
434.0,2.27052,0.0,0.434
435.0,2.268969,0.0,0.435
436.0,2.267437,0.0,0.436
437.0,2.265924,0.0,0.437
438.0,2.264428,0.0,0.438
439.0,2.262951,0.0,0.439
440.0,2.261491,0.0,0.44
441.0,2.260048,0.0,0.441
442.0,2.258621,0.0,0.442
443.0,2.257212,0.0,0.443
444.0,2.255818,0.0,0.444
445.0,2.254441,0.0,0.445
446.0,2.253079,0.0,0.446
447.0,2.251733,0.0,0.447
448.0,2.250401,0.0,0.448
449.0,2.249085,0.0,0.449
450.0,2.247783,0.0,0.45
451.0,2.246495,0.0,0.451
452.0,2.245222,0.0,0.452
453.0,2.243962,0.0,0.453
454.0,2.242716,0.0,0.454
455.0,2.241484,0.0,0.455
456.0,2.240264,0.0,0.456
457.0,2.239058,0.0,0.457
458.0,2.237864,0.0,0.458
459.0,2.236683,0.0,0.459
460.0,2.235515,0.0,0.46
461.0,2.234358,0.0,0.461
462.0,2.233213,0.0,0.462
463.0,2.23208,0.0,0.463
464.0,2.230959,0.0,0.464
465.0,2.22985,0.0,0.465
466.0,2.228751,0.0,0.466
467.0,2.227664,0.0,0.467
468.0,2.226587,0.0,0.468
469.0,2.225521,0.0,0.469
470.0,2.224466,0.0,0.47
471.0,2.223421,0.0,0.471
472.0,2.222386,0.0,0.472
473.0,2.221362,0.0,0.473
474.0,2.220347,0.0,0.474
475.0,2.219342,0.0,0.475
476.0,2.218348,0.0,0.476
477.0,2.217362,0.0,0.477
478.0,2.216386,0.0,0.478
479.0,2.215419,0.0,0.479
480.0,2.214461,0.0,0.48
481.0,2.213512,0.0,0.481
482.0,2.212573,0.0,0.482
483.0,2.211642,0.0,0.483
484.0,2.210719,0.0,0.484
485.0,2.209805,0.0,0.485
