nm,n,k,wl
301.58000000000004,1.706525,0.169525,0.30158
303.18,1.703873,0.164441,0.30318
304.78,1.701189,0.160309,0.30478
306.38,1.698624,0.157039,0.30638
307.97999999999996,1.696302,0.154522,0.30798
309.58000000000004,1.694312,0.152638,0.30958
311.18,1.692719,0.151259,0.31118
312.78000000000003,1.691553,0.15026,0.31278
314.38,1.69082,0.149522,0.31438
315.97999999999996,1.6905,0.148938,0.31598
317.58,1.690553,0.148421,0.31758
319.18,1.690927,0.147902,0.31918
320.78000000000003,1.691562,0.147336,0.32078
322.38,1.692397,0.146702,0.32238
323.98,1.693379,0.145998,0.32398
325.58,1.694466,0.145241,0.32558
327.18,1.695632,0.14446,0.32718
328.78000000000003,1.696872,0.143687,0.32878
330.38,1.698203,0.142956,0.33038
331.98,1.699657,0.142287,0.33198
333.58,1.701285,0.141686,0.33358
335.17999999999995,1.703141,0.141138,0.33518
336.78000000000003,1.705283,0.140602,0.33678
338.38,1.707756,0.140014,0.33838
339.98,1.710591,0.139291,0.33998
341.58,1.713792,0.138334,0.34158
343.18,1.717336,0.137038,0.34318
344.77000000000004,1.721168,0.135305,0.34477
346.37,1.725205,0.133046,0.34637
347.97,1.729341,0.130195,0.34797
349.57,1.733452,0.126714,0.34957
351.16999999999996,1.737408,0.122596,0.35117
352.77,1.741079,0.117865,0.35277
354.37,1.744342,0.112578,0.35437
355.97,1.747095,0.106815,0.35597
357.57,1.749256,0.100676,0.35757
359.17,1.750768,0.094275,0.35917
360.77,1.751603,0.087733,0.36077
362.37,1.751758,0.081169,0.36237
363.96,1.751254,0.074695,0.36396
365.56,1.750134,0.068412,0.36556
367.15999999999997,1.748456,0.062408,0.36716
368.76,1.746291,0.05675,0.36876
370.36,1.743716,0.05149,0.37036
371.96000000000004,1.740811,0.046661,0.37196
373.56,1.737656,0.042279,0.37356
375.15999999999997,1.734326,0.038348,0.37516
376.75,1.730889,0.034856,0.37675
378.35,1.727407,0.031783,0.37835
379.95,1.723932,0.029103,0.37995
381.55,1.720505,0.026782,0.38155
383.15,1.717161,0.024785,0.38315
384.75,1.713926,0.023077,0.38475
386.35,1.710816,0.021622,0.38635
387.94,1.707845,0.020386,0.38794
389.54,1.705017,0.019337,0.38954
391.14,1.702335,0.018447,0.39114
392.73999999999995,1.699797,0.017689,0.39274
394.34000000000003,1.6974,0.017042,0.39434
395.93,1.695136,0.016485,0.39593
397.53,1.693,0.016001,0.39753
399.13,1.690984,0.015577,0.39913
400.72999999999996,1.689079,0.0152,0.40073
402.33000000000004,1.687277,0.014861,0.40233
403.92,1.685571,0.01455,0.40392
405.52,1.683953,0.014261,0.40552
407.12,1.682415,0.01399,0.40712
408.72,1.680951,0.01373,0.40872
410.32,1.679554,0.013479,0.41032
411.91,1.678219,0.013233,0.41191
413.51,1.67694,0.012991,0.41351
415.10999999999996,1.675712,0.012751,0.41511
416.71000000000004,1.674531,0.012511,0.41671
418.3,1.673393,0.012271,0.4183
419.9,1.672292,0.012029,0.4199
421.5,1.671227,0.011786,0.4215
423.09000000000003,1.670194,0.01154,0.42309
424.69,1.66919,0.011293,0.42469
426.29,1.668212,0.011043,0.42629
427.89,1.667258,0.010791,0.42789
429.47999999999996,1.666326,0.010538,0.42948
431.08000000000004,1.665413,0.010283,0.43108
432.68,1.664519,0.010027,0.43268
434.27,1.66364,0.00977,0.43427
435.87,1.662777,0.009512,0.43587
437.47,1.661927,0.009254,0.43747
439.06,1.661089,0.008997,0.43906
440.65999999999997,1.660262,0.008741,0.44066
442.26,1.659445,0.008485,0.44226
443.85,1.658637,0.008231,0.44385
445.45,1.657838,0.00798,0.44545
447.05,1.657045,0.00773,0.44705
448.64,1.65626,0.007483,0.44864
450.23999999999995,1.655481,0.00724,0.45024
451.83,1.654707,0.007,0.45183
453.43,1.653939,0.006764,0.45343
455.03,1.653174,0.006532,0.45503
456.62,1.652413,0.006304,0.45662
458.22,1.651656,0.006082,0.45822
459.81,1.650901,0.005865,0.45981
461.40999999999997,1.650148,0.005654,0.46141
463.01,1.649397,0.005449,0.46301
464.6,1.648647,0.005251,0.4646
466.2,1.647898,0.005061,0.4662
