H,L,dn_med,cross_rate,k_max
Si,MgF2,2.052286148071289,0.0,0.0004267041804268956
Si,SiO2,2.003509521484375,0.0,2.1250000870054464e-08
Si,Glass_Substrate,1.9655317068099976,0.0,4.7148125759122195e-07
Si,MgO,1.7739143371582031,0.0,2.1250000870054464e-08
Si,Si3N4,1.5059621334075928,0.0,2.1250000870054464e-08
Si,HfO2,1.4114670753479004,0.0,2.1250000870054464e-08
Si,TiO2,1.4059321880340576,0.0,2.1250000870054464e-08
Si,Ta2O5,1.37917959690094,0.0,2.1250000870054464e-08
Si,AlN,1.3442435264587402,0.0,2.1250000870054464e-08
Si,Nb2O5,1.2254245281219482,0.0,2.1250000870054464e-08
Si,ZnS,1.184079647064209,0.0,0.0001302210584981367
ZnS,MgF2,0.8682065010070801,0.0,0.0004267041804268956
Nb2O5,MgF2,0.8268616199493408,0.0,0.0004267041804268956
ZnS,SiO2,0.8194299936294556,0.0,0.0001302210584981367
ZnS,Glass_Substrate,0.7814520597457886,0.0,0.0001302210584981367
Nb2O5,SiO2,0.7780851125717163,0.0,0.0
Nb2O5,Glass_Substrate,0.7401071786880493,0.0,4.7148125759122195e-07
AlN,MgF2,0.7080426216125488,0.0,0.0004267041804268956
Ta2O5,MgF2,0.6731065511703491,0.0,0.0004267041804268956
AlN,SiO2,0.6592661142349243,0.0,0.0
TiO2,MgF2,0.6463539600372314,0.0,0.0004267041804268956
HfO2,MgF2,0.6408190727233887,0.0,0.0004267041804268956
Ta2O5,SiO2,0.6243300437927246,0.0,0.0
AlN,Glass_Substrate,0.6212881803512573,0.0,4.7148125759122195e-07
TiO2,SiO2,0.5975774526596069,0.0,0.0
HfO2,SiO2,0.5920425653457642,0.0,0.0
ZnS,MgO,0.5898346900939941,0.0,0.0001302210584981367
Ta2O5,Glass_Substrate,0.5863521099090576,0.0,4.7148125759122195e-07
TiO2,Glass_Substrate,0.5595995187759399,0.0,4.7148125759122195e-07
HfO2,Glass_Substrate,0.5547836422920227,0.0,4.7148125759122195e-07
Nb2O5,MgO,0.5484898090362549,0.0,5.90152601266658e-13
Si3N4,MgF2,0.5463240146636963,0.0,0.0004267041804268956
Si3N4,SiO2,0.4975475072860718,0.0,0.0
Si3N4,Glass_Substrate,0.4595695734024048,0.0,4.7148125759122195e-07
AlN,MgO,0.4296708106994629,0.0,5.90152601266658e-13
Ta2O5,MgO,0.3947347402572632,0.0,5.90152601266658e-13
TiO2,MgO,0.3679821491241455,0.0,5.90152601266658e-13
HfO2,MgO,0.36244726181030273,0.0,5.90152601266658e-13
ZnS,Si3N4,0.32299572229385376,0.0,0.0001302210584981367
Nb2O5,Si3N4,0.2813478112220764,0.0,0.0
MgO,MgF2,0.27837181091308594,0.0,0.0004267041804268956
Si3N4,MgO,0.26795220375061035,0.0,5.90152601266658e-13
MgO,SiO2,0.22959530353546143,0.0,5.90152601266658e-13
ZnS,HfO2,0.2273874282836914,0.0,0.0001302210584981367
ZnS,TiO2,0.2218552827835083,0.0,0.0001302210584981367
