,structure,lengths,num_layers,R_900nm,R_910nm,R_920nm,R_930nm,R_940nm,R_950nm,R_960nm,R_970nm,R_980nm,R_990nm,R_1000nm,R_1010nm,R_1020nm,R_1030nm,R_1040nm,R_1050nm,R_1060nm,R_1070nm,R_1080nm,R_1090nm,R_1100nm,R_1110nm,R_1120nm,R_1130nm,R_1140nm,R_1150nm,R_1160nm,R_1170nm,R_1180nm,R_1190nm,R_1200nm,R_1210nm,R_1220nm,R_1230nm,R_1240nm,R_1250nm,R_1260nm,R_1270nm,R_1280nm,R_1290nm,R_1300nm,R_1310nm,R_1320nm,R_1330nm,R_1340nm,R_1350nm,R_1360nm,R_1370nm,R_1380nm,R_1390nm,R_1400nm,R_1410nm,R_1420nm,R_1430nm,R_1440nm,R_1450nm,R_1460nm,R_1470nm,R_1480nm,R_1490nm,R_1500nm,R_1510nm,R_1520nm,R_1530nm,R_1540nm,R_1550nm,R_1560nm,R_1570nm,R_1580nm,R_1590nm,R_1600nm,R_1610nm,R_1620nm,R_1630nm,R_1640nm,R_1650nm,R_1660nm,R_1670nm,R_1680nm,R_1690nm,R_1700nm,T_900nm,T_910nm,T_920nm,T_930nm,T_940nm,T_950nm,T_960nm,T_970nm,T_980nm,T_990nm,T_1000nm,T_1010nm,T_1020nm,T_1030nm,T_1040nm,T_1050nm,T_1060nm,T_1070nm,T_1080nm,T_1090nm,T_1100nm,T_1110nm,T_1120nm,T_1130nm,T_1140nm,T_1150nm,T_1160nm,T_1170nm,T_1180nm,T_1190nm,T_1200nm,T_1210nm,T_1220nm,T_1230nm,T_1240nm,T_1250nm,T_1260nm,T_1270nm,T_1280nm,T_1290nm,T_1300nm,T_1310nm,T_1320nm,T_1330nm,T_1340nm,T_1350nm,T_1360nm,T_1370nm,T_1380nm,T_1390nm,T_1400nm,T_1410nm,T_1420nm,T_1430nm,T_1440nm,T_1450nm,T_1460nm,T_1470nm,T_1480nm,T_1490nm,T_1500nm,T_1510nm,T_1520nm,T_1530nm,T_1540nm,T_1550nm,T_1560nm,T_1570nm,T_1580nm,T_1590nm,T_1600nm,T_1610nm,T_1620nm,T_1630nm,T_1640nm,T_1650nm,T_1660nm,T_1670nm,T_1680nm,T_1690nm,T_1700nm
0,"['pet_50', 'pvc_235', 'Glass_Substrate_100', 'pe_100', 'pvc_70', 'pc_180', 'Glass_Substrate_190', 'pvc_215', 'pe_160', 'pc_200', 'pet_185', 'pc_115', 'pc_220', 'Glass_Substrate_220']",14,14,0.236128872064,0.239796742986,0.230997596433,0.211528954364,0.183705665932,0.151587953535,0.119901569611,0.0934561116583,0.0766799256876,0.0720662727941,0.0788898672945,0.0942666695948,0.114161005206,0.134939153409,0.15226291007,0.164417323608,0.170396033898,0.170458778618,0.165483067461,0.156165516306,0.144599871411,0.134023922775,0.126556473507,0.125179123783,0.132902811167,0.14991647102,0.176865772623,0.210928129319,0.250279689838,0.292038269662,0.333653490313,0.374411646148,0.410678436083,0.443970398906,0.472754881154,0.497467571111,0.517669479118,0.53427037321,0.546764247799,0.555757331193,0.561202640574,0.563741188016,0.563117018468,0.559810617682,0.553729243559,0.54473056526,0.533713920267,0.52046647502,0.503084784179,0.483228198007,0.462138541717,0.437707448458,0.412004101186,0.384170851102,0.354784518409,0.323434522237,0.29251682303,0.263277186489,0.235876110829,0.208072959236,0.183338804033,0.162374083718,0.145261600286,0.131490753652,0.123576252708,0.11951028327,0.118533493723,0.120911876691,0.126164931162,0.133983857433,0.142330146741,0.152649021599,0.163001022645,0.173818971984,0.184572700714,0.194610677054,0.203861503738,0.212117046554,0.219817833879,0.225684433657,0.231411293135,0.693690965866,0.68845580661,0.695236606658,0.712598103233,0.738623675551,0.769753868477,0.80169155988,0.830020900466,0.850399199025,0.85998433857,0.859013252626,0.849796148231,0.835695246391,0.820342129576,0.807007695352,0.797686906335,0.793585068364,0.794404462232,0.799470698795,0.808234031375,0.818767275116,0.828044374864,0.834233042805,0.834508240874,0.826224054853,0.809262118221,0.783072303262,0.750325725926,0.71280309919,0.673226823679,0.633976404694,0.595678460309,0.56170144394,0.530646721045,0.503896172652,0.481026037112,0.462435487358,0.447267451365,0.43603171124,0.428126902689,0.423571779569,0.421801339808,0.423051724798,0.42684590041,0.433296190092,0.442559931719,0.453758018281,0.467083486491,0.48440024573,0.504136382841,0.525062151038,0.54922224289,0.57462967458,0.60210617805,0.631112927936,0.662023574128,0.692514481753,0.72135691769,0.748425716591,0.775863948879,0.800330769142,0.821127833528,0.838142100697,0.8518961984,0.859927156777,0.864200302659,0.865439727185,0.86340240695,0.858539155365,0.851170924505,0.843255317242,0.833399845659,0.823484110581,0.813102446214,0.802738188581,0.792990015776,0.783878847321,0.775900709857,0.768786302032,0.763177210668,0.757441673167
1,"['pe_250', 'Glass_Substrate_150', 'pc_10', 'Glass_Substrate_20', 'Glass_Substrate_210', 'Glass_Substrate_210', 'pc_105', 'pet_75', 'pc_95', 'pc_190', 'pc_125', 'pe_155', 'Glass_Substrate_5', 'pc_45', 'abs_40']",15,15,0.0534041645776,0.080186891818,0.114377375826,0.152074405498,0.189821697528,0.224646326542,0.254765053735,0.279155599237,0.297375017979,0.309265596673,0.315026427635,0.314844591601,0.309059986459,0.296772486177,0.280149896758,0.259529837424,0.234331543299,0.206231589027,0.176531646112,0.145119349605,0.11406880366,0.0842754773181,0.0577894608321,0.0355464538965,0.0188104788222,0.00777399307412,0.00257601755186,0.00275393433219,0.00744970568302,0.0158988013003,0.0267784105511,0.0394058414633,0.0520758961148,0.06506082372,0.0767606466191,0.0872728906954,0.0958464140527,0.102562760056,0.107501349702,0.110352008447,0.110911630965,0.109687502642,0.106570651615,0.101885192824,0.0958570764016,0.0881586194895,0.0803279986634,0.0719401191943,0.062912547928,0.0539127637634,0.0457715770008,0.0380722963213,0.0318224370075,0.0267480833123,0.0236086090413,0.0224039125852,0.0231859315957,0.026241025499,0.0314636738295,0.0389464713216,0.0483728368313,0.0598641260107,0.072887075927,0.0870807557277,0.102744530464,0.119137300199,0.136293202514,0.153671565008,0.171269229258,0.189158002133,0.205534137685,0.222927395802,0.238995784308,0.2541461017,0.269367798893,0.284335270941,0.297391352217,0.310166610062,0.321286036134,0.332132771494,0.342054232327,0.855993593936,0.831754581185,0.800508194722,0.765936962969,0.731274226114,0.699320395116,0.671704917049,0.649462437104,0.632978474255,0.622385131972,0.617558921594,0.618353217792,0.624471481237,0.636821389866,0.653373382976,0.673802529106,0.698802037015,0.726704348408,0.756330709917,0.787839452276,0.819230334749,0.849623640003,0.877066021633,0.900537538289,0.918804795836,0.931642263344,0.938800635622,0.940600392781,0.937884129767,0.931405222737,0.922355303714,0.911388175795,0.900136204299,0.888418808423,0.877782221206,0.868116337686,0.860215381624,0.854021535981,0.849464905682,0.846874998934,0.846495048143,0.84777711108,0.850946392309,0.855634835293,0.861663927502,0.869309300895,0.877218220244,0.885711587652,0.894835075292,0.904037353195,0.912495572062,0.920553578448,0.927319575502,0.932960604612,0.93681470463,0.93880014344,0.938876549495,0.936764687577,0.932559920182,0.926134884151,0.917793803938,0.907418388825,0.895498716816,0.882386112776,0.867759882861,0.852382632708,0.836174228055,0.819704657943,0.802932327416,0.785832438265,0.770126441397,0.753362338788,0.737832653376,0.723151434268,0.708328786706,0.693679518214,0.680792193518,0.668197251342,0.657460302235,0.646788209088,0.63658753529
2,"['pet_230', 'pvc_190', 'Glass_Substrate_200']",3,3,0.160442362085,0.157482491829,0.153932810817,0.149944389656,0.145384266665,0.140478640974,0.13532179725,0.12974351833,0.123870116483,0.11798486483,0.111923908844,0.105733742195,0.0995680485874,0.0920588424335,0.0857842717057,0.0796472245805,0.0732720035463,0.0673625444366,0.0617245157982,0.0561384352486,0.0505617101421,0.045405744919,0.0404460512019,0.0356705531603,0.0311143779361,0.0268885606973,0.0231967020136,0.0197126154255,0.0164673440324,0.0134357299424,0.0108156622951,0.00840534120258,0.00636385731262,0.0046907872786,0.00325412243297,0.00205677997102,0.00120780850798,0.000597444427128,0.000221044634829,0.000104045332276,0.000247850561761,0.000597224753265,0.00117039229971,0.00194086488447,0.00290493371541,0.00400510074103,0.0052923383655,0.00671055658491,0.00833707943839,0.0100830683333,0.0118940697506,0.0138579820744,0.0159038410932,0.018012219885,0.0202633287237,0.0226352095239,0.0249855215724,0.0273616880216,0.0297226944473,0.0322808205352,0.03484678659,0.0373724520537,0.0400029827573,0.0427225675297,0.0452210018616,0.0477260126933,0.0503590890067,0.0529974266629,0.0555677456249,0.0582667888588,0.0607245616064,0.0633312629486,0.0658403498622,0.0683926196881,0.0708276333513,0.0732426888575,0.0757589039883,0.0781208714521,0.0805604761643,0.0828013054455,0.0850637019544,0.839531011967,0.842490426817,0.846041346416,0.850029883017,0.854590110666,0.859496085664,0.864673219746,0.870242569816,0.876115861082,0.881998261501,0.888046873187,0.894261571467,0.900426557157,0.90793540972,0.914209893612,0.920347258574,0.926722751493,0.932632579165,0.938270584136,0.943857693809,0.949433299377,0.954587561776,0.959542700361,0.964309972187,0.968872078359,0.973098312583,0.976785034371,0.980261240543,0.983504452767,0.986535600838,0.98915982061,0.991577854436,0.99362485104,0.995300443113,0.996738678697,0.997936750661,0.998786856474,0.999396688745,0.99977293869,0.999890208159,0.999746596451,0.999397005448,0.998823924131,0.998052785816,0.997088056712,0.99598470386,0.994692720249,0.993272369242,0.991637695324,0.989890357097,0.988074600057,0.986109173473,0.984063151829,0.981957632202,0.979714945902,0.977346640678,0.974998097032,0.972623821571,0.970267210737,0.967708123008,0.965143143892,0.962618368411,0.959988661993,0.957269121001,0.954771600023,0.9522666338,0.949632939955,0.946994870419,0.9444241099,0.941724830837,0.939266013265,0.936656817,0.934143755273,0.931586774968,0.929129737776,0.926663814521,0.924088032621,0.921776325852,0.919353451379,0.917109314019,0.914798423472
3,"['pe_105', 'pe_125', 'abs_5', 'abs_230', 'abs_175', 'Glass_Substrate_75', 'Glass_Substrate_175', 'Glass_Substrate_100']",8,8,0.0534652368218,0.0428373108934,0.033034160198,0.0242664665355,0.0167077868649,0.0104888590869,0.00569848956173,0.00237918458107,0.000535277702218,0.000127955621334,0.00108724196711,0.00331508526955,0.0066915725182,0.0110798205681,0.016335992596,0.0223170228695,0.0288749372369,0.0358681189602,0.043169307805,0.050647195345,0.0582028594753,0.0657351346795,0.0731586440134,0.0803962134851,0.087394065893,0.0940973105908,0.100464697152,0.106459532425,0.11206638368,0.117261189065,0.122033779655,0.126369860779,0.130276983677,0.133752503715,0.136800943196,0.139421099757,0.141632128303,0.143435511661,0.144852604579,0.145884835167,0.146552341233,0.146865460474,0.146850026556,0.146504669681,0.145852845901,0.144910091233,0.143695430777,0.142216908143,0.140494393425,0.138537561934,0.13637489993,0.134000493212,0.131450357795,0.128721382468,0.125845604763,0.122821987271,0.119670015959,0.11640642319,0.113036951981,0.10958419482,0.106054105175,0.10245817985,0.0988142899012,0.0951325805532,0.0914176160289,0.0876851011575,0.0839470068159,0.0802164500439,0.0764959183291,0.0728019852786,0.0691366198088,0.0655077072002,0.0619340602842,0.0584149106425,0.05495989306,0.0515786361063,0.0482688441367,0.0450468425124,0.0419120707541,0.0388712593676,0.0358740854646,0.819376970712,0.831152691858,0.842283587756,0.852569123537,0.861786060333,0.869851579328,0.876639592596,0.882147438037,0.886270493964,0.889052246633,0.890616183209,0.890931406132,0.890144580266,0.888367798935,0.885672743411,0.882260558185,0.878255546789,0.873691963378,0.868803480991,0.863615205261,0.858267649988,0.852880752076,0.847486246785,0.842164946978,0.836990854998,0.832019134755,0.82729274667,0.822831881404,0.818674676397,0.814866724207,0.811385069577,0.808227999641,0.80545118238,0.803059409389,0.801034027573,0.799325203258,0.79800963569,0.797017449648,0.796402476297,0.796096345178,0.796117849273,0.796440550617,0.79711396466,0.798036024365,0.799239380507,0.800678803938,0.802422792826,0.804392988973,0.806571601387,0.808959397527,0.811573647918,0.814337651895,0.817290709207,0.820395148188,0.823662939973,0.827084044976,0.830570581353,0.834197927933,0.837930684318,0.841747777098,0.845614152344,0.849578348274,0.853564470084,0.857621744984,0.861665316952,0.865753285715,0.869830382755,0.873927911604,0.877999338816,0.882072759895,0.886101959939,0.890072706011,0.894023804485,0.897898988797,0.901745451426,0.905518995909,0.90918384614,0.912817962748,0.916343616749,0.919781984432,0.922358305904
4,"['abs_120', 'pvc_225']",2,2,0.0527147038428,0.0463341102283,0.0403110989438,0.0346847109894,0.0294372311172,0.0246236920391,0.0202596924498,0.0163191857857,0.0128174574202,0.00978852578773,0.00718666984015,0.00501896415055,0.00327689727003,0.00191469444224,0.000998214808119,0.000459374469618,0.000290920711154,0.000456220573838,0.000929698469739,0.00171806168712,0.00280616620288,0.00411618220944,0.00570272650085,0.0075258553412,0.00954009878465,0.0117515365215,0.0140544687449,0.0165310660636,0.0191416826777,0.0219022617298,0.0247358796739,0.0276523963002,0.030656103146,0.0336766091133,0.0367577879676,0.0398822087262,0.0430189239728,0.0461714709834,0.0493401152285,0.0525016220109,0.0556521401527,0.0587851620268,0.0618917579811,0.0649719041845,0.0680161091817,0.0710386178284,0.0740274273262,0.0769740222836,0.0798339461254,0.0826478670225,0.0854721917056,0.0881866482887,0.0908632146054,0.0935155470828,0.0960426291937,0.0985045061722,0.10097601382,0.103386029711,0.105793556931,0.107983839793,0.110179817895,0.112407451391,0.114404522998,0.116270555661,0.118399352986,0.120464587006,0.122307609856,0.124049116402,0.125863535716,0.127333913252,0.129216892558,0.130685225463,0.132290692389,0.13366703528,0.135230694568,0.136760071172,0.137873499071,0.13924642139,0.140272370321,0.141948348514,0.143007877397,0.917563689037,0.924389665265,0.930892393346,0.937028948624,0.94279526285,0.948152304932,0.953077734445,0.957603433823,0.961689337191,0.965308722088,0.968535617822,0.971314979821,0.973672556466,0.975704885656,0.977225975,0.97838786717,0.979188371936,0.979619044109,0.979744680371,0.979541577294,0.979038600475,0.978301779595,0.977276535859,0.976007916706,0.974530527796,0.972847142163,0.971034738526,0.969041554754,0.96690848314,0.96461937939,0.962238727372,0.959754585883,0.957185892122,0.954572650377,0.951888287606,0.949137743397,0.946369457292,0.943560891563,0.940739106866,0.937900415269,0.935062033254,0.932226496645,0.929417070168,0.926612979891,0.923834569154,0.921056921638,0.918311509168,0.91559862697,0.912961493806,0.910356918543,0.907738564233,0.905218651878,0.902728002875,0.900255589803,0.897906866086,0.895620220819,0.893302738739,0.891047033215,0.888790540588,0.886740976585,0.884676034868,0.882581780633,0.880704344099,0.878958835453,0.876944901799,0.874989617148,0.873250802336,0.871608974038,0.869892548586,0.868511961072,0.866723378903,0.865334435318,0.863814346457,0.862511935864,0.861029468434,0.859572939946,0.858521784142,0.857219551373,0.856249684625,0.854626334483,0.853510590487
5,"['pc_100', 'pe_125', 'pc_5', 'abs_205', 'abs_195', 'pc_185', 'pet_205', 'pc_105', 'pvc_235', 'pet_110']",10,10,0.0121639575106,0.0014264494315,0.00304934472382,0.0159874837713,0.0375883709743,0.0640573234763,0.0917936834108,0.118205065458,0.141103225461,0.159046859209,0.171683450663,0.178701872411,0.180153024682,0.174791768708,0.165418371492,0.152651036209,0.135428978471,0.115876444205,0.0955719142652,0.0740626118182,0.0536119596485,0.0348542198256,0.0195108442434,0.00821738224556,0.00177926483163,8.58397545461e-05,0.00302219625603,0.00991185759023,0.0199850102471,0.0327822863865,0.0469815973478,0.0620163305856,0.0766292427771,0.0914035194926,0.104450186931,0.115952956766,0.126046231831,0.134032124988,0.140229403027,0.144266052418,0.146906943779,0.147117086747,0.145700683619,0.142542811161,0.137843322524,0.131970323006,0.123781820464,0.115272437198,0.105909212593,0.0959285322683,0.0847330113434,0.0741090135793,0.0634660950808,0.0527217895634,0.0429398028687,0.0332080131071,0.0244452475582,0.0172335901147,0.0112224445847,0.00636688939309,0.00280135954245,0.000692276721996,0.000157246411381,0.000994597279575,0.00318924283661,0.00650570187488,0.0111313319182,0.016510691378,0.022991117629,0.0301701617556,0.0376289438684,0.0453671272529,0.0534791516708,0.0617383333158,0.070576162066,0.0792201810208,0.0866644857637,0.0946705407341,0.101527022638,0.108906751985,0.115863694462,0.883772224897,0.894330588957,0.893504023643,0.882328391016,0.863225537986,0.839788497402,0.815353673022,0.7922607925,0.772517704069,0.757472258796,0.747468668412,0.742776098076,0.743321235697,0.750391209693,0.761174719601,0.775167697494,0.793452276869,0.813894603117,0.835065794801,0.857357601481,0.878599765542,0.898238699799,0.91449314972,0.926764792926,0.934318712627,0.937226527995,0.935575997728,0.929983078867,0.921228451436,0.909752130862,0.8968524115,0.883022618241,0.869555358398,0.855858287499,0.843803056983,0.833160409507,0.823877248907,0.816591793047,0.811043495107,0.80755223882,0.805409581355,0.805612026494,0.807451180459,0.810962890968,0.815996275378,0.82209216677,0.830606933925,0.839441363607,0.849078216072,0.859332999403,0.870890529096,0.881826777922,0.892863987867,0.904001391709,0.914255004266,0.924539209747,0.933802887786,0.941603109389,0.948235306669,0.953731454096,0.957988152709,0.960851362977,0.962098949381,0.962065368948,0.960624472236,0.958061804942,0.954211783739,0.949594181161,0.943874122694,0.937454523196,0.930706499675,0.923613236439,0.916155279473,0.908500181903,0.900233183992,0.892008498794,0.884868513962,0.877457144819,0.871231800673,0.86432188706,0.857324518597
6,"['Glass_Substrate_200', 'pc_240', 'pe_40', 'abs_45', 'pc_225', 'pet_250', 'pvc_155']",7,7,0.115608958662,0.0975234304909,0.078777972621,0.060442019658,0.0432105272687,0.0282150170392,0.0161824636218,0.00754062594318,0.00271576278091,0.0017954403347,0.00459163734461,0.0107498236908,0.0197248736548,0.0317933672753,0.0448592888268,0.0587956063086,0.0734214600851,0.0878205607584,0.101890646188,0.115067702299,0.127402300789,0.138739597167,0.148275313075,0.156275999406,0.163425298497,0.168660702438,0.172924730876,0.175784551143,0.177526247941,0.177331296479,0.176142891663,0.173988125964,0.170676202489,0.165893892828,0.160787161936,0.154816757485,0.147984195372,0.140927825555,0.132480435933,0.123684844268,0.114593498139,0.105114366389,0.0955427922785,0.0862625238639,0.0771356376624,0.0673150038077,0.0591787179749,0.0513571745156,0.0430695649855,0.0353214628653,0.0288926685729,0.0224988252852,0.017189493075,0.0123716903163,0.00842427616051,0.00525379006316,0.00279483532597,0.00123073414289,0.00036806432202,0.0002423150057,0.000838614524547,0.00212064709938,0.00410209483983,0.00662207223141,0.00960640747576,0.0130092445373,0.0170244837352,0.0213970160189,0.0260348751672,0.0313697240894,0.035878364242,0.0416453139208,0.0469345460993,0.0522312005301,0.0579166585698,0.0639981008012,0.0695030393616,0.0751703486205,0.0802338714156,0.0853584379263,0.0906060298105,0.87070022621,0.88797257013,0.905863633124,0.923348890168,0.93974714793,0.953989617231,0.965399427321,0.973517089229,0.977974206415,0.978681497717,0.975841134889,0.969821708766,0.961100607705,0.949433135732,0.936842102659,0.923467121496,0.909477007087,0.895726314095,0.882327043802,0.869835076172,0.858191075143,0.847516747326,0.8386337118,0.831250034729,0.824717243757,0.820079972167,0.816359361641,0.814006891082,0.812749286105,0.813410340792,0.815049381063,0.817620643325,0.821315507475,0.826447961801,0.831884394602,0.838157976219,0.845266048433,0.852574399165,0.861257258356,0.8702647368,0.879542843905,0.889189051077,0.898913487443,0.908324875418,0.91756629885,0.927469919197,0.93569015711,0.943585409254,0.951913802481,0.95970179351,0.966173815775,0.972585277577,0.97792206461,0.982750133772,0.98671061096,0.98988549047,0.99233421014,0.993892125908,0.994756586171,0.994847483681,0.994234633648,0.992935714129,0.990926299646,0.988384378194,0.985379931292,0.981959896843,0.977918699776,0.973524653405,0.968866427337,0.963502891403,0.958990258334,0.953186277943,0.947867924956,0.942542517415,0.936792813142,0.930573850869,0.924874445348,0.919147559772,0.914277538783,0.909153961425,0.903815780693
7,"['pe_50', 'pet_105', 'pvc_5']",3,3,0.167249860966,0.167798208115,0.168206416686,0.168568315635,0.168771786845,0.16892031556,0.16903243475,0.168992168293,0.16887043182,0.16870574408,0.168547752005,0.168270857242,0.16798333054,0.167141061087,0.166621104612,0.166177421586,0.165526033296,0.164954385322,0.164344662622,0.16375804351,0.163034990025,0.162176056889,0.161549641714,0.160883634457,0.159971283186,0.159203777602,0.158374102008,0.157585290527,0.15667307098,0.155768850672,0.154953486932,0.153776187201,0.152958757635,0.152111289323,0.151181494617,0.150019616747,0.149263914823,0.148349946112,0.147227453751,0.14605812746,0.145344986855,0.144235167302,0.143275019573,0.142336632143,0.141404971939,0.140599933491,0.139341588385,0.138395176353,0.137448533219,0.136547597722,0.135320363461,0.134445721113,0.13351766628,0.13251434375,0.131662889503,0.13045093062,0.129350154708,0.128488963964,0.127746197201,0.126896511721,0.125780825107,0.124606824609,0.123861130038,0.122801210089,0.12186958188,0.121126465639,0.120087774423,0.119263477586,0.118274782345,0.117211263079,0.116417911989,0.115691595378,0.114885651762,0.113940657975,0.112856125736,0.111881602879,0.111233322372,0.110332192273,0.109728367107,0.10906242584,0.10787676853,0.826591380063,0.826133616382,0.825809880351,0.825528230197,0.825398864283,0.825321433132,0.825283858479,0.825383528864,0.825565306507,0.825783466214,0.825990384369,0.826329055009,0.826666618954,0.827543128119,0.82810673117,0.828592616429,0.829284288022,0.829894962776,0.830542884725,0.831168757971,0.831926759978,0.83281400184,0.833476931057,0.834173386362,0.835117170139,0.835917424219,0.836777676463,0.837594239024,0.83853175333,0.839466881248,0.840313064281,0.841512776448,0.842356472972,0.843233344627,0.844190999173,0.845372324002,0.846156544493,0.84709503014,0.848238601451,0.849428420222,0.850171266714,0.851299452268,0.852284872325,0.853245183229,0.854199088058,0.855027677763,0.856304530163,0.857273504756,0.858237638545,0.859162459661,0.860406977181,0.861301695666,0.86225388143,0.863277692341,0.864156350068,0.865385045156,0.866503857704,0.867387808135,0.868155875038,0.869027549598,0.870161336109,0.871353022365,0.872123095364,0.873201900907,0.874151414213,0.874918971353,0.875973017697,0.876820194144,0.877825477236,0.878908167152,0.879720705369,0.880465968223,0.881288727766,0.882247884469,0.883331458257,0.884288102246,0.884909554602,0.885869397395,0.886511452449,0.887209194158,0.888327549423
8,"['pe_160', 'pc_210', 'pc_190']",3,3,0.00801419770855,0.0136066550156,0.0203726720146,0.0280731595275,0.0365166231605,0.045426945468,0.0546097064796,0.0638938779242,0.0731355136844,0.0821519425187,0.0908217678374,0.0991042187768,0.106904159841,0.114671903762,0.121410812357,0.127405340044,0.132956464922,0.137833170855,0.142003715667,0.145678434823,0.148733888493,0.151236133892,0.153170334331,0.154556699568,0.155421769206,0.155794539492,0.155692964821,0.15516731494,0.1542478383,0.152889733475,0.151194492826,0.149117697669,0.14682648342,0.144052327513,0.141153162013,0.137986789686,0.134607429617,0.131075164838,0.12722598129,0.123210927959,0.119162545527,0.114836593811,0.110474583934,0.106108879477,0.101717921458,0.0969778427214,0.092586455905,0.0882334787914,0.0836734347646,0.0791094821321,0.0747409640186,0.0702825510944,0.0660453312662,0.0617101569626,0.0576115170218,0.0535837031269,0.0495440428042,0.0457863665981,0.0420917029706,0.0384155457994,0.0350140484455,0.031636686729,0.0285125732406,0.0255994693965,0.0227440453309,0.020100877568,0.0175793863968,0.0152659178439,0.0130976791532,0.0110501459633,0.00935004578268,0.00764015526368,0.00619145348355,0.00492815285421,0.00374892286446,0.00270407742196,0.00191632969522,0.00124028368876,0.000769866964873,0.000409853297735,0.000179215144502,0.957666496368,0.953886658849,0.948835141136,0.942741040666,0.935790331058,0.928246036971,0.920285852512,0.912114683168,0.903863412615,0.89570242687,0.887774812528,0.880130251207,0.872873420706,0.865544630528,0.859167812733,0.853457320128,0.848128471089,0.843406134319,0.83935381987,0.835737537523,0.832707516395,0.8301744725,0.828191354545,0.82670435092,0.825748359054,0.825271578148,0.825251296863,0.825635262595,0.826408720881,0.827616255981,0.829169619132,0.83108784725,0.833225642112,0.83583208252,0.838593711125,0.841610574771,0.844850005493,0.848256490222,0.851973806007,0.855868298696,0.859819434081,0.86402875899,0.868310737883,0.872599230231,0.876928522977,0.881598140569,0.885973316238,0.890312414576,0.894841054008,0.899409544671,0.903804336515,0.908279698918,0.912576609094,0.916957107744,0.92113956282,0.925244113492,0.929371789591,0.933232416757,0.937047900252,0.940847092654,0.944388918114,0.94791898764,0.951204760618,0.95428788159,0.95730782621,0.960140764816,0.962845903857,0.965366795828,0.967733386722,0.970009653702,0.97190656712,0.973838385409,0.975493378029,0.976964747734,0.978357112228,0.97961668855,0.98051843763,0.981348375472,0.982187958309,0.982785050679,0.982949406435
9,"['pet_45', 'pc_125', 'Glass_Substrate_60', 'pc_210', 'abs_195', 'pe_70', 'pe_10', 'pvc_180', 'Glass_Substrate_70', 'pvc_110', 'Glass_Substrate_225', 'abs_80', 'pet_195', 'pet_25', 'pvc_100', 'pvc_250', 'Glass_Substrate_170', 'pc_70']",18,18,0.185882326841,0.14053543352,0.128469555353,0.156014650757,0.212304248763,0.278376831669,0.339395943638,0.388425154755,0.422786889943,0.442361392146,0.448592169738,0.442020732608,0.423512243318,0.388598251632,0.346317760656,0.295945246621,0.236979914656,0.177677582476,0.123738357248,0.0791840189042,0.0507487964121,0.0414803321201,0.0498736517143,0.0723110376229,0.103090194426,0.137446686792,0.170187418203,0.200270295116,0.226125353963,0.247378464212,0.263052573116,0.273611499707,0.279424293371,0.280866197102,0.27839623984,0.272116412534,0.263350179434,0.252013729562,0.237800281885,0.221947196312,0.205564396982,0.188133739672,0.170586748966,0.153323267416,0.136547197476,0.121079314137,0.105852917902,0.0922677688865,0.0795481767533,0.0682407880589,0.0579939436538,0.0491213738086,0.0413068283247,0.0343495166036,0.0283347345333,0.0227726051453,0.0179906870703,0.0140449935484,0.0106659807665,0.00765483003783,0.00512604917561,0.0030799108708,0.0016935023773,0.000785672670759,0.000436467484322,0.000653382222021,0.0014330217009,0.00278214143835,0.00469892134865,0.00726881922776,0.0100743161859,0.0136634647919,0.0175085155115,0.0217713350881,0.02636309594,0.0312703500349,0.0364775601692,0.0416551853123,0.0471658987604,0.0521032234091,0.0573877219207,0.746759691774,0.790571409104,0.803008305746,0.778387124128,0.726909205934,0.666313574731,0.610420260073,0.565667271292,0.534542849774,0.517181707575,0.512277419112,0.519327258879,0.537525691202,0.571112954165,0.611561472568,0.659582567328,0.715651304725,0.771956559803,0.823162844196,0.865426579782,0.892397176424,0.901316894605,0.893523367632,0.872458783079,0.843593595019,0.811428301651,0.780875022146,0.752832833872,0.72885870702,0.709309670474,0.695112188933,0.685795875125,0.68103543114,0.680483418382,0.683687520049,0.690538170709,0.699818096833,0.711560111272,0.726142950123,0.742298749837,0.758988823217,0.776689350219,0.794557950409,0.812124520382,0.82922602373,0.844992997983,0.860572431072,0.874546277181,0.887654953892,0.899362955784,0.910038037053,0.919333289881,0.927593428697,0.934985327187,0.94147831111,0.947533870119,0.952739670977,0.957142826431,0.960990261892,0.964461424176,0.967446485751,0.969981601112,0.971837555951,0.973261227659,0.974095034711,0.974372338419,0.974110625589,0.973292628252,0.9719103999,0.969907950418,0.967625734296,0.96457217234,0.961258099936,0.957510806257,0.953410885431,0.948895660238,0.944005142241,0.939322591423,0.934504491195,0.929984650434,0.924755847927
